imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0040497,,Jour de Fête (1949),,,,,,"$20,496",,,,,,,,"$3,485",,,,,,,,,,,,,,"$50,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056111,,Ivan's Childhood (1962),,,,,,,,,,,,,,,,,,,,,"$22,168",,,,,,,,,"$14,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,504",,,,,"$15,489",,,,,,,,,,,,,,,,,,,,"$14,918",,,,
0331370,,Whisky (2004),"$111,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0338706,,Alexandra's Project (2003),,"$426,401",,,,,"$7,163",,,,,,,,,,,,,,"$752,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0388838,,Clean (2004),"$39,438",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,666,469",,,"$48,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,534",,,,,,,,,
0371724,,The Hitchhiker's Guide to the Galaxy (2005),,"$6,968,687","$911,932",,,"$320,640",,"$481,080","$97,588",,,,,,,,,"$290,158",,"$539,165",,,,,,,"$721,858","$3,421,656","$8,103,842",,"$342,021","$291,308","$221,282",,,,"$123,279",,,,,,,,,,,,"$301,474",,,"$522,068",,"$994,980",,,"$838,333",,,,,"$321,156","$112,923",,,"$21,574",,"$1,000,442",,"$28,201","$230,000","$63,942",,"$275,580",,"$156,069",,"$1,399,359","$723,038",,,,"$121,766",,"$191,527",,"$70,148","$20,349,279",,,,
0405743,,Barefoot (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$280,000",,,,,,,,,,,,,,,,,,,,,,,,
0384806,,The Amityville Horror (2005),"$388,537","$3,078,704","$419,767",,,"$574,320","$22,861","$744,320",,,"$70,441",,,"$278,214",,,,"$346,546",,"$52,891",,,,"$84,676","$126,543",,"$93,682","$2,919,650","$3,038,795","$399,600","$515,855",,,,,,"$1,957,932",,"$602,745",,,,,"$15,203",,,,"$424,300","$2,655,420",,,"$556,284",,"$401,251",,,"$119,373",,,"$171,270",,"$352,661","$339,774","$863,780",,,,"$792,136",,,"$412,057","$105,851",,"$138,953","$335,968","$5,909,923",,"$98,773",,,,,"$1,516,025","$244,756","$539,726",,"$216,330","$9,597,259","$12,185","$356,703",,
0043809,,Miracle in Milan (1951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0384369,,Before the Fall (2004),,,"$97,345",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,421,465",,,,,,,,,,,,,,,,,,,,"$35,712",,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,039",,,,,,,"$22,404",,,,,,,,,
0360216,,The Year of the Yao (2004),,"$1,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,463",,,,,,,,,
0372334,,House of D (2004),,,,,,,,,,,,,,,,,,,,,"$388,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$667,,,,,,,,,,,,,,,,,
0362004,,Palindromes (2004),,,,,,,,,,,,,,,,,,,,,"$553,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,731",,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,686",,,,,,,,,,,,"$51,484",,,,
0391304,,A Lot Like Love (2005),"$111,299","$836,781","$607,386",,,"$872,297",,"$1,109,355","$17,217",,,"$64,247",,,,,,"$125,542",,"$227,081",,,,,,,"$126,780","$811,838","$1,844,842",,,"$223,405","$62,351",,,,"$444,670",,,,,,,"$6,457",,,,,"$1,373,237",,,"$823,392",,"$249,057",,,"$256,582",,,,,"$433,480","$244,806",,,"$33,359",,"$712,640",,"$9,194",,"$31,752",,"$476,915","$912,892","$1,616,749",,"$427,668","$330,623",,,,"$215,526","$199,600","$255,137",,"$94,752","$2,646,490",,,,
0388183,,King's Ransom (2005),,,,,,,,,,,,,,,,,,,,,,,,,"$3,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,684",,,,,,,,,,,,,"$89,645",,,,,
0354595,,The Game of Their Lives (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,248",,,,,,,,,,,,,,,,,
0329774,,xXx: State of the Union (2005),"$81,570","$2,496,312","$580,151","$100,591",,"$688,997","$11,947","$848,934","$87,610",,"$58,677","$176,991","$1,656,109","$225,900","$21,292",,,"$71,172",,,,,"$38,652","$58,042","$42,779","$35,183","$148,294","$3,199,693","$3,511,561","$146,391","$294,685","$178,795","$91,073","$2,061,482","$452,617",,"$1,029,910",,,"$38,551",,"$440,071","$31,218","$82,874",,,"$18,708",,"$3,030,578",,,"$503,525",,"$488,862","$33,150",,"$476,611","$30,110",,"$89,667","$537,915","$80,468","$351,334",,"$74,916","$62,185","$2,139,813","$1,808,560",,"$14,950","$426,939","$15,267",,"$688,546","$3,383,627","$2,824,425",,,"$744,112",,,,"$514,606","$1,117,926","$199,797",,"$457,290","$5,073,836","$16,699","$344,158",,
0320661,,Kingdom of Heaven (2005),"$1,591,109","$6,262,849","$2,220,222",,,"$2,910,505","$71,596","$6,984,391","$289,503",,"$620,874","$806,434",,"$1,137,362","$208,330",,,"$536,590","$659,212","$1,972,247","$47,398,413","$74,386",,"$189,799","$351,784","$130,213","$865,101","$9,533,590","$16,415,805","$2,039,459","$847,643","$874,638","$164,649","$346,882","$665,708","$299,835","$9,522,276","$18,820","$11,685,285",,,,"$91,352","$282,019",,"$80,888","$125,543","$704,135","$8,426,138",,"$2,209,991","$2,980,011",,"$1,190,959",,,"$1,870,407",,,"$544,439","$1,147,831","$1,943,951","$977,330","$646,004",,"$243,672","$6,453,424","$5,328,762",,"$166,702","$1,098,073","$109,263","$251,045","$910,369","$8,720,877","$15,038,725",,"$1,902,239","$2,575,570",,,,"$3,160,826","$1,241,335","$3,038,896",,"$1,644,362","$14,535,907","$111,834","$674,238",,
0397065,,House of Wax (2005),"$413,793","$1,489,768","$700,105",,,"$584,776",,"$713,569","$31,990",,,"$210,081",,,,,,"$112,224",,,,,,,"$172,445",,,"$2,353,961","$2,441,894",,"$864,800","$62,909","$61,510",,,,"$849,547",,,,,,,"$12,849",,,,,"$2,142,026",,,"$419,797",,"$309,224",,,"$143,139",,,,"$178,000","$37,787",,,,"$21,933",,"$1,429,954",,"$14,584","$494,100","$28,925",,"$271,799","$1,368,569","$3,353,720",,"$277,231",,,,,"$2,550,000","$284,900","$611,730","$91,238","$310,943","$5,361,953",,,,
