imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (French/Italian),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0405469,,The Wild (2006),"$824,398",,"$2,739,903",,,,"$948,399",,"$2,057,781","$47,526",,,"$378,332",,,,"$23,023",,,"$213,909",,"$327,484",,,,,"$31,884",,,"$226,770","$2,491,367","$2,878,855","$28,900",,,,"$593,532","$328,537","$107,276",,,"$691,251","$3,355,615",,"$6,174,100",,,,,"$9,038",,,"$512,791","$5,238,694",,,"$791,571",,"$552,213",,,,"$1,032,441",,,,,,"$265,616","$2,163,163",,,,"$29,375",,"$3,149,453",,,,"$21,414","$508,356","$166,219",,"$932,935",,,"$5,305,708",,"$1,269,074","$202,044",,,,,"$239,584","$102,014","$731,699","$336,094","$110,036","$7,905,493","$58,258","$912,473",,
0463345,,My Brother's Wife (2005),"$7,963",,,,,,,"$8,677","$47,130",,,"$200,341","$192,820",,"$262,107",,,,,,,,"$2,808,241","$24,004",,"$101,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,371,091",,,,,,,,,,,,,,"$507,776",,,,"$193,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,748","$756,337",,
0384537,,Silent Hill (2006),,,"$1,496,627","$386,216",,,"$805,224","$26,719","$641,958",,,"$322,133","$278,467",,"$283,752",,,,,"$296,745",,"$381,434",,,,"$92,939",,,"$17,602","$244,924","$5,712,758","$3,224,851","$834,739",,,,"$8,094,560",,"$50,424",,,,"$3,530,412",,"$2,462,398",,,,,"$3,200",,,,"$3,094,590",,,"$367,647",,"$257,000",,,,"$217,085",,,,,"$298,011","$557,599","$603,030","$31,009",,,"$26,693",,"$3,540,000",,,,,,"$38,713",,,,"$638,344","$4,403,940",,"$234,742","$492,546",,,,,"$909,554","$731,369","$405,327","$244,809","$226,494","$6,734,879","$24,822","$356,218",,
0387055,,Battle in Heaven (2005),"$4,476",,,"$1,949",,,,,,"$1,083",,,,,,,,,,,,,"$70,899",,,,,,,,,"$136,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,859",,,,
0465142,,American Dreamz (2006),,,"$1,246,182","$241,579",,,"$210,086",,,,,,,,,,,,,,,,,,,,,,,,"$586,316","$1,145,456",,,,,,,"$27,153",,,"$156,110","$517,300",,,,,,,"$27,746",,"$27,805",,,"$29,529",,"$148,297",,,,,,,,$602,,,,"$57,139",,,,,"$42,495",,,,,,,,,"$40,806","$91,497",,,"$267,264",,"$83,183","$288,678",,,,,,,,,"$94,176","$4,134,874",,,,
0434124,,Kinky Boots (2005),,,"$1,045,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,729",,,,,,,,,,,"$61,468",,,,,"$453,848",,,,,,,,,,,,,,,,,,,,,,"$16,170",,,,,,"$106,128",,,,,,,,,,,,,"$5,147,016",,,,
0427954,,The Protector (2005),,,,"$83,443",,,,,,"$100,135",,,,,,,,,,,,,,,,,,,,,"$2,223,914","$326,971",,,,,"$1,490,369",,,,,,"$891,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,572",,,,,,,,,,,,,"$10,528",,,"$1,041,077",,,,,,,,"$85,526","$4,417,800",,,"$348,054","$176,832",,,,
0317919,,Mission: Impossible III (2006),"$1,585,642",,"$8,446,854","$1,861,513",,,"$2,752,270","$41,251","$7,592,800","$155,432",,"$1,333,348","$903,395","$10,161,479","$1,106,970",,"$141,332",,"$94,140","$293,180","$329,331","$1,813,545",,,,"$372,260","$294,472",,"$97,047","$641,738","$14,667,711","$10,310,411","$1,905,600",,,,"$3,962,885","$540,860","$262,872","$3,309,145","$2,320,032","$1,031,000","$7,636,309",,"$44,376,015",,"$142,455",,"$128,258","$281,514",,"$74,042","$1,983,508","$9,123,191","$926,629",,"$2,773,801",,"$1,461,980",,"$40,914","$14,079","$2,046,321",,"$256,542",,,"$834,723","$3,086,820","$870,963","$1,693,898",,,"$169,851",,"$6,269,310",,,,"$73,145","$2,643,706","$62,071","$171,999","$1,689,213",,"$37,618,495","$9,190,665",,"$2,673,233","$2,250,529",,,,,"$7,499,840","$2,848,251","$2,054,528","$729,555","$1,696,205","$29,032,559","$71,056","$1,403,149","$221,859",
0445760,,The Wayward Cloud (2005),"$18,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,153",,,,,,,,,"$321,196",,,,,"$2,095",,,,
0341384,,The Coast Guard (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,440,549",,,,,,,,,"$2,314",,,,,,,,,
