imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1334537,,Humpday (2009),,,,,,"$20,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,466",,,,,,,"$35,335",,,,,,,,,,,,,,,,,
0938341,,Tokyo Sonata (2008),,,,,,"$14,077",,,,,,,,,,,,,"$278,356",,,,,,,,"$544,118",,,,"$3,787",,,,,,,,,,,,,,,,"$3,117",,"$5,600",,,,,,,,,,,,,,,,,"$29,758",,,,"$26,090",,,,,"$12,054",,,,,"$26,590",,,
1179258,,Chéri (2009),"$127,587",,"$815,029","$74,354",,"$264,933",,"$188,916",,,,"$7,999",,,,,,,,,,,,,,"$32,846","$1,372,142","$567,631",,,,"$16,937",,,,,"$917,932",,,,,,"$35,342",,,,"$154,162",,"$60,317","$120,949",,,,,,,,,"$167,929",,,"$119,328",,"$93,643",,"$11,698",,,"$82,543",,"$561,150",,,,"$10,904",,"$74,757",,"$24,848","$673,008","$11,743","$63,958",
1148204,,Orphan (2009),"$610,784",,"$741,241","$139,253",,,"$73,403","$814,780",,,"$113,875","$722,045",,"$574,599","$78,085",,,,,,,"$98,769","$119,269","$48,888",,"$38,318","$5,790,293","$957,930",,"$819,189","$1,069,646",,"$24,985",,"$614,532",,"$1,283,140",,,,,"$32,846","$58,448",,"$88,259","$375,664","$3,836,710",,"$518,022","$157,630",,"$73,615",,,,"$626,784","$306,284",,"$328,984",,,"$45,137",,"$1,538,885","$41,167","$400,746","$10,570","$73,877","$118,712","$3,078,994","$2,713,843",,,"$652,099","$158,321",,"$454,693",,"$213,145","$3,538,218","$44,656","$2,096,667",
1142988,,The Ugly Truth (2009),"$528,566","$25,545","$10,529,622","$3,139,151","$70,345","$1,541,791","$68,849","$7,286,581","$228,662",,"$371,442","$370,726",,"$820,612","$289,413","$61,402","$491,058","$1,045,497","$88,915,214","$121,284","$40,655","$283,896","$206,681","$167,141","$5,132","$494,699","$5,770,389","$15,389,786","$15,948","$1,852,620","$891,570","$900,001","$144,517","$645,855","$639,473","$673,793","$3,210,325",,"$3,230,456","$47,471",,"$221,846","$327,037",,"$235,573","$481,525","$4,569,536",,"$1,835,456","$892,763","$81,528","$720,097","$8,431",,,"$610,439","$532,926","$1,026,532","$1,319,238",,,"$442,824",,"$6,509,661","$126,236","$1,057,162","$213,992","$325,729","$1,351,415","$2,026,095","$7,800,185","$1,207,855",,"$2,151,035","$403,384",,"$954,399","$877,094","$479,069","$10,358,259","$142,757","$2,010,193","$43,129"
0844479,,The Collector (2009),"$184,530",,,,,,"$69,919",,,,,"$29,473",,"$283,518",,,,,,,,,"$48,196",,,,,,,,,,,,,,,,,,,,"$6,294",,,"$57,361","$257,811",,,"$37,078",,,,,,"$336,332",,,,,,,,"$102,281",,,,,,"$22,778","$274,594",,,,,,"$234,478",,"$102,322","$475,396",,,
0971209,,A Perfect Getaway (2009),,,,,,"$693,518",,"$170,396","$59,282",,,,,,,,"$85,691",,"$15,515,460",,,,,,,,,,,,,"$29,767",,,,,,,,,,,"$9,310",,,"$417,477",,,"$548,387",,,,,,,,,,"$17,215",,,,,"$1,258,317",,"$94,415",,,"$207,298","$1,881,457","$95,246","$14,007",,"$59,577",,,,"$113,580","$284,551","$1,400,593",,,
0837796,,House (2008),,,,,,,,,,,,,,,,,,,,,,,"$130,953",,,,,,,,,,,,,,,,,,,,"$28,703",,,"$152,404",,,,,,,,,,,"$140,276",,,,,,,,,"$26,557",,,,,,,,,,,,,"$87,077",,,,
0775552,,Aliens in the Attic (2009),"$200,004",,"$3,686,961","$97,433","$24,661",,"$87,933","$493,214",,,"$62,482","$302,418",,"$393,112",,,,,,,"$10,771","$192,383","$9,379",,$274,,"$881,422","$835,656",,"$32,052",,,,,"$190,963",,"$934,216",,,,"$45,144",,,,,"$352,749","$2,185,351",,,"$559,903","$7,867",,"$2,826",,,"$510,873","$196,220",,,,"$19,070","$34,466",,"$1,423,518",,"$326,808",,,"$190,469",,"$5,465,811",,,,,,"$313,838",,"$131,910","$10,498,970","$41,171","$1,919,023",
1136608,,District 9 (2009),"$554,342",,"$7,469,104","$551,747",,"$871,010","$73,509","$2,606,642","$64,780",,"$71,631","$560,397",,"$523,275","$32,035","$17,230","$441,544","$1,208,413",,"$14,318","$34,078","$129,844",,"$63,741",,"$379,134","$9,347,921","$5,010,563","$9,107","$366,141","$975,509","$337,665","$92,214",,,,"$2,741,154","$51,787","$8,091,735",,,"$75,314","$16,889",,"$96,566","$744,751","$2,417,670",,"$741,872","$1,863,601","$33,619","$930,475",,,,"$315,694","$540,964","$1,451,356","$624,867",,,"$111,828",,"$9,399,845","$49,667","$406,028","$63,925","$42,182","$1,299,600","$5,536,209","$7,023,330","$1,253,456",,"$358,198","$557,280","$91,658","$315,739","$487,385","$431,163","$14,511,508","$31,204","$728,302",
1135503,,Julie & Julia (2009),"$430,607",,"$6,631,946","$331,112",,"$265,006","$8,105","$1,261,620","$27,613",,,"$56,166",,"$171,151","$45,386","$15,251","$69,815","$312,012",,,,"$53,071",,"$39,362",,"$533,335","$1,758,232","$2,794,885","$2,960","$782,907","$181,581","$236,959","$30,141",,,"$543,132","$3,006,094",,"$1,144,317",,,"$54,979","$36,327",,"$16,967",,"$594,723",,"$557,864","$1,370,503","$16,137","$1,040,420",,,,"$113,585","$77,548","$633,873","$499,524",,,"$42,579",,"$185,392","$25,398","$349,699",,"$64,563","$501,732","$222,472","$2,597,806","$721,662",,"$573,200","$38,570",,,,"$58,543","$3,996,292","$39,493","$252,479",
1129435,,The Beaches of Agnès (2008),"$65,961",,,"$5,123",,"$35,220",,"$3,728",,,,,,,,,,,"$239,711",,,,,,,,"$1,873,418","$7,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,453",,,
1198138,,Obsessed (2009),,"$59,712",,"$65,035","$19,505",,,,"$23,847",,,,,,,"$71,541",,,,"$37,667",,,"$37,026",,,,,"$529,794",,,,,,,,,"$83,546","$154,551",,"$14,091","$66,707",,"$28,722",,,"$248,926",,,,"$2,635","$59,295","$1,197","$2,244",,,,"$9,881","$286,507",,,"$21,733",,,,,"$277,785",,,"$343,932",,"$1,914,828",,,,,"$146,377",,,"$206,702","$854,917",,,
1075417,,Race to Witch Mountain (2009),"$966,504",,"$5,322,485","$144,130",,,"$111,046","$1,249,852","$106,675",,"$132,877","$674,840",,"$1,404,644","$25,062",,,,,,"$44,059","$609,549","$24,629","$29,275",,,,"$888,041","$3,432","$169,634","$389,057","$264,865","$31,529",,"$512,811","$277,815",,,"$249,637",,,"$37,864","$47,993",,"$36,174","$1,225,954","$4,560,558",,,"$698,823","$26,111",,,,,"$867,052","$1,059,099","$338,420",,,,"$66,363",,"$1,837,532",,"$850,039",,"$39,459","$567,217",,"$5,155,564","$180,280",,"$117,383","$795,335",,"$304,845","$203,636","$511,686","$4,180,119","$36,226","$1,838,367",
1161443,,Friend Zone (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,061",,,,,,,,,,,,,,,"$2,866,118",,,,,,,,,,,,
1213922,,My Stars (2008),"$101,672",,,,,,,,,,,"$4,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,933",,,,,,,,,,,,,,,,,"$3,114",,
1114677,,Hannah Montana: The Movie (2009),"$458,212",,"$8,715,937","$2,016,441",,"$663,471","$23,430","$2,796,536","$31,258",,"$65,081","$1,056,206",,"$542,492","$34,968",,"$698,408","$1,721,983",,,"$29,109","$480,266","$67,815","$22,073",,"$478,087","$3,074,413","$10,221,448","$4,013","$418,626","$89,552","$444,391","$29,143",,"$154,566","$175,395","$3,279,336",,,,,"$20,559","$133,756",,"$30,818","$277,881","$2,455,662",,"$268,539","$1,306,617","$33,342","$2,440,645",,,,"$534,630","$240,672","$1,470,683","$1,083,233",,,"$81,654",,,"$33,847","$322,082",,"$96,163","$748,758",,"$9,219,841","$927,430","$1,039,358",,,,"$203,347",,"$438,920","$13,937,675","$57,523","$534,271",
1046173,,G.I. Joe: The Rise of Cobra (2009),"$451,933",,"$6,818,543","$695,928",,"$1,659,242","$73,621","$3,517,203","$223,843",,"$254,451","$420,139",,"$923,425","$98,107",,"$242,167","$666,420",,,"$48,307","$619,555","$102,586","$34,353",,"$202,084","$7,390,359","$3,929,561","$5,013","$807,493","$1,789,732","$448,212","$75,827",,"$2,221,932","$255,777","$4,021,992",,"$8,872,480",,,"$64,299","$166,351",,"$55,571","$2,804,979","$7,228,645",,"$1,334,290","$1,367,884","$60,602","$609,322",,,,"$741,850","$3,235,639","$344,935","$830,720",,,"$199,794",,"$9,129,805","$28,483","$2,505,428",,"$34,842","$1,345,701","$15,940,289","$6,501,034","$828,618","$408,952","$2,048,471","$2,380,237",,"$964,177","$489,152","$1,353,197","$10,313,105","$13,913","$2,871,704",
1048171,,Seraphine (2008),"$110,486",,"$22,149","$52,473",,"$277,780",,,,,,,,"$37,309",,,,"$28,902","$884,613",,,,,,,"$41,849","$6,561,855","$137,774",,,"$25,880",,,,,,"$169,425",,,,,,,,"$2,720","$7,615",,,,"$139,752",,"$43,586",,,,,,,"$38,433",,,,,,,,,,"$27,256","$59,049","$566,810","$51,719",,"$21,140",,,,,,,"$20,801","$73,326",
1127877,,Cold Souls (2009),"$3,301",,"$28,780",,,"$15,534",,"$81,750",,,,,,,,,"$2,548",,"$905,209",,,,,,,,"$47,370",,,,,,,,,,,,,,,,$872,,,,,,,"$6,256",,,,,,,,,"$27,950",,,,,"$15,267",,,,,,,,,,,,,,,,,,,
1160368,,12 Rounds (2009),,,"$579,091",,"$54,139",,"$8,668",,"$40,986",,"$14,760",,,,,,,,,,"$29,874","$34,487","$76,607",,"$3,409","$47,516",,"$48,378","$5,795",,,,,,,,"$21,424","$14,000",,,,"$9,443","$28,844","$25,000",,"$272,887","$321,345",,,"$184,601","$12,738",,"$22,125",,,"$64,846","$152,859",,,"$135,000","$72,993",,,"$430,730",,"$280,522",,,"$143,428",,"$92,150",,,,,,"$101,150","$35,702","$240,914","$1,187,641",,"$251,580",
0465461,,Four Last Songs (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029235,,Max Manus: Man of War (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,533",,,,,,,,,,,,,,"$2,682",,,,,,,,,,,,,,,,,,,
0783532,,Gangster's Paradise: Jerusalema (2008),,,,,,,,,,,,,,,,,,,"$7,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$414,299",,,,,,,,,,,,,,
1037156,,Stone of Destiny (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0819953,,Days of Darkness (2007),"$15,773",,,,,"$36,531",,"$88,304",,,,,,,,,,,"$1,491,525",,,,,,,,"$530,435",,,"$19,455",,,,,,,"$793,131",,,,,,,,,,,,,,,,,,,,,,"$1,647",,,,,"$27,494",,,,,,,"$380,203",,,,,,"$30,183",,,,,,
0923811,,Evangelion: 1.0 You Are (Not) Alone (2007),,,"$13,658",,,,,,,,,,,,,,,,"$107,797",,,,,,,,"$11,592",,,,"$139,527",,,,,,,,"$15,488,316",,,,,,,"$6,391",,,,"$2,043",,,,,,,,,,,,,,,,,,,,"$500,139","$8,834",,,"$50,720","$8,868",,"$116,042",,,,,,
0848281,,The Deal (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$206,318",,,,,,,,,,,,,,,,,,,
0806165,,The Ramen Girl (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$171,808",,,,,,,,,,,,,,,,,
1092633,,"The Goods: Live Hard, Sell Hard (2009)",,,,,,,,"$39,898",,,,,,,,,,,,,,,,,,,,,,,,,"$19,895",,,,,,,,,,,,,,"$10,649",,,,,,,,,,,,"$4,753",,,,,,,"$10,247",,,,,,,,,,,,,"$92,767",,,,
1185836,,Adam (2009),,,"$15,471",,,,,,,,,,,,,,,,"$2,277,396",,,,,,,,"$543,357",,,,,,"$1,258",,,,,,,,,,,,,,,,,"$8,210",,,,,,,,,,,,,,,,,,,"$28,745",,"$52,039",,,,,,,,,"$110,697",,,
0247419,,Ignition (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$363,078",,,,,,,,"$9,961",,,,
1176251,,Gigantic (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,934",,,
0452694,,The Time Traveler's Wife (2009),"$128,974",,"$5,182,619","$280,315",,,"$12,138","$1,395,325","$38,229",,"$25,637","$56,630",,"$71,814","$83,556",,"$31,022",,,,"$19,061","$41,781",,"$32,533",,,"$226,318","$1,598,672","$7,078","$73,626","$620,066","$185,017","$14,593",,,"$448,482","$710,243",,"$933,360",,,"$40,750","$37,506",,"$73,453","$209,263","$2,345,730",,"$251,566","$618,569","$16,858",,,,,"$198,926","$235,282","$55,556","$118,433",,,"$77,663",,"$1,182,418",,"$495,208","$17,909","$32,382","$417,300","$4,657,881","$1,073,725",,,"$442,996","$122,210",,"$478,833",,"$228,344","$12,171,979","$5,912","$57,996",
0830570,,I Can't Think Straight (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,369",,,
1151922,,Miss March (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,737",,"$21,783",,,,,,,,,,,,
0976222,,Bandslam (2009),,,"$642,090",,,"$419,371",,"$144,436",,,,"$8,955",,,"$44,863",,,,,,,,,,,,"$647,817",,,,"$16,365",,"$14,701",,,,"$319,719",,,,,,"$13,800",,,"$29,339","$112,095",,"$223,868","$83,017","$9,383",,,,,,"$9,988",,,,,,,,,"$86,322",,,"$263,946","$435,397","$749,455",,"$17,980","$21,611","$36,655",,,,"$119,431","$2,543,431",,,
1032815,,"I Love You, Beth Cooper (2009)",,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,519","$43,370",,,,,,,"$58,378",,"$4,569",,,,,,,,,"$206,173",,,,"$93,878",,,,,,,"$108,229",,,,,,,,,"$172,521",,,"$63,420",,"$47,255",,,,,,,,,"$203,870",,,
0996948,,No Regret (2006),,,,,,,,,,,,,,,,,,,"$15,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$289,756",,,,,,,,,,,,,
