imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East/UAE,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0817544,,Never Forever (2007),,,,,,,,,,,,,,,,,"$14,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,244",,,,,,"$670,500",,,,,,,,,,,,,,,
1403981,,Remember Me (2010),"$305,441","$1,216,554","$538,732",,"$1,503,833","$13,246","$1,980,250","$31,929",,"$103,496",,"$166,540","$108,751",,"$177,837","$441,619",,,,"$68,947","$109,369","$53,395",,"$304,766","$3,534,862","$3,265,022",,"$500,641","$318,739","$154,686","$10,451",,,,"$3,008,966",,,,,"$64,300","$93,981","$55,368","$71,301",,"$1,082,812",,,"$760,329","$236,347",,,"$422,849",,,"$162,659","$210,317","$566,361","$451,557",,"$127,621",,"$3,489,448","$20,167","$157,706","$24,090","$65,975","$234,504","$181,306","$45,781","$765,852",,,,"$124,326","$124,455",,"$725,054","$241,408","$208,911","$5,494,638","$28,265","$339,681",
1029241,,Vinyan (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,679",,,,,,,,
0920470,,The Last Deadly Mission (2008),"$75,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,439",,
1323045,,Frozen (2010),,,,,,"$24,613","$251,715",,,,,,,,,,,,,"$47,518",,,,,,,,,"$202,585",,,,,,"$837,592",,,,,,,,"$125,622",,"$398,162",,,,,,,,,,"$281,406","$44,897",,,,,,"$709,283",,"$67,933",,"$21,212",,,,,,,,$338,"$6,702",,"$169,613","$73,056","$95,389",,,"$239,962",
1134854,,Survival of the Dead (2009),"$110,736",,"$2,928",,,,,,,,,,,,,,"$101,740",,,,,,,,,"$38,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$132,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104083,,Little Ashes (2008),,"$3,166",,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,054",,,,,,"$69,265","$104,991",,,,,"$19,775",,,,,,"$19,429",,,
1305583,,Our Family Wedding (2010),,,,,,,,,,,,,,,,,,,"$13,148",,,,,,"$9,875",,"$9,065",,,,,,,,"$43,005",,,,,,,,,,"$77,046",,,,,,"$25,677",,,,,,,,,,,,,,,,"$80,842",,"$46,786",,,,,,,,,,,"$142,755",,,
1038919,,The Bounty Hunter (2010),"$344,433","$4,409,434","$1,737,382","$55,932","$1,031,218","$59,172","$3,284,719","$204,752",,"$113,902",,"$496,849","$177,844",,"$174,093","$722,521",,,"$46,806","$166,521","$234,563","$113,615",,"$421,958","$2,047,060","$8,779,934","$26,254","$1,092,013","$300,193","$682,468","$83,862",,"$242,605","$742,986","$2,208,057",,"$276,353",,,"$122,884","$221,368","$111,690","$341,555",,"$2,942,253",,,"$1,378,923","$526,955",,"$95,288","$498,080",,,"$267,888","$190,245","$764,757","$745,978",,"$381,578",,"$6,369,807","$62,846","$405,543","$197,442","$217,357","$1,410,328","$380,323","$4,053,717","$674,983",,,,"$592,073","$156,661",,"$585,477","$583,074","$772,333","$8,998,455","$122,335","$673,976",
1151359,,Leaves of Grass (2009),,,,,,,,,,,,,,,,,"$70,066",,,,,,,,,,,,,,,,,,"$915,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,461",,,,,,,,,,"$33,636",,,,
