imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1028576,,Secretariat (2010),,,,,,,,,,,,,"$81,784",,,,,,,,"$42,672",,,,,,,,,,,,,,"$14,345",,,,,,,"$11,636",,,,,"$75,062",,,,,,,,"$30,070",,,,,,,,"$151,024",,"$15,877",,,,,,"$35,096",,"$34,606","$110,920","$4,814",,
1314655,,Devil (2010),"$730,523",,"$1,658,511","$458,563",,"$218,859","$90,168","$635,735","$69,743",,,,"$326,586","$64,309",,"$91,214",,,,,"$160,114","$63,709","$40,384",,"$44,830","$72,182","$1,890,582",,"$191,798","$665,203","$20,813","$12,424",,"$303,702",,"$1,676,907",,,,,"$26,048","$53,861","$28,336","$555,731","$2,193,500","$795,614","$133,339",,"$145,194",,,"$478,951","$290,408",,"$216,171",,"$95,227","$2,306,011","$27,436","$573,430",,"$70,951",,"$750,904","$1,357,244","$244,563",,"$172,794","$327,541",,"$575,791","$157,129","$342,953","$4,477,471","$17,633","$573,129","$246,949"
1414382,,You Again (2010),,,,"$61,002",,,,,"$80,751",,,,,,,,,,,,,"$10,332","$30,090",,,,"$238,507",,,,"$73,485","$27,716",,"$173,656","$237,242","$34,225",,,,,,"$40,047","$39,934","$328,739",,,"$11,961",,,,,,"$141,433",,"$140,580",,"$241,672","$3,198,037",,"$297,354",,"$91,973","$394,708",,"$27,706",,,,,,"$69,822",,"$127,546","$233,798",,,
1055292,,Life as We Know It (2010),"$650,507",,"$7,296,251","$1,144,067",,"$559,470","$105,274","$2,464,976","$175,609",,"$233,100",,"$542,084","$79,226",,,,,,,"$187,899","$140,932","$39,738",,"$163,686","$3,133,692","$5,568,426",,"$237,947","$410,176","$312,830","$72,330",,"$330,729","$725,513","$972,941",,,,,"$40,580","$198,531","$72,228","$443,749","$4,067,433","$1,702,653","$538,632","$29,651","$148,607",,,"$540,281","$469,497","$696,674","$702,988",,"$367,319","$2,437,726",,"$467,525","$28,162","$189,457","$1,172,038",,"$3,356,143",,"$589,966","$557,333",,,"$583,532","$485,456","$424,695","$5,281,554","$83,988","$967,666","$168,268"
1584016,,Catfish (2010),,,"$189,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$186,,,,,,,,,,,,,,,"$33,519",,,,,,,,,,,"$29,366",,,,,,,,,,,,,,,,"$43,602",,,
1182350,,You Will Meet a Tall Dark Stranger (2010),"$729,617",,,"$498,696",,"$407,691",,"$1,611,299","$67,070",,,,,"$66,066",,"$121,558",,"$3,248,246",,,,,"$17,645",,"$249,154","$7,399,145","$2,105,813",,"$948,472","$59,037","$114,276","$15,459",,,,"$6,487,957",,,,,"$37,221",,"$21,435",,"$345,759","$391,032","$65,324",,"$157,815",,,"$57,651",,"$1,382,077","$363,670",,"$71,692","$635,021","$19,538",,,,"$90,333","$174,177","$5,960,295","$524,123","$644,051","$29,557",,,"$82,614",,"$55,113","$512,396","$150,604","$96,561",
1423995,,Stone (2010),"$263,515",,,,,"$36,697","$1,123","$279,806","$73,331",,,,,"$13,965",,,,,,,,,"$16,926",,,"$555,014",,,"$470,417",,,"$1,540",,,,,,,,,"$16,928","$29,692","$22,156",,"$655,036",,,,,,,"$123,863",,,"$269,494",,,"$1,932,313","$37,585",,,,,"$69,351","$2,296,632",,,"$153,424",,,"$738,913","$40,006","$366,385",,"$26,226",,
0448400,,Grimm Love (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,862",,,,,,,,,,,,,,,,,,,,,,
1645089,,Inside Job (2010),,,"$389,910",,,,,"$108,467",,,,,"$28,627",,,,"$80,615",,,,,,,,,"$669,049",,,,"$73,083",,,"$32,027",,,,,"$181,418",,,,,,,"$55,163",,"$137,426",,,,,,,"$14,647","$173,993",,,,,,,,,"$40,096","$862,111","$13,014",,,,,,,,"$516,001","$20,172",,
1315962,,Partir (2009),"$123,433",,"$34,437","$17,992",,"$327,698",,,,,"$10,451",,,,,,"$190,585",,,,,,,,,"$4,995,229","$150,044",,"$76,151",,,,,,,"$410,506",,,,,,"$15,215",,,"$21,822","$54,227","$149,688",,,,,"$6,727",,,,,"$5,621","$24,248",,,,,,,"$251,210","$110,504",,"$10,844",,,"$59,033",,,"$315,552","$18,006",$698,
1470827,,Monsters (2010),,,"$218,559","$62,742",,,,,,,,,,,,,,,,,,,"$2,573",,,"$327,437","$186,963",,,"$88,851",,,,,,"$17,799",,,,,,,,,"$463,534",,"$42,911",,"$43,747",,,,,"$110,966","$17,801",,,"$1,403,668",,"$39,817",,,,,"$194,369",,,,"$30,335",,"$108,473",,"$19,929","$1,442,663",,,
1244754,,Conviction (2010),"$79,284",,"$2,050,830","$77,137",,,,"$102,469",,,,,,,,,,"$6,783,129",,,,,,,,"$23,322","$303,412",,"$52,406",,,,,,,,,,,,,,,,"$146,434",,"$111,497",,,,,,,,"$138,790",,,,,,,,"$60,130",,"$694,880",,,,,,,,"$31,879","$442,904","$6,052",,
1107319,,Dirty Girl (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,616",,,,,,,"$17,917",,"$43,827",,,,,,
1148165,,Bran Nue Dae (2009),,,"$6,698,962",,,,,,,,,,,,,,,"$113,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334260,,Never Let Me Go (2010),"$81,700",,"$821,696","$56,510",,"$81,866",,"$42,174",,,"$88,728",,,,,,,"$2,434,652",,,,,,,"$61,135","$273,290","$381,797",,"$111,379","$57,621","$17,075",,,,,"$590,123",,,,"$19,376",,,,,"$133,763","$163,339","$181,466",,,,,,"$11,264",,,,"$19,793","$79,840",,"$42,504",,,"$28,012","$29,302","$388,375",,,,,,"$209,922",,"$9,206","$3,488,887",,"$13,298",
0959282,,Am Limit (2007),,,"$1,709","$270,493",,,,,,,,,,,,,,,,,,,,,,,"$1,508,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,640",,,,,,,,,,
0775489,,The Illusionist (2010),"$148,313",,"$35,504","$31,528",,"$57,223",,"$72,095",,,,,,,,,,,,,,,,,"$6,965","$1,019,655",,,,,,,,,,"$317,410",,,,,"$4,652",,"$2,675",,,"$8,763","$66,024",,,,,,,,"$95,457",,"$11,096","$164,496",,"$16,375",,,,"$110,500","$152,938",,,,,,"$36,752",,,"$1,417,299",,,
