imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1591095,,Insidious (2010),"$637,019",,"$1,416,579","$532,944",,"$622,198",,"$931,281",,,,,,,,,,"$54,009,150",,"$223,376",,,"$34,113",,,"$4,171,121","$1,840,098",,"$368,069","$477,103",,,,,,,"$2,837,985",,,,,,,"$25,835","$342,729","$3,508,302",,"$864,512",,,,,,"$424,063","$126,383","$716,833","$209,069",,,,"$3,881,685",,"$312,757",,,"$74,988","$223,376","$7,734,705","$300,141",,,,,"$526,335","$269,398",,"$364,035",,"$160,814","$11,545,946","$46,905","$346,607",
1518812,,Meek's Cutoff (2010),,,"$3,012","$17,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,305",,,,,,,,,,,,,,,,,,,,,,,"$191,882",,,
1640459,,Hobo with a Shotgun (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,107",,,,,,,,,,,,,,,,,,,"$41,974",,,
1606392,,Win Win (2011),,,"$274,644",,,,,,,,,,,,,"$3,483",,,,,,,,,"$9,905","$56,236","$88,914",,,,,,,,,,"$9,047",,,,,,,,,,,,"$56,781",,,,,,,,,,,,,,"$8,195",,,"$29,347",,"$294,394",,,,,,,,,"$47,541",,,"$731,851",,,
1263750,,Room in Rome (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,398",,,,,,,,,,,,,,,,"$29,678",,,,,,,,,,,,,,,"$79,393",,,,,,,,,,,,,"$17,725",,,,,,,,,
1037163,,The Time That Remains (2009),,,,,,"$32,705",,,,,,,,,,,,,,,,,,,,"$753,808",,,,,,,,,,,"$195,172",,,,,,"$13,129",,,,,,,,,,,,,,"$9,822",,,,,,,,,,,,,,,,,,,,,,,,,,
1209367,,The Swimsuit Issue (2008),,,,"$27,859",,,,,,,,,,,,,,,,,,,,,,,"$1,080,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,342,970",,,,,,,,,,,,,,
1560139,,Boy (2010),,,"$1,602,517",,,,,,,,,,,,,,,,,,,,,,,,"$11,745",,,,,"$1,020",,,,,,,,,,,,,,,,,$739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280501,,The Necessities of Life (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650043,,Diary of a Wimpy Kid: Rodrick Rules (2011),,,"$6,219,246",,,,,"$590,094",,,,,,,,,,,,,,,,,,"$1,303","$2,341,717",,,,,,,,,,"$546,695",,,,,,,,"$150,532",,,,"$432,598",,,,,,"$145,779",,,,,,,,"$290,671",,,"$56,568",,"$149,712",,,,,,,,,"$395,559",,,"$8,507,987",,,
1220888,,Henry's Crime (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,029",,,,,,,,,,,,,"$8,634",,"$76,482",,,,,,,,,,,,,,,,"$1,587,260",,"$10,613",,,,,,,,,,,,,,"$113,288","$89,855","$39,698","$102,399",,,
1411704,,Hop (2011),"$564,769",,"$12,361,918","$1,325,952",,"$579,319","$88,552","$1,751,874",,,,,"$863,560","$85,171",,"$97,302","$731,179","$108,498,305",,,"$303,177","$52,702","$104,998",,"$225,774","$5,198,615","$3,820,584","$5,582","$52,452","$380,199","$104,009","$128,272",,,,"$469,107","$1,606,318",,"$3,086,306",,,"$36,935","$88,037","$132,988","$546,052","$7,315,124",,"$979,031","$1,674,293","$41,671","$878,369",,,"$774,000","$264,282","$559,369","$638,390",,"$72,722",,"$2,863,803","$17,697","$726,487","$53,998","$179,689","$1,004,056","$1,126,752","$5,027,911","$653,360",,,,,"$280,961","$387,709",,"$627,678","$468,158","$545,045","$12,235,046","$65,284","$1,325,821",
0775417,,Am Ende kommen Touristen (2007),"$14,943",,,"$8,131",,,,"$58,127",,,,,,,,,,,,,,,,,,"$286,964","$470,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103963,,24 City (2008),,,,"$5,347",,"$5,799",,,,,,"$160,633",,,,,,,,,,,,,,"$165,421",,,,"$11,789",,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,844",,,,,"$2,259",,,,,"$9,025",,,,,,,,,,,,,,,,
1623008,,The Arbor (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,886",,,
1537401,,Leap Year (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,687",,,,,,,,,,,,,,,,,,,,,,"$43,576",,,,,,,,,,,,,,,
1436045,,13 Assassins (2010),,,"$72,584",,,,,"$27,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$263,079",,"$16,752,363",,,,,,,,,,"$28,040",,,,,,,,,,,,"$12,784",,"$46,593",,,,,"$93,007",,,,,,,,,,,,"$590,316",,,
1451762,,On Tour (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,044",,,,,,,,,,,,,,,"$29,515",,,,,,,,,,,,,,,,,,,,"$3,967",,
0993842,,Hanna (2011),"$182,098","$7,788","$1,936,363","$193,075",,"$138,390",,,,,,,,"$46,078","$26,198","$36,362","$166,817",,"$27,100","$14,603",,"$39,051","$11,380","$3,286","$132,751","$817,780","$2,915,340","$9,495","$437,680","$141,443","$45,556","$40,949","$144,978",,,,"$567,320",,"$741,825",,,"$21,886","$37,424","$17,768","$284,558",,,,"$366,724","$72,461","$237,434",,,,"$18,103","$279,180","$201,120",,"$103,630",,"$1,966,472","$29,099","$209,121",,"$40,354","$142,528","$1,464,299","$1,506,852","$144,354",,,,,"$170,324","$148,406",,"$317,197","$180,932","$403,610","$6,090,635",,,"$163,833"
1291652,,Easy Money (2010),,,,,,"$13,085",,,,,,,,,,,"$39,278","$205,741",,,,,,,"$12,635","$255,634","$24,230",,,,,"$46,085",,,,,,,,,,,,,,,,,,,"$256,533",,,,,,,,,,"$6,891",,,,,,,"$110,730","$7,205,130",,,,,,,,,,,"$74,788",,,
1437366,,Beyond (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334512,,Arthur (2011),,,"$5,292,540","$169,271",,,,,,,,,"$134,909",,,,,,,,,,"$52,801",,,,"$498,212",,,,,"$47,470",,,,,,,,,,,"$32,913",,,,,"$441,069","$685,345",,"$95,610",,,"$187,726","$218,224",,"$133,267",,,,,,"$528,931",,,"$517,670",,,"$230,243",,,,,,,,,,"$432,112","$5,414,235",,,
1262416,,Scream 4 (2011),"$571,673",,"$4,435,657","$795,956",,"$1,265,472","$8,005","$4,637,919","$42,006",,"$144,680",,,"$48,402",,"$147,092","$533,959","$38,180,928",,,"$92,734","$118,717","$20,982",,"$471,529","$9,792,016","$4,466,288",,"$668,999","$569,971","$53,605","$34,174",,,,,"$1,870,406",,,,,"$28,553","$92,910","$30,942","$627,038","$2,378,267",,"$1,096,776","$350,316",,"$581,383",,,"$383,887","$152,525","$496,042","$321,689",,"$55,062",,"$4,116,546",,"$567,091","$18,999",,"$347,353","$323,876","$2,197,129","$773,649",,,,,"$328,067","$261,505",,"$1,003,677","$231,734","$320,818","$9,099,365","$81,175",,
1436562,,Rio (2011),"$9,439,638",,"$17,230,382","$3,296,931","$50,885","$3,513,828","$895,429","$33,552,469","$639,837","$835,883","$1,378,695","$3,455,044","$8,344,012","$398,401",,"$1,067,141","$1,663,214","$143,619,809","$76,264","$6,227","$2,314,274","$222,373","$384,241","$5,649","$1,946,344","$24,764,458","$17,815,018",,"$1,413,944","$1,203,396","$1,314,101","$132,358","$2,472,341",,,"$2,686,430","$9,204,958",,,"$31,302","$441,702","$349,354","$440,337","$397,037","$1,689,506","$26,619,086",,"$6,112,846","$2,365,313",,"$3,385,457","$60,852",,"$3,854,491","$1,649,922","$2,738,912","$3,688,140","$291,960","$729,452","$11,273,838","$24,803,056","$345,697","$1,878,218","$538,213","$475,900","$2,942,794","$4,385,271","$13,340,789","$2,776,342","$410,078",,,,"$1,229,626","$790,364",,"$1,877,441","$1,838,484","$1,883,077","$21,578,418","$776,450","$8,133,434","$235,068"
1599975,,The Princess of Montpensier (2010),"$13,040",,"$13,053",,,"$90,894",,,,,,,,,,,,,,,,,,,,"$5,922,378",,,"$23,085",,,,,,,,,,,,,,"$3,247",,,,,,,,,,,,,,"$7,546",,"$8,246",,"$409,421",,,,,,,,,,,,,,,,,,"$10,105","$111,758",,,
1527186,,Melancholia (2011),,,"$913,897","$228,599",,"$426,817",,,,,,,"$76,601",,,"$217,778","$851,958","$3,030,848",,,,,"$4,696",,"$236,925","$2,257,374","$2,474,779",,"$162,357","$27,928",,"$6,781",,,,,"$738,653",,,,,,"$2,369",,,"$108,040",,"$610,057","$247,496",,"$375,853",,,,,"$500,865","$53,844",,,,"$1,264,305","$21,379",,,,,,"$957,141","$622,630",,,,,"$54,421","$21,995",,"$87,517","$6,410","$2,337","$912,898",,,
0800369,,Thor (2011),"$2,399,738",,"$20,135,378","$1,665,346",,"$1,255,410","$370,749","$12,092,872","$577,677",,"$1,249,402",,"$2,468,907","$368,650",,"$735,683","$1,529,183",,,"$50,606","$1,281,880","$156,908","$128,052",,"$418,130","$18,370,989","$16,007,303","$30,017","$1,852,788","$2,490,495","$744,824","$261,866","$1,001,416","$273,076",,"$748,171","$10,900,780",,"$5,737,436",,,"$96,627","$282,342","$74,700","$3,730,598","$19,547,866",,"$1,953,880","$1,900,064","$140,960","$2,026,533",,,"$1,970,451","$4,027,405","$1,612,281","$1,355,963",,"$772,310",,"$16,543,455","$72,757","$4,250,375","$193,658","$122,992","$2,009,016","$14,791,773","$12,440,218","$2,294,015",,,,,"$5,830,415","$2,316,699",,"$2,088,436","$1,477,787","$2,066,386","$22,521,717","$82,485","$2,647,111",
1334102,,The Resident (2011),"$189,896",,,,,,"$3,375","$186,815",,,"$64,340",,"$130,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,663","$644,036",,,,,,,,"$150,791",,,,,,,,,"$14,645",,,,"$477,707",,,,,,,$211,"$77,115",,,,,,"$19,996","$273,336",
1498887,,Women Without Men (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,942",,,,,,,,,,,,,,,,,,,,,,
1229381,,Outside the Law (2010),"$7,729",,,,,"$147,293",,,,,,,,,,,,,,,,,,,,"$3,145,225",,,,,,,,,,,"$67,045",,,,,,,,,,,,,,,,,,,,"$6,262",,,,,,,,,,,,,,,,,,,,,,,,,,
1366981,,Wrong Rosary (2009),"$9,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0985636,,Laaga Chunari Mein Daag (2007),,,"$108,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,121,041",,,,,,,,,,,,"$29,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,420,826",,,
0372782,,A Good Lawyer's Wife (2003),"$41,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
