imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1305797,,Enthiran (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,048,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684628,,Circumstance (2011),,,,,"$32,737",,,,,,,,,,,,,,,,"$61,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,727",,,
1233576,,Reykjavik-Rotterdam (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,"$195,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,472",,,,,,,,,,,,
1080857,,I'm Gonna Explode (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675192,,Take Shelter (2011),,,"$27,617",,"$43,386",,,,,,,,"$13,980",,,,,,,,"$1,052,569","$240,584",,,,,,,,,"$21,727",,,,,,,,,,,,,,,"$29,035",,"$12,727",,,,"$8,560","$24,081",,"$179,502",,,,"$8,536",,"$54,565",,,"$293,933",,,
1174042,,The Myth of the American Sleepover (2010),,,,,,,,,,,,,,,,"$41,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$597,,,
1504319,,Road to Nowhere (2010),,,,,,,,,,,,,,,,,,,,,"$83,496",,,,,,,,,,,,,,,,,,,,,,,,,"$37,829",,,,,,,,,,,,,,,,,,,,,
1613062,,The Music Never Stopped (2011),,,,,,,"$43,488",,,,,,,,,"$258,223",,,,,,"$39,873",,,,,,,,,,,,,,,,,,,,,,,,$618,,,,,,,,,,,,,,,,,,,,,
0281534,,ABC Africa (2001),,,,,,,,,,,,,,,,,,,,,"$13,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661862,,No Rest for the Wicked (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,878,860",,,,,,,,,,,"$45,280",
