imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1682181,,Bully (2011),,,"$54,704",,,,,,,,,,,,,,"$4,142,648",,,,,,,,,,,,"$6,559",,,,,,,,,,,,,,,,"$25,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435513,,Hysteria (2011),"$114,071",,"$1,537,574","$33,045",,"$122,638",,"$97,267",,"$13,336",,,"$5,943",,"$125,807","$183,800",,,,,,"$116,979","$241,902","$561,800",,"$36,590",,,,,,,"$1,388,235",,,,,,,,"$205,753","$94,607","$561,840",,"$441,770",,"$66,919",,"$295,420","$93,106",,,,"$231,028",,"$30,285","$5,472","$16,701","$35,297",,"$692,261","$149,735",,,,"$9,765",,"$44,499",,,"$60,823","$7,989","$157,860"
1195478,,The Five-Year Engagement (2012),,,"$6,353,823","$1,126,806",,"$102,102",,,,,,,"$44,480",,,,,,,"$58,086",,,"$109,842","$4,777,603",,,,,"$38,952",,,"$326,058","$278,869",,,,,"$53,434",,,"$968,967","$43,908","$655,404",,,,"$181,141",,"$157,569","$110,927",,,,"$772,370",,,,"$65,088","$246,165",,"$424,622",,,,,,,,,"$350,666","$7,743,125","$16,595","$327,233"
2051941,,Men in Hope (2011),,,,,,,,,,,,,,,"$5,500,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$625,818",,,,,,,,,,,,,,,,
1059969,,Spud (2010),,,,,,,,,,,,,,,,,,"$1,440",,,,,,,,,,,,,,,,,,,,,,,,,"$44,455",,,,,,,,,,,,,,,,"$2,316,147",,,,,,,,,,,,,,
0913413,,The Marc Pease Experience (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$368,331",,,,,,,,,,,,,,,,,"$6,823",,,,,,,,,,,"$11,397",,,,,,,,,,,,
1621045,,Think Like a Man (2012),,,,,"$11,673","$29,876",,,,,,,,,,"$11,381",,"$60,485",,"$40,907",,,,"$165,257","$16,380",,,,,,,,,,,,,"$179,232",,,,,,"$253,445",,,,,,,,,,,,,,,"$1,273,221",,,,,,,,,,,"$425,650","$1,027,944",,
1327194,,The Lucky One (2012),"$517,799",,"$6,517,924","$498,505",,"$501,988","$26,491","$1,003,664",,"$233,649",,"$314,803","$29,373",,"$42,466","$140,450",,"$8,395","$179,197","$98,734",,,,"$4,987,616",,"$368,440",,"$63,514","$28,336","$17,133",,,"$1,948,392",,"$238,767",,,"$132,570",,,"$2,248,465","$1,174,455","$622,517",,,,"$207,011","$534,291",,"$364,333",,,,"$963,588",,"$520,465","$42,493","$64,045","$506,768",,"$1,961,472","$445,290",,,,,,,"$100,494","$383,706","$4,548,437","$77,264","$891,957"
1094241,,Bride Flight (2008),,,,,,"$6,172",,,,,,,,,,,"$501,360",,,,,,,,,,,,,,,,,,,,,,,,,"$3,466,891","$192,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656190,,Safe (2012),,,"$1,149,674","$323,171",,"$394,348",,,"$195,273","$55,194",,,"$22,156",,,,,,,,,,"$1,749,510","$1,885,087","$35,034","$149,117",,"$80,764","$42,740","$69,023",,,,,,,,"$99,876",,"$724,987","$863,765","$614,305","$268,778","$29,268","$288,637",,"$402,790","$207,312",,"$158,132",,,,"$6,334,618","$10,529","$79,579",,"$19,113","$445,919",,"$1,836,530",,,,,"$390,758",,"$793,835","$474,035","$1,290,243","$2,927,441","$11,049",
1922645,,The Fairy (2011),,,,,,"$66,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,592",,,,,,,,,,,,,,"$15,059",,,"$7,539",,
1640484,,Jumping the Broom (2011),,"$11,809",,,,,,,,,,,,"$23,777",,,,"$27,004",,,,,,,"$17,568",,,,,,,,,"$94,180",,,,,,,,,,"$148,887",,,,,,,,,,,,,,,"$381,653",,,,,,,,"$158,329",,,,,,
0803061,,Red Dog (2011),,,"$20,678,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$429,052",,,,,,,,,,,,,"$6,852",,,,,,,,,,,,,,,"$71,163",,
