imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0855852,,Kabei: Our Mother (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,338,859",,,,,,,,,,,,,,,,,,,"$7,018",,"$13,541",,,,,,,,"$12,130",,,,,,,,,
0395514,,The Last Trapper (2004),,,,,,,,,,,,,,,,,,,,,,,"$14,905,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$307,112",,,"$42,871",,,,,,,,,
2006040,,A Fantastic Fear of Everything (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,948",,,
1986953,,Storage 24 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$159,030",,"$57,330","$372,153",,,
1667310,,Deadfall (2012),,,"$134,499",,"$22,505",,"$532,831","$40,482",,,,"$172,789",,,,,,,,,,,,"$315,018",,,"$1,905",,,,,,,,,,,,,"$161,081",,,,,,,"$44,069","$29,046",,"$19,346",,,,"$17,310","$44,290",,,,,"$101,127",,,,"$17,494",,,,"$125,185","$95,401",,"$5,525",
1286809,,Skirt Day (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,027",,,,,,,,,,,,,,,,,,,
1531901,,Byzantium (2012),,,,,"$24,070",,,,,,,,"$2,752",,,,,,,,,,,,,"$10,885",,,,,,,,,,,,,,,"$44,420","$16,512",,,,,,,"$114,351",,,,,,"$14,270",,"$4,474",,,"$7,421",,,,"$72,038",,"$7,289",,"$37,732","$382,833",,,
1800741,,Step Up Revolution (2012),"$40,553","$5,501,601","$1,718,138",,"$3,046,050",,,"$187,719",,,,,"$251,251",,"$420,290","$687,818",,"$81,084","$109,228","$325,073",,"$430,107","$9,489,199","$12,690,216",,"$698,633","$2,322,161","$357,177","$73,895","$1,096,554",,,"$5,552,315",,,,"$762,846",,"$2,512,639",,"$3,256,987","$1,062,204","$64,802","$447,508",,,"$7,858","$1,091,954","$1,247,270","$433,629",,,"$8,410,129","$22,494","$1,978,566","$159,314","$128,107","$2,408,244","$6,191,133","$2,281,416",,,,"$2,770,867",,,"$531,429","$2,173,686","$4,206,880",,,
1959409,,Imaginaerum (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,593",,,,,,,,,,,,,,"$81,556",,,,,,,,,,,,,,,,,,,
1740053,,A Burning Hot Summer (2011),,,,,,,"$50,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,919",,,,,,,,,,,,,,,,,,,
1242447,,Nativity! (2009),,,,,,,,,,,,,,,,,,,,,,,,"$32,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,108",,,,,,,,,,"$8,413,928",,,
1649780,,"Peace, Love & Misunderstanding (2011)",,,,"$395,459",,,"$20,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,043",,,,,,,,"$68,375",,,,,,,,,,"$28,629",,,,
2062645,,Made In Mexico (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$891,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
