imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0104940,,The Muppet Christmas Carol (1992),,"$7,296",,,,,,,,,,,,,,,,,,"$27,381,507",,,,,,,"$222,120","$2,687,149",,,,,,,,,,"$611,607",,,,,,,,,,,,,,,"$1,967",,,,,,,,,,,,,,,,,,,"$1,077,200",,,,,,,,,,"$1,285,203",,,,
0055254,,One Hundred and One Dalmatians (1961),,,,,,,,,,,,,,,,,,,,"$144,880,014",,,,,,,,,,,,,,,,,,"$141,773",,,,,,,,,,,,,,,"$4,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0046183,,Peter Pan (1953),,,,,,,,,,,,,,,,,,,,"$87,404,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0076618,,The Rescuers (1977),,,,,,,,,,,,,,,,,,,,"$71,215,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0102803,,The Rocketeer (1991),,,,,,,,,,,,,,,,,,,,"$46,704,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0053285,,Sleeping Beauty (1959),,,,,,,,,,,,,,,,,,,,"$51,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038969,,Song of the South (1946),,,,,,,,,,,,,,,,,,,,"$37,459,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084827,,Tron (1982),,,,,,,,,,,,,,,,,,,,"$33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0086066,,The Outsiders (1983),,,,,,,,,,,,,,,,,,,,"$25,837,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0087469,,Indiana Jones and the Temple of Doom (1984),,$704,,,,,,,,,,,,,,,,,,"$179,870,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0077869,,The Lord of the Rings (1978),,,,,,,,,,,,,,,,,,,,"$30,471,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101272,,The Addams Family (1991),,,,,,,,,,,,,,,,,,,,"$113,502,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0077711,,Autumn Sonata (1978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,959",,,"$10,928",,,,,,,,"$2,379",,,,,,,,,,,,,,,
0061184,,Who's Afraid of Virginia Woolf? (1966),,,,,,,,,,,,,,,,,"$5,040",,,"$28,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$28,,,,,,,,,,,,,,,,,,
0083791,,The Dark Crystal (1982),,,,,,,,,,,,,,,,,,,,"$41,613,957",,,,,,,"$16,474",,,,,,,,,,,,,,,,,,,,,,,,,,$919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090633,,An American Tail (1986),,,,,,,,,,,,,,,,,,,,"$47,483,002",,,,,,,"$15,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0091790,,Pretty in Pink (1986),,"$7,817",,,,,,,,,,,,,,,,,,"$40,471,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0088323,,The NeverEnding Story (1984),,,,,,,,,,,,,,,,,,,,"$20,192,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$554,,,,,,,,,,,,,,,,,,,"$92,049",,,,,,,,,,,,,,
0120611,,Blade (1998),"$542,031","$3,210,933",,,"$28,523","$1,417,631","$14,286","$2,287,082","$49,233",,"$229,624","$146,081",,"$95,734","$28,769",,"$92,630",,"$386,827","$70,087,718",,,"$16,330",,,"$100,947","$4,891,677","$12,776,531","$464,719",,"$403,473","$300,693","$109,809",,"$216,639",,"$184,904","$1,469,654",,"$1,754,727",,,,"$220,664",,,,,"$1,347,357",,,"$1,334,259","$336,590","$273,874",,,"$41,833","$296,317","$235,281","$311,314","$775,216",,"$241,240",,,,"$415,671",,,"$1,103,436","$1,762,389","$7,720,285",,"$337,795","$507,743",,"$537,207","$780,901","$735,087",,,"$10,324,930","$8,174","$147,496","$79,088",
0120692,,Strike! (1998),,,,,,,,,,,,,,,,,,,,"$913,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0094721,,Beetlejuice (1988),"$4,551",,,,,,,,,,,,,"$1,711",,,,,,"$74,664,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,404",,,,
0040746,,Rope (1948),,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,046",,,,,,,,,,,,,,,,,,,,,,,,,,$544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0068611,,Frenzy (1972),,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0058329,,Marnie (1964),,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,095",,,,,,,,,,,,,,,,,,,,,,,,,,$863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0049470,,The Man Who Knew Too Much (1956),,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044079,,Strangers on a Train (1951),,,,,,,,,,,,,,,,,,,,"$26,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042994,,Stage Fright (1950),,$47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096446,,Willow (1988),,,,,,,,,,,,,,,,,,,,"$57,269,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0094226,,The Untouchables (1987),,,,,,,,,,,,,,,,,,,,"$76,270,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0119892,,Phoenix (1998),,,,,,,,,,,,,,,,,,,,"$45,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,474",,,,,,,
0039694,,The Paradine Case (1947),,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0036342,,Shadow of a Doubt (1943),,$420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030341,,The Lady Vanishes (1938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,776",,,,
0017075,,The Lodger: A Story of the London Fog (1927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$83,260",,,,
0123755,,Cube (1997),,,,,,,,,,,,,,,,,"$54,995",,,"$501,818",,,,,,,,,,,,"$8,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0075040,,Seven Beauties (1975),,,,,,,,,,,,,,,,,,,,"$12,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092699,,Broadcast News (1987),"$181,251","$1,394,059","$116,463",,,"$190,750","$1,812","$290,742",,"$47,208",,"$49,138",,"$22,594",,,,,"$230,881",,,,,"$1,648",,"$162,682","$956,991","$834,979",,"$107,362","$207,283",,,"$3,817",,,"$520,694","$2,211,790",,"$2,840,087",,,,,,,,"$1,944","$57,903",,,"$192,005","$135,765","$203,355",,,"$9,052","$34,707",,"$83,295","$60,776",,,,"$327,017",,"$46,944",,,,,"$1,375,028",,"$306,295","$363,855",,"$336,950",,"$56,800",,,"$2,017,689","$24,463","$75,831",,
0096463,,Working Girl (1988),"$226,703","$2,879,839","$455,225",,,"$631,506","$6,965","$1,200,732",,"$78,438",,"$143,966",,"$21,220",,,,,"$291,938",,,,"$3,872","$4,285",,"$402,067","$3,177,280","$2,096,895",,"$203,808","$497,032",,,"$14,093",,,"$629,546","$4,196,530",,"$5,503,772",,,,,,,,"$28,935","$126,094",,,"$408,242","$155,711","$714,484",,,"$32,352","$59,680",,"$152,589","$190,449",,,,"$607,518",,"$211,871",,,,"$517,282","$5,235,698",,"$1,276,717","$960,743",,"$573,837","$94,063",,,,"$4,984,139","$109,153","$68,366",,
0104257,,A Few Good Men (1992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,870",,,,,,,,,,,,,,,
0120812,,Rush Hour (1998),,,,,,,,,,,,,,,,,,,,"$141,186,864",,,,,,,,,,,,,,,,,,"$334,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084787,,The Thing (1982),,"$1,050",,,,,,,,,,,,,,,,,,"$19,629,760",,,,,,,,,,,,,"$1,243",,,,,,,,,,,,,,,,,,,,"$1,422",,,,,,,"$1,166",,,,,,,,,,,,,,,,,,,,,,,,,,
0099487,,Edward Scissorhands (1990),,,,,,,,,,,,,,,,,,,,"$56,362,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0063462,,The Producers (1967),,$381,,,,,,,,,,,,,,,,,,"$328,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,470",,,,
0073440,,Nashville (1975),,,,,,,,,,,,,,,,,,,,"$9,984,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,135",,,,
0080678,,The Elephant Man (1980),,"$2,820",,,,,,,,,,,,,,,,,,"$26,010,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,777",,,,
0120791,,Practical Magic (1998),,$354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0118799,,Life Is Beautiful (1997),,$260,,,,,,,,,,,"$8,238,491",,,,,,,"$57,563,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$230,000",,,,,,,,"$705,489",,,,,,,,,,,,,,,
0120586,,American History X (1998),,,,,,,,,,,,,,,,,,,,"$6,719,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120484,,The Waterboy (1998),,"$7,087,777","$501,217",,,,,,,,,,,,,,,,,,,,,,,,,"$2,970,091",,,,,,,,,,,,,,,,,,,,,"$1,414,068",,,,,,,,,,,,,,,,,,,,,,,"$650,246",,,,,,,,,,"$5,677,560",,,,
