imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1525366,,Grabbers (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,554",,"$4,920",,,,,,,,,,,,,,,,
1645155,,Erased (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$301,975",,,,,,,,,,"$139,878",,"$64,917",,,,,,,,,"$236,831",,,,,,,
1462900,,The Grandmaster (2013),"$31,064","$26,310","$51,091",,"$124,629",,"$41,833",,,"$55,100,000",,"$1,802",,,"$6,594,959",,,,"$72,707","$2,531,069","$303,586",,,"$2,742,753",,,,,,"$92,979","$2,330,211",,,,,"$78,567",,,,,,,,"$27,417",,"$308,709","$10,885","$882,814",,,"$7,704","$522,478","$226,057",,,,"$243,514","$18,211",,,,$809,,
1245492,,This Is the End (2013),"$271,631","$6,931,558","$201,382",,"$76,499",,"$737,691","$24,543","$39,994",,"$92,765","$48,133","$37,912","$53,555",,,"$55,670",,,"$509,512","$2,886,941","$1,149","$112,586",,,"$134,220",,,"$113,433","$259,214",,,,,,"$365,835","$90,573","$486,348","$32,014","$94,703","$134,481","$85,770","$231,230","$70,311",,"$2,332,194","$16,223",,"$18,066","$11,463","$30,351",,"$516,806","$52,866",,,,"$157,376","$69,738",,"$6,270,430","$25,265","$322,703",
1300854,,Iron Man 3 (2013),"$13,556,234","$36,164,486","$3,524,852",,"$3,511,575","$1,444,620","$47,874,596","$651,777","$7,848,244","$121,200,000","$5,870,418","$368,750","$1,895,271","$4,432,711",,"$347,448","$4,534,301","$799,411","$1,892,796","$38,962,258","$24,368,143",,"$2,049,858","$13,705,128","$2,023,575","$379,577","$12,209,244","$15,308,150","$2,152,217","$20,910,968","$25,185,661",,"$576,545",,"$13,909,003","$48,566,365","$5,720,784","$5,226,081",,"$5,330,071","$5,794,748","$14,949,472","$4,252,929","$1,673,680",,"$44,220,462","$123,278","$10,210,551","$502,989","$178,149","$3,188,171","$64,211,513","$13,049,065","$5,500,507",,,"$8,866,802","$4,509,262","$3,290,686","$5,725,369","$57,074,453","$507,296","$12,442,756",
1659338,,The Numbers Station (2013),,,,,,,,,,,,,,,,,,,,,,,,"$32,230",,,,,,,,,,,,,,,,,,"$11,338",,,,,,,,,,,,,,,,,,,,,,
2055765,,The English Teacher (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$129,671",,,,,,,,,,,,,,"$2,161",,,,"$12,974",,,"$46,814",,,,,,,,,"$23,583",,,,
1542482,,Late Autumn (2010),,,,,,,,,,,,,,,,,,,,,,,,"$130,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,929,771",,,,,,,,,,,,
1701210,,Day of the Falcon (2011),"$166,261",,,,,"$23,408","$173,988",,"$68,199",,"$71,154",,,,,,"$68,664",,,,,,,,,,,,,,,,,,,"$263,281",,,,,"$114,952",,,,,"$285,197",,"$16,182",,,,,,,,,"$6,992",,,,,"$5,674",,
1935179,,Mud (2012),,"$362,607",,,"$357,753",,"$86,016",,,,,,,"$106,310",,,,,"$32,215","$5,348,217",,,"$250,521","$13,695",,,,,,"$44,619",,,,,,"$206,784","$201,148",,,"$92,481",,,"$144,011","$36,670",,,,,,,"$38,436",,"$848,443",,,,"$43,033",,,,"$1,307,110",,,
1718199,,Dragon (2011),,,,,,,,,,,,,,,"$11,137",,,,,,,,,"$1,033,542",,,,,,,,,,,"$843,606",,,"$27,619",,,,,,,,,,"$999,832",,,,"$174,356",,,,"$1,310,156","$122,967",,,,"$130,892",,,
1159922,,Cheerful Weather for the Wedding (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,963",,,,,"$152,491",,,,,,,,,,,,,,,,,,,,,,"$13,817",,,,
1130980,,A Deal Is a Deal (2008),,,$356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$606,968",,,
1945062,,About Cherry (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,312",,,,,,,,,,,,,,,,,,
1605777,,The Woman in the Fifth (2011),,,,,"$10,377",,,,,,,"$3,727",,,"$113,800",,,,,"$162,766",,,"$23,289",,,,,,,,,,"$24,076",,,,,,,,,,,,,,"$6,787","$9,794",,,,,"$3,118",,,,,"$1,308",,"$42,147","$261,698",,,
1343092,,The Great Gatsby (2013),"$1,163,857","$25,282,416","$1,783,123",,"$2,738,028","$62,767","$2,223,847","$361,960","$459,170","$13,340,000","$622,768","$266,460","$1,196,611","$1,734,459","$144,857,996","$29,726","$55,639","$334,655","$1,087,510","$14,088,861","$15,793,180",,"$1,119,588","$1,363,222","$859,352","$94,379","$617,488","$414,383","$558,886","$9,366,454","$11,188,400",,"$300,510",,"$343,301","$5,303,342","$3,217,804","$2,299,099","$42,559","$1,795,746","$231,249","$395,058","$1,829,377","$704,232",,"$17,606,839","$173,807","$1,141,636","$481,057","$143,530","$1,048,037","$7,939,861","$5,911,512","$3,246,763",,,"$321,593","$805,132","$1,809,104","$1,301,509","$23,925,733","$70,850","$445,815",
1408101,,Star Trek Into Darkness (2013),"$613,780","$10,115,222","$1,872,865",,"$1,031,875","$149,980","$5,219,023","$204,634","$521,474","$57,045,659","$663,481","$378,268","$667,500","$755,425",,"$64,045","$491,965","$99,487","$601,315","$8,054,818","$20,606,804",,"$255,895","$2,178,708","$608,902","$176,520","$968,251","$2,363,774","$274,376","$2,996,987","$10,818,483",,"$54,517",,"$2,788,841","$6,775,180","$1,913,528","$2,638,306","$23,490","$1,192,894","$814,483","$1,440,877","$664,396","$470,600",,"$10,518,964","$73,638","$2,410,097","$175,918","$87,153","$549,319","$11,427,281","$3,962,725","$1,757,951",,,"$1,512,565","$793,621","$1,050,838","$1,088,282","$39,356,029","$15,174","$998,404",
1684925,,Wish You Were Here (2012),,"$1,471,571",,,,,,,,,,,,,"$46,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,523",,,,
