imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1322930,,Alone (2008),,,"$18,640",,,,,,,,,,,,,,,,,,,,,,"$176,361",,"$44,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,789,780",,,"$8,017",,,
1690389,,You Ain't Seen Nothin' Yet (2012),,,"$8,340",,"$21,944",,"$52,584",,,,,,,,,,,,,,,,,"$1,064,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742334,,Sabotage (2014),,,"$178,681",,"$203,734",,,"$60,416",,,,"$3,800,000",,"$20,940",,,,,,"$11,297",,,,"$925,319","$653,706",,,"$94,376",,"$10,007",,,,"$265,218",,,,,"$9,187",,"$986,236",,"$106,571",,,"$42,880",,,"$189,987",,"$134,803",,,"$1,464,436",,,"$164,411",,,,,"$408,724",,,,,,"$379,263","$91,498","$99,410","$472,570","$844,654",,,
2204340,,The Four (2012),,,,,,,,,,,,"$29,567,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462892,,Hallåhallå (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$85,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,016,602",,,,,,,,,,,,
1285241,,Don 2 (2011),,"$252,529","$5,041",,,,,,,,,,,,,,,,,,,,,,"$132,027",,,,,,,,,,,,,,,,"$194,020",,,"$203,305",,,,,,,,,,,,,,,,"$212,978",,,,,,,,,,,,"$2,233,312",,,
1856053,,"Little Brother, Big Trouble: A Christmas Adventure (2012)",,,,,,,,,,,,"$3,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$947,207",,,,,,,"$2,399,902",,,,,,,,,,,,,,
0796232,,Quest for a Heart (2007),,,,,,,,,,,,,,,,,,,,,,,"$1,567,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,531,197",,,,,,,,,,,,,,,,"$34,938",,,,,
0458413,,A Long Way Down (2014),,,"$235,388",,,,"$20,199","$33,233",,,,,,"$26,689","$55,682",,,,,,,,,,"$2,688,643",,,,"$18,068",,,,"$1,695,512",,,,,,"$5,552",,"$9,294",,,,,,,,,"$164,128","$6,331",,,,,,,"$26,102","$8,155",,,"$710,350",,,,,,,,,"$47,402","$1,493,867",,,
3092076,,"Les trois frères, le retour (2014)",,,,,"$883,527",,,,,,,,,,,,,,,,,,,"$19,309,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,454",,,,,,,,,,,,,
2406252,,Venus in Fur (2013),"$69,318",,"$177,535",,"$109,164",,"$111,244",,,,,,,,,,,,"$2,671",,,,,"$1,882,425","$574,874",,,"$21,165",,"$1,751",,,"$1,631,214",,,,,,,,,,,"$11,913",,,,,,"$636,397","$58,150",,,,,,"$1,597",,,"$8,940",,"$377,975",,,,,,"$1,114",,,,"$63,411","$2,787",,
1776143,,Don't Go Breaking My Heart (2011),,,,,,,,,,,,"$45,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067765,,Adult World (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,519",,,,,,,,,,,,,,,
2333804,,The Zero Theorem (2013),"$1,788","$46,386","$31,004",,,"$2,331","$75,057",,,,,,,,,,"$257,706",,,,,,,"$210,867","$123,736",,,,,,,,"$58,144",,,,,,,,,,,,,,,"$7,294","$4,560","$32,527",,,,"$393,591",,"$9,122","$1,857",,"$10,193",,,"$18,333",,,,,,,"$21,773",,,"$180,237",,,
2318092,,Endless Love (2014),,"$1,778,065",,,,,"$96,212","$28,480",,,"$28,030",,,"$40,922","$32,255",,,"$5,775","$44,524","$51,650",,,,"$19,995","$994,781",,,"$66,108","$99,973",,,,"$51,019",,,,,,"$56,556",,"$118,586","$917,744","$184,293","$131,190","$5,941",,,"$59,381","$59,537","$322,427","$69,729",,,,,,"$148,497","$41,326","$47,825","$103,557","$115,268","$38,116",,,,,,"$51,122","$124,830","$260,534","$121,287","$2,864,318","$7,145",,
1837709,,Winter's Tale (2014),"$281,762","$773,908","$155,933",,"$314,614",,"$246,193","$110,387",,,"$155,430",,,"$66,420","$160,196",,,"$13,649","$173,934","$118,096",,,"$68,253","$274,221","$1,654,151",,"$294,088","$90,656","$132,298","$2,071","$36,614","$184,873","$2,106,391",,,,,,"$33,898",,,"$759,941",,"$237,693","$9,386",,,"$134,409","$191,189","$352,562","$211,764",,,"$1,825,535",,"$26,082","$87,012","$165,947","$30,571","$92,588",,"$1,697,427",,,,,,,"$361,676","$276,786","$170,469","$744,442","$17,790",,
2299206,,Blood Glacier (2013),,,"$120,090",,,,,,,,,,,,,,,,"$8,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937133,,On the Other Side of the Tracks (2012),,,"$270,450",,,,,,,,,,,,"$16,384",,,,,,,,,"$18,903,888","$2,692,229",,"$55,486",,,,,,"$1,178,477",,,,,,,,,,,,,,,,,"$269,598","$13,593",,,"$1,312,177",,,,"$14,362",,,,"$299,072",,,,,,,"$38,703",,,,,,
2382396,,Joe (2013),,,,,"$125,580",,,,,,,,,,"$7,630","$45,062",,,,,,,,"$1,380,240",,,,,,,,,,,,,,,"$21,538",,,,"$84,845",,,,,,,,,,,,,"$5,338",,"$5,104",,,,"$87,912",,,,,,"$5,805","$1,984",,"$116,374","$170,656",,,
0490170,,Love Story 2050 (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,236,977",,,,,,,,,,"$6,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363471,,The Summit (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,101",,,
2511428,,Cold Comes the Night (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,761",,,
0328955,,Chouchou (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,607",,,,,,,,,,,,,,,,,,,,,
1891769,,The Painting (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,305",,,,,,
1815717,,Gerontophilia (2013),,,,,,,,,,,,,,,,,"$4,916",,,,,,,"$70,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,158",,,,,,,
0079820,,The King and the Mockingbird (1980),,,,,,,,,,,,,,,,,"$27,513",,,,,,,"$139,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826590,,About Last Night (2014),,,,"$24,747",,,,,,,,,,,,"$10,524",,"$34,163",,"$17,413",,,,,"$228,932",,,,,,,,,,,,,,"$115,107",,,,,,"$312,822",,,,,,,,,,,,,,,"$432,918",,,,,,,,,,,,"$631,550",,,
2278388,,The Grand Budapest Hotel (2014),"$941,972","$11,283,997","$1,123,985","$26,935","$1,404,427",,"$2,337,768",,,,"$401,735",,"$409,370","$93,747","$455,155","$1,119,503","$59,301,324",,,,,,"$1,005,122","$11,245,985","$9,559,825",,"$845,242","$519,422","$420,076","$77,839","$288,250","$534,475","$6,359,187","$3,219,230",,,,,"$108,736","$136,439","$57,706","$1,638,127","$3,003,409","$3,567,488",,"$1,058,451",,"$151,968","$67,200","$1,094,527","$540,664",,,"$5,614,501",,"$97,142","$651,740","$125,141","$50,629","$254,863","$4,911,123","$6,190,166","$3,234,870",,,,,,"$609,659","$322,117","$212,773","$18,509,536","$135,290","$269,640",
2390237,,Cuban Fury (2014),,"$726,521",,,"$28,186",,,,,,,,,,,,,,,,,,,,"$168,049",,"$11,455",,,"$3,071",,,,,,,,,,,,,,"$410,336",,,,,,,,,,,,,"$41,285",,"$20,749",,,,,,,,,,,"$18,466","$37,925","$4,087,346",,,
2708254,,Life of a King (2013),,,,,,,"$11,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,700",,,,,,,,,,,,,,,
3469910,,"Black Coal, Thin Ice (2014)",,,,,,,,,,,,"$16,460,000",,,,,,,,,,,,,,,,"$40,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195498,,The Almost Man (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0473697,,Satanás (2007),,,,,,"$1,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,804",,,,,,"$7,290",,,,,,,,,,,,,,,,,,,,,,,,,,,
2852406,,Omar (2013),"$15,201","$9,926",,,"$30,291",,,,,,,,"$34,515",,,,,,,,,,,,,,,,,,,,,,,,,,$700,,,,,,,,,,,,,,,,,,,,,,,"$129,828",,,,,,,"$6,159",,,"$31,824",,,
2980794,,Highway (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$315,486",,,
1735200,,When Pigs Have Wings (2011),"$61,189",,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,185",,
3421514,,Supercondriaque (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,392",,,,,,,,,,,,,,,,,,,,,
2333598,,7 Boxes (2012),,,,,,"$11,877","$54,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,755",,,,,,,,,,,,,,,,,,,,"$203,081",,,,,,,,,,,"$1,438",,
2442502,,Anything for Alice (2014),,,,,"$59,623",,,,,,,,,,,,,,,,,,,"$3,326,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354181,,Les gamins (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039345,,Grand Piano (2013),,,,,,,"$197,916",,,,,,,,,,,,,,,,,,,,,"$13,811",,,,,"$334,969",,,,,,"$11,845",,,"$127,626",,,,,,,,,,,,,,,"$26,914",,,,,"$816,441",,,,,,,,,"$32,339","$33,669",,,
1800246,,That Awkward Moment (2014),"$464,296","$2,306,015","$543,425",,"$782,747",,"$1,483,520",,,,,,"$472,311","$15,222","$24,889",,,,,,,,"$275,383",,"$2,186,858",,"$60,791","$12,482","$20,638","$25,169",,,"$633,809",,,,,,"$33,576",,"$194,274","$577,364","$1,598,806","$364,493","$32,551","$47,285",,,,"$267,594","$396,239",,,"$1,023,946",,,"$347,545","$103,054","$2,801","$361,801",,,,,,,,"$26,263",,"$76,600","$188,686","$4,584,759","$35,996",,
2113075,,The Inevitable Defeat of Mister & Pete (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,695",,,,,,,,,,,,,,,
0816692,,Interstellar (2014),"$748,623","$18,052,865","$2,402,313",,"$3,666,681","$125,332","$6,940,956","$355,577",,,"$1,008,764","$139,380,291","$1,310,083","$460,983","$1,346,954","$4,229,914","$188,020,017","$28,502","$587,783","$1,180,904","$246,838",,"$2,216,377","$23,725,180","$19,938,154",,"$1,783,794","$6,676,404","$1,363,360","$296,195","$6,922,608","$1,049,964","$13,580,313","$11,461,294",,"$45,283","$60,493","$152,448","$376,148","$53,291","$2,560,376","$5,787,992","$4,790,056","$2,731,941","$29,198","$3,089,614",,"$958,402","$1,430,687","$19,572,765","$1,922,517",,,"$19,005,801","$1,706,626","$316,573","$3,676,772","$648,766","$119,302","$710,777","$69,290,035","$12,167,993","$7,165,672","$48,100","$889,475","$3,891,150","$8,942,017","$2,089,030","$4,508,240","$1,921,784","$2,396,001","$34,581,591","$109,668","$2,017,463","$151,721"
2340784,,The Last of the Unjust (2013),,,"$19,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,246",,,,,,,,,,,,,
0841993,,Apartment 1303 (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,413",,,,,,,,,,,,,"$114,990","$282,838",,,,,,"$109,717",,,,,,,,,,,,,,,,,,,"$8,119","$46,579",,,,,,,
1540767,,Apartment 1303 3D (2012),,,,,,,,,,,,,,,,,,,"$14,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$346,737","$188,468",,,,,"$1,289,395",,,,,,,,,,,,,,,,,,,,"$636,068",
2172934,,3 Days to Kill (2014),"$549,067","$763,646","$249,739",,"$525,485","$26,761","$124,408","$87,620",,,"$60,746",,"$369,795","$52,954","$33,753","$40,289",,,"$70,570","$114,029",,,,"$2,441,861","$1,158,065",,"$122,801","$122,572","$94,013","$20,396",,,"$962,167","$1,274,980",,,,,"$178,081",,"$463,592","$2,080,394","$787,055",,,,,"$61,505","$76,157","$519,167","$275,339",,,"$1,572,675",,"$5,567","$213,381","$10,321","$8,402","$247,062","$1,606,373","$998,254",,,,,,"$360,664","$168,819","$142,159","$879,892","$1,236,902","$48,312","$1,356,441",
2024469,,Non-Stop (2014),"$1,791,702","$5,474,198","$1,030,076",,"$2,086,919","$100,897","$4,539,798","$186,948",,,"$520,559","$16,620,000","$1,790,387","$140,739","$119,472","$430,779",,"$54,438",,"$386,320",,,"$472,939","$10,288,846","$12,631,866",,"$441,087","$1,967,902","$627,734","$121,491",,,,"$4,464,001",,,,,"$548,622",,"$2,273,188","$7,497,250","$1,854,999","$900,946","$97,450","$831,462",,"$1,617,457","$874,795","$826,980","$173,201",,,"$2,820,431",,"$20,561","$2,564,317","$88,064","$37,875","$652,456","$14,971,602","$1,921,051","$971,939",,,,,"$1,175,129","$614,127","$154,776","$3,013,909","$15,774,889","$254,320","$1,820,001",
1951216,,The Look of Love (2013),,"$189,880","$16,023",,"$5,343",,,,,,,,,,,,,,,,,,,,"$49,654",,,"$18,735",,,,,,,,,,,,,,"$73,767",,"$27,236",,,,,,"$49,885",$758,,,"$141,322",,"$2,223","$11,771",,,,,,,,,,,,,,,"$710,619",,,
1407052,,Wrinkles (2011),,,,,,,,,,,,,,,,,,,,,,,,"$17,406",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,041",,,"$4,469",,,,,,,,"$169,058",,,,,,,,,,,,,
2165859,,In Fear (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,382",,,,,,,,,,,,,,,,,,,,,,,,,,
1999987,,Breathe In (2013),"$39,135",,,,,,"$10,086",,,,"$21,041",,"$53,750",,,,"$89,661",,"$11,703",,,,,,,,,,,,,,,,,,,,,,,"$60,165",,,,,,"$12,692",,,$376,,,,,,,,,,"$19,128",,,,,,,,,,,"$143,084","$7,817","$31,569",
2591814,,The Garden of Words (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$404,823",,,,,,,,,,,,,,
1253863,,300: Rise of an Empire (2014),"$4,447,135","$7,819,429","$2,092,520",,"$2,035,055","$637,712","$17,382,915","$580,594",,,"$1,855,469",,"$3,257,977","$296,150","$830,981","$1,004,298",,"$134,047","$1,281,615","$606,064",,,"$404,189","$14,299,845","$13,951,665",,"$4,027,193","$1,841,800","$900,974","$138,453","$6,560,319","$1,445,230","$6,770,316","$3,155,787",,,,,"$667,722",,"$3,119,383","$14,892,708","$2,808,979","$1,417,480","$269,928","$1,359,244",,"$3,007,674","$3,312,297","$2,456,257","$562,012",,,"$17,476,062",,"$156,551","$2,517,937","$334,270","$145,240","$1,012,000","$12,500,660","$9,231,579","$1,754,438",,,,,"$2,267,711","$4,608,917","$1,891,956","$2,891,319","$12,925,711","$194,928","$3,688,605",
1479269,,Black Heaven (2010),,,,,,,,,,,,,,,,,,,,,,,,"$193,865",,,,,,,,,,,,,,,,,,,,,,,,"$61,467",,,,,,,,,,,,,,,,,,,,,"$16,994",,,,,,
1508955,,Leo's Room (2009),$62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,719",,
2281159,,Contracted (2013),,,,,,,,,,,,,,,,,"$4,105",,,,,,,,,,,"$54,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212008,,The Bag Man (2014),,,,,,,"$73,272",,,,,,,,,,,,,,,,,,,,,,,$608,,,,,,,,,"$13,307",,,,,,,,,,,,,,,,,,,,"$5,227",,,"$80,022",,,,,,,"$53,159",,"$179,611",,,,
2213054,,Kai Po Che (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,514",,,"$17,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$282,248",,,
2910274,,Obvious Child (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$197,361",,,
2438644,,Department Q: The Keeper of Lost Causes (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315152,,A Werewolf Boy (2012),,,,,,,,,,,,"$390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$175,110",,,,"$45,359,504",,,,,,,"$15,052",,,,,,,
0953382,,Trouble at Timpetill (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$440,235",,,,,,,,,,,,"$119,994",,,,,,,,,,,,,,,,,,,,,
2823088,,Carmina y amén. (2014),,,,,,,,,,,,,,,,,,,,,,,,"$115,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,690,532",,,,,,,,,,,,,
0864835,,Mr. Peabody & Sherman (2014),"$2,738,535","$12,062,802","$1,408,211","$275,516","$1,902,968","$211,311","$6,412,927","$394,333",,,"$1,432,464","$19,130,000","$2,441,847","$333,206","$560,840","$1,034,525",,"$25,945","$1,164,658","$126,794",,,"$790,188","$10,787,342","$8,541,895",,"$650,999","$851,252","$376,296","$108,822","$140,043","$1,152,227","$4,702,433",,,,,,"$203,256","$295,008","$917,788","$8,342,462","$1,783,194","$1,136,129","$3,282","$714,975",,"$1,307,057","$674,389","$2,247,662","$901,825",,,"$10,632,660",,"$157,072","$1,426,013","$217,255","$115,465","$889,371","$2,682,830","$9,544,184","$1,729,667",,,,,"$288,726","$767,610","$473,447","$1,395,940","$22,511,139","$266,531","$2,769,858",
1441395,,Under the Skin (2013),,"$322,028",,,"$156,711",,"$127,524",,,,,,,,,,"$2,614,251",,,,,,,"$305,137",,,"$75,687","$61,979",,,,,"$154,902",,,,,,,,,,,,,,,,"$13,031",,,,,"$172,105",,,"$8,459",,,"$14,488",,,,,,,,"$29,888",,,,"$1,911,826",,,
2369135,,Need for Speed (2014),"$1,303,256","$3,949,958","$1,253,782",,"$1,174,473","$152,081","$3,403,366","$344,107",,,"$421,071","$66,240,000","$1,105,278","$219,523","$327,722","$679,321",,"$33,768","$549,642","$118,581",,,"$490,639","$3,791,670","$7,347,125",,"$532,453","$796,522","$427,256","$88,854",,,"$2,302,973","$2,098,862",,,,,"$533,971",,"$4,468,303","$3,936,801","$1,356,775","$621,668",,"$1,238,209",,"$519,927","$814,037","$717,235","$612,658",,,"$13,860,794",,"$23,063","$1,158,339","$162,437","$152,598","$1,341,238","$634,460","$1,340,801","$1,140,605",,,,,"$1,173,635","$1,216,227","$1,078,091","$2,986,386","$8,138,409","$128,448","$2,093,714",
1943873,,You've Been Trumped (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,891",,,
2771372,,Veronica Mars (2014),,,"$7,519",,,,,,,,,,,,,,,,,,,,,,"$41,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,643",,,
2170299,,Bad Words (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,723",,,,
3210686,,Son of God (2014),"$379,656","$77,304",,,,"$18,468","$552,018",,,,"$67,108",,"$587,018",,,,,"$7,802","$188,663",,,,,,,,,"$346,506","$54,899",,,,,,,,,,"$109,913",,,"$3,158,936",,"$103,495","$22,004",,,"$412,849","$493,743","$328,798","$263,814",,,,,,"$267,731",,,"$206,719","$2,171,619",,,,,,,,,,,,"$10,848","$1,299,295",
1754795,,You Will Be My Son (2011),,,,,"$57,786",,,,,,,,,,,,"$285,151",,,,,,,"$5,927,814",,,,,,,,,,,,,,,,,,,,"$32,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,424",,,
1990217,,The Artist and the Model (2012),,,,,,,,,,,,,,,,,,,,,,,,"$448,582","$178,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$682,893",,,,,,,,,,"$41,704","$13,569",,
