imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
0073663,,Lovers Like Us (1975),,,,,,,"$12,395",,"$19,209",,,,,,,,,,,,,,,,,,,,,,,,,"$31,876",,,,,,,,,,,,,,,,,"$302,302",,,,,,"$7,872",,,,,,,
2076176,,My Way (2012),,,,,"$1,438,993",,,,,,,,,,,,,,,"$15,293,722",,,,,,,,,,,"$13,435",,,,,,,,,,,"$2,590",,,,,,,,,,,,,,,,,,,,"$9,871",,
0447249,,Lotte from Gadgetville (2006),,,"$6,316",,,,,,,,,,,,,,,,"$73,928",,,,,,,,,,,,,,,,,,"$147,726",,,,,,,"$1,256",,"$3,671",,,,,,,,,,,,,"$8,931",,,,,
0383862,,Roma (2004),"$248,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0878814,,Jewtopia (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,890",,,,
0436595,,Roving Mars (2006),,"$206,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,066",,
2202471,,Love (2012),,,,,,,,,,,,,"$83,800",,,,,,,,,,"$797,380",,,,,,,,,,,,,"$10,840",,,,,,,,,,,"$332,654",,,,,,,,,,,,,,,,,
2594950,,The Major (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,412",,,,,,,,,,,,,,,,,,,
2036388,,Shun Li and the Poet (2011),,,"$30,566",,"$16,481",,,,,,,,,,,,,,,,,,,,,,"$617,850",,,,,,,,,,,,,,,,,,,"$1,011",,,,,,"$215,480",,,,,,,,,,"$9,099",,
3442006,,Cake (2014),,"$6,395","$13,076","$1,216",,,"$106,997",,,,,,,,"$1,951,776",,,,,"$125,514",,"$34,136",,,,,"$17,841",,,,,,,,,"$1,100",,$483,"$30,713",,,"$17,147","$2,674",,,,,,,"$24,883",,,,,,,,,"$22,558",,"$11,267","$66,074",,
2797106,,Way Back Home (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$609,832",,,,,,,,,,,"$12,184,128",,,,,,,,,,,,,
1456660,,No Man's Land (2013),,,,,,,,,,"$41,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447499,,Matching Jack (2010),,"$553,424",,,,,,,,,,,,,,,,,,,,,,,,,"$214,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891905,,Sea Level (2011),,,"$41,295",,,,,,,,,"$94,712","$116,787",,,,,,,,"$76,379",,,,"$25,909",,"$575,888",,,,,,,,,,,,,,"$1,237,232",,,,"$2,219,684","$10,029",,,"$64,397",,"$1,145,991","$17,678",,,,,,,"$204,795",,,,,
2243621,,The Snow Queen (2012),,,,,,,"$1,018,444","$48,216",,,,"$107,256","$202,150",,,,,,"$37,509",,,,,,,,,,,,"$24,659",,,,,,,,,,"$937,937","$157,158",,"$361,940","$7,650,674",,,"$202,923",,,"$1,507,784","$9,097",,,,,,,"$448,368","$543,994","$100,793","$208,879",,
1328642,,Safari (2009),,,,,"$536,468",,,$253,,,,,,,,,,,,"$15,896,842",,,,,$43,,,,,,,,,,,,,,,,,,,,,,,,,,,$608,,"$42,552",,,,,,,,,,
