imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3450116,,Darker Than Night (2014),,,,,,,,,,,,,,,,,"$16,081",,,,,,,,,,,,,,,,,,,,,,"$5,220,626",,,,,,"$25,419",,,,,,,,,,,,,,,,,,,,,,"$27,925",,,,
3230082,,The Blue Room (2014),"$57,915",,"$48,375",,"$39,187",,,,"$7,034",,,,,,,,,,,,,"$742,520",,,"$64,542",,,"$3,091",,,,,,,,,,,,,"$10,080",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,490",,,
1496792,,Grandmother (2009),,,,,,,"$246,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945034,,A Gun in Each Hand (2012),"$251,755","$387,023",,,,,"$525,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,743",,
0282515,,Gangsters (2002),,,,,,,,"$9,368",,,,,,,,,,,,,,"$1,313,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074732,,Of Horses and Men (2013),"$20,396",,,,,,,,,,,,,,,,,,,,,,,,,,,"$172,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,979",,,,,,,,,,"$28,215",,,
3053694,,Li'l Quinquin (2014),,,"$7,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,254",,,,,,,,,,,,,
1982113,,Gerhard Richter Painting (2011),,,"$6,897",,,,$781,,,,,,,,"$242,646",,,,,,,,"$463,645",,,,,,,,,,,,,,,,"$3,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430044,,Joséphine (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,383",,,,,,,,,,,,,,,,,,,,
1477171,,Amador (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,741",,,,,,,,,,,,,,,,,,,,,,,,,,
2436386,,Project Almanac (2015),,"$1,021,128",,,,,,,"$116,814",,,,,,,"$3,139",,,,,,"$1,327,085",,,,,,,,,,,"$4,843","$3,139",,"$25,738",,"$394,758","$1,197,027",,"$285,559",,$361,"$7,791","$213,669","$367,622",,,,,"$1,648,348",,"$128,182",,,"$41,858",,"$292,529",,,,,"$553,951","$118,610",,,"$126,572","$1,799,878",,,
2381111,,Brooklyn (2015),"$248,283","$4,548,092","$122,517",,"$111,019",,"$363,651",,"$31,860",,"$21,857","$23,002","$32,239","$273,936","$38,322,743",,,,,,"$20,492",,"$1,367,620",,"$25,136","$67,008",,,,"$833,959","$712,026",,,,,"$18,725",,,"$626,214","$544,796","$910,568",,"$273,256",,"$44,004",,,"$145,831",,,"$107,486","$15,979","$59,906","$17,394","$10,837","$119,241","$344,399","$1,910,246","$212,990",,,,"$39,194",,"$44,842",,"$75,057","$8,580,360","$55,999",,
3416744,,The End of the Tour (2015),,,,,,,,,,,,,,,,,,,,,,,,,,"$12,515",,,,,"$51,781",,,,,,,,,,,,$63,,,,,,,,,,,,,,,"$5,748",,,,,,,,,,,,,
3726704,,Experimenter (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,859",,,,,,,"$15,540",,,,,,,,,,"$1,171",,,,,,,,,,,,,
3442990,,Lila & Eve (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,841",,,"$9,014",,,,,,,,,,,,,,,,,,,,"$70,581",,,,,,,,,,,"$60,108",,,,
3513054,,Last Days in the Desert (2015),,,,,,,,,,,"$17,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236120,,I'll See You in My Dreams (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,831",,,
2349144,,Mississippi Grind (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,857",,,,,,,,,,,,,,,,,"$3,836",,,,,,,,"$9,920",,,,,,,,,,,,"$29,592",,,
2872462,,Mistress America (2015),,"$52,126","$23,119",,,,"$64,409",,,,,,,,,,,,,,,"$105,955","$73,795",,,,,,,,"$39,510",,,,,,,,,,"$9,537",,"$37,214",,,,,,,,,,,,,"$16,961","$52,506","$107,385",,,,,,,,,,"$257,789",,,
1178665,,A Walk in the Woods (2015),,"$1,295,251","$163,782",,"$33,769",,,,,,,,,,,,,,,,,"$127,156","$1,187,721",,"$84,274",,,,,,,,"$14,689",,,"$21,277",,,"$172,173",,"$305,593",,,,,,,"$63,446",,,,"$3,153",,,"$6,354","$58,975",,"$387,815",,,,"$279,876",,,"$18,310",,"$39,257","$980,596",,,
