imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3547740,,The Bélier Family (2014),,,"$1,203,589","$482,703",,"$2,444,798","$4,083",,,,,,"$32,704",,,"$6,653",,,,,,"$20,062",,"$3,259",,"$76,771","$55,783,679","$2,699,522",,"$675,121","$56,148",,"$9,100",,,,,"$3,008,111",,,,,,,"$84,624",,,"$389,797",,"$1,056,005","$257,716",,"$41,933",,,,,"$108,686",,"$293,861","$478,041",,,,,,,,,,,,"$812,001","$2,400,974",,,,"$82,360","$184,013","$38,650",,,,,,"$40,725",,
2679042,,Hitman: Agent 47 (2015),"$360,654",,"$1,750,077","$479,263","$335,561","$596,815","$68,107","$1,051,166","$104,255",,,,"$134,418",,"$965,523","$71,656",,"$100,611","$369,349",,,"$396,187",,"$58,730","$8,107","$145,128","$4,662,051","$2,390,704",,"$240,461","$1,593,738","$172,246","$53,832","$563,998",,,"$644,453","$268,220",,,"$141,500","$90,868",,"$49,240","$285,931","$61,946","$2,792,948","$2,629,316",,"$722,951","$393,138","$53,133","$557,871","$248,059",,,,"$455,311","$1,300,437","$342,733","$767,481",,"$397,818","$357,729","$3,537,440","$3,599,611",,"$49,190","$1,342,193","$68,130",,"$279,916",,"$974,558","$455,237",,"$200,939","$534,932","$1,884,503","$1,077,940",,"$755,501","$457,303","$1,975,502","$2,919,916","$16,829","$2,441,184","$1,136,115"
0092238,,Working Girls (1986),,,,,,,,,,,,,,,,,,,,"$1,777,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216515,,Tinker Bell and the Great Fairy Rescue (2010),"$654,232",,,,,,,,,,,,"$310,178",,"$468,218",,,,,,,"$316,284",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,877,053",,,"$61,821",,,,,,,"$309,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,703","$345,335",
3231010,,Island of Lemurs: Madagascar (2014),,,,,,,,"$1,667",,,,,,,"$1,697",,,,,"$11,272,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,580",,,$92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717068,,Court (2014),"$19,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,343",,,,,,,,,,,,,,
2343158,,Run & Jump (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,128",,,
1590013,,The Last Sentence (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$598,"$21,354",,,,,,,,,,,,,,,,,,,,,,,,"$243,547",,,,,,,,,,,,,
2210834,,Jimmy P: Psychotherapy of a Plains Indian (2013),,,,,,"$63,854",,,,,,,,,,,,,,,,,,,,,"$1,354,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,850",,,,,,,"$5,258",,,,,,"$3,433",,,,,,,,"$11,601",,,,,,
3399916,,The Dead Lands (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$872,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,582",,,,
