imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3685218,,Felix and Meira (2014),"$31,849",,,,"$12,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,686",,
3451498,,"Bystree, chem kroliki (2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,237,467",,,,,,,,,,,,,,,,,,,,,
1863347,,What Else Men Talk About (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,657,817",,,,,,,,,,,,,,,,,,,,,
1217578,,Vanished Empire (2008),,,,,,,,,,,,,,,,,"$10,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,501,283",,,,,,,,,,,,,,,,,,,,,
2402186,,My Sweet Orange Tree (2012),,,,,,,"$359,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,177",,,,,,,
5034276,,The Phone (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,108",,,,,,,,,,,,,,,
3577624,,A Perfect Day (2015),,"$65,814","$38,350",,"$19,047",,"$8,990","$14,711",,,,,"$4,278",,,,"$14,044",,,,,,"$168,671","$281,422",,"$13,563",,,"$2,332",,,"$930,817",,,,,,,,,,,,"$24,609",$722,,,,,,"$13,141",,,,"$1,067",,,"$2,633","$3,985","$60,251","$2,364,742",,,,,,,,"$14,295",,"$22,207",,,,
4126312,,"3 1/2 Minutes, 10 Bullets (2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,856",,,
1105740,,Eva (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,880",,,,,,,,,,,,,,,,,,,,,$601,,,,,,,,,,,,,,,,"$16,406",,,,,,
0880440,,L'auberge rouge (2007),,,,,"$184,618",,,,,,,,,,,,,,,,,,"$6,509,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,285,793",,,,,,,"$48,549",,"$28,845",,,,,,,"$40,629",,,,,
