imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5290524,,Quo vado? (2016),"$256,856","$545,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,555",,,,,,,,,,,,,,,,,,"$120,804",,
2249712,,Araf/Somewhere in Between (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$180,179",,,,,,
4935372,,The Devil's Candy (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$211,449",,,,,,,,,,,,,,,,,,,,
2140037,,Jane Got a Gun (2015),,,,,"$15,880",,,,,,,,,,,,,,,,,"$1,027,749","$79,615",,,,,,,,,,,,,,,,,,,,,"$4,607",,"$3,028",,"$14,490",,"$29,734","$108,868",,"$3,724",,,"$11,052",,"$132,358",,,,,,"$29,241",,"$12,222","$35,859","$45,311",,,
3790720,,Peggy Guggenheim: Art Addict (2015),,,,,,,,,,,,,,,,"$498,428",,,,,,"$51,985",,,,,,,,,,,,,,,,,,,"$92,747",,,,,,,,,,,,,,,,"$27,833",,,,,,,,,,,"$136,416",,,
4535650,,Dilwale (2015),,"$665,017","$16,128",,,,,,,,,,,,,,,,,,,,"$217,520",,,,,,"$13,840,242",,,,,,,"$4,635",,"$3,533,374",,,"$403,976",,,,"$290,705",,,,,,,,,,,,,,,,,,,,,,"$4,977,859","$3,173,604",,,
4183692,,Woodlawn (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,520",,,,,,,,,,,,,,,
3268668,,Captive (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,391",,,,,,,,"$10,277",,,,,,,,,,,,,,,,,,,,,,,,,,"$79,328",,,
2091235,,My Straight Son (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,164,672",
3387542,,The Forest (2016),"$492,622",,"$409,086",,"$86,351","$90,762",,,,,,,"$30,349","$176,156",,,"$386,735",,,,,,"$1,547,469",,"$38,170",,,,,,,"$832,620",,,"$22,514","$6,671","$43,729","$568,911","$1,156,041","$217,084",,,,"$6,176","$403,033","$183,607","$579,728","$89,536",,"$201,198","$459,548",,"$427,674","$88,885",,"$43,567","$337,280","$1,913,605","$206,463",,,,,,,"$17,599","$148,256","$1,360,774","$7,838",,"$537,702"
1438298,,Guzaarish (2010),,"$80,353",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,520,730",,,,,,,,,"$33,711",,,"$24,224",,,,"$61,560",,,,,,,,,,,,"$269,099",,,,,,,,,,,"$557,298",,,
0220827,,Sleepless (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,000",,,,,,,,,,,,,,,,,,,,
1334470,,Raavan (2010),,"$194,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,193",,,"$60,524",,,,,,,,,,,,,,,"$38,851",,,,,,,,,,,,"$301,344",,,
1532957,,Paa (2009),,"$22,869",,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,466,207",,,,,,,,,,,,"$8,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077833,,Rowdy Rathore (2012),,"$88,664",,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,283,662",,,,,,,,,"$23,484",,,"$65,062",,,,,,,,,,,,,,,,,,,,,,,,,,,"$645,874",,,
3554418,,Khoobsurat (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,110",,,,,,,,,,,,,,,,,,,,,,,,,,,"$657,005",,,
0315642,,Wazir (2016),,"$76,917",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,269,089",,,,,,,,,,,,"$35,514",,,"$8,845",,,,,,,,,,,,,,,,,,,,,,,,"$119,178",,,
2905838,,Bang Bang (2014),,"$361,645",,"$420,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$137,063",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,331,833","$1,850,443",,,
4315956,,Love Forecast (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,576,426",,,,,,,,,,,,,,
2642524,,Mr. Kaplan (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,176",,
3958072,,The Lesson (2014),"$21,594",,,,,,,,,,,,,,,,,,,,,,,,"$14,992",,,,,,,,,,,,"$3,281",,,,,,,,,,,"$2,354",,,,,,,,,,"$8,968",,,,,,,,,,"$4,908",,,
1206479,,Of Love and Other Demons (2009),,,,,,,,,,,,,,,,,"$19,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0826110,,The Mystery of Sintra (2007),,,,,,,"$1,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,992",,,,,,,,,,,,,,,,,,,,,,,
1107850,,Unrelated (2007),,,,,,,,,,,,,,,,"$4,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,463",,,
1429313,,Africa United (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,959",,,,,,,,,,,,,,,,,,
1127884,,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert (2008),"$157,244","$1,204,893","$76,956",,"$40,948","$42,246","$522,738",,,"$169,878",,"$91,741",,,,,"$79,852",,,,,"$65,647","$89,718",,"$2,225",,,"$19,988",,,,"$72,993",,,,,,,"$290,250","$6,532","$142,442",,"$78,291",,"$144,048","$75,852",,"$139,450",,,,,"$5,566",,,"$56,969",,"$223,112",,,,,"$13,604",,,,,"$1,548,002",,,
1198405,,Morning Light (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$145,,,,,,,,,,,,,,,,,$134,,,,,,,,,,,,,
2871116,,"2 Autumns, 3 Winters (2013)",,,,,"$1,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,640",,,,,,,,,,,,,"$21,319",,,,,,,,,,,,,
3508830,,The Decent One (2014),,,"$10,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,382",,,,,,,,,,,,,,,,,,,,,,,
2718440,,Moonwalkers (2015),,,,,"$37,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,478",,,,,,,,,,,,,,"$51,692",,,,,,,,,,,,,,"$1,719",,,,,,
3707114,,Janis: Little Girl Blue (2015),,,"$43,298",,,,"$56,303",,,"$3,733",,"$30,717",,,"$93,470",,,,,,,"$406,595","$227,754",,,,"$10,478",,,,,"$171,025",,,,,,,,"$8,280",,,,,,,"$19,370","$8,005",,"$2,171",,,,,"$11,984",,,"$35,008",,,,,,,,,,"$144,510",,,
4449576,,Tomorrow (2015),,,,,"$1,081,862",,,,,,,"$32,037",,,,"$62,510",,,,,,"$8,169,471",,,,,,,,,,,,,,,,,,,,,,,,,,"$33,824",,,,,,,,,,"$92,133",,,"$1,504,398","$301,670",,,,,,"$13,490",,,
1809231,,Jackpot (2011),,,,,,,,,,,,,,,,$806,,,,,,,,,,,,"$2,025",,,,,,,,,,,,,"$18,001",,"$893,367",,,,"$7,682",,,,"$20,176",,,,,,,,,,,,,,,,,"$136,527",,,
3667798,,The Breakup Guru (2014),,"$166,135",,,,,,,,,"$106,590,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3530978,,Correspondence (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,449,086",,,,,"$3,640",,,,,,,,,,,"$27,962",,,"$106,744",,,,,,"$26,415","$201,766",,,,,,,,"$11,050","$6,021",,,,
0469318,,Dark Country (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,015",,,,,,,,,,,,,,,"$24,000","$122,407",,,,
2113820,,Walesa: Man of Hope (2013),,,,,,,"$22,623",,,,,"$12,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,938",
1851988,,Ko (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$281,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3169770,,Retribution (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$190,627",,,,,,,,,,,,,,,,,,,,,,,,,"$13,068",,,,,,,
0496386,,The Secret of the Magic Gourd (2007),,,,,,,,,,,"$2,725,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
