imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2372222,,Kick (2014),,"$431,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,762,689",,,,,,,,,,,,,,"$130,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,198,214",,,
2301155,,Shootout at Wadala (2013),,"$69,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,591",,,
2354407,,Teri Meri Kahaani (2012),,"$85,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,665",,,"$32,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$660,382",,,
0418460,,Aitraaz (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$348,686",,,
4016934,,The Handmaiden (2016),,"$87,449",,,,,,,,,,,"$103,764",,"$33,166",,"$2,006,788",,,,,,"$222,715","$1,909,657",,,,"$46,451",,,,,"$74,320",,,,,,,,,,"$97,482","$10,950",,"$74,619",,,,,,,,"$9,999",,,"$182,562",,,,,,"$31,755,748","$143,402",,,,,,"$8,661","$22,857","$16,970",,"$1,047,095",,,
4957446,,Paths of the Soul (2015),,,,,,,,,,,,"$15,409,276",,,,,"$31,747",,,,,,,,,,,,,,,,,,,,,,,,,,,$389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567026,,Alice Through the Looking Glass (2016),"$4,745,023","$6,835,880","$1,256,822",,"$1,345,649",,"$9,029,989","$209,875",,,"$1,709,369","$58,780,778","$3,030,070",,"$770,409","$534,584","$77,041,381",,,,,,"$713,028","$9,882,921","$8,547,182",,"$2,337,169",,"$50,523",,,,"$7,374,314","$26,788,307",,,,,,"$96,437","$1,126,588","$13,726,743","$1,709,532","$951,379",,"$614,753",,,,,,"$853,510","$1,986,497","$502,119",,"$384,774","$9,955,014",,"$578,204","$279,947","$23,438","$476,151","$3,728,329","$5,547,268","$1,315,739","$1,222,215","$361,459","$638,959","$1,851,041","$1,054,836","$825,658","$1,047,092","$988,148","$14,283,300",,"$798,740",
3691740,,The BFG (2016),"$2,393,447","$11,477,037","$415,388","$152,775","$1,780,964","$381,331","$2,863,157","$184,004",,,"$1,022,596","$20,995,699","$1,259,345","$88,518","$375,013","$710,483",,,,"$73,606","$103,161",,"$635,400","$4,661,068","$2,740,349","$245,263","$1,091,325","$229,010","$117,888",,,"$900,788","$4,867,961","$4,069,767","$38,652",,,"$80,884","$84,800","$147,872","$1,087,113","$4,701,774","$4,128,866","$2,217,127",,"$1,645,445","$62,354",,,,,"$911,895","$1,584,181","$688,143",,"$279,897","$5,877,446","$32,965","$683,418","$120,542","$42,029","$818,514","$894,413","$2,917,236","$968,530","$602,209",,,"$1,327,826","$847,725","$534,562","$237,956","$1,061,105","$40,299,438","$102,000","$897,381",
5111874,,My Scientology Movie (2015),,"$539,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$163,967","$48,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,355,208",,,
4591310,,The Monkey King 2 (2016),,"$63,995",,,,,,,,,,"$185,402,420",,,,,,,,,,,,,,,"$2,143,107",,,,,,,,,,,,,,"$2,094,979",,,"$49,142",,,,,,,,,,,,,,,"$1,168,697",,,,,,,,,,"$401,614","$574,985",,,,"$18,129",,,"$1,051,248"
1700841,,Sausage Party (2016),"$151,994","$6,790,949","$815,288",,"$90,689","$39,718","$598,136","$15,688",,,"$76,731",,"$20,344","$70,291","$559,706","$225,051",,,,,"$92,881",,"$222,510","$456,920","$3,824,688","$86,567","$292,878","$267,919","$118,241",,,"$2,024,939","$1,043,249","$731,857",,,,"$67,053",,"$73,895",,"$617,351","$714,631","$754,844",,"$547,464",,,,"$3,552","$18,530","$102,904","$1,429,220","$371,992",,"$117,827","$2,596,844","$17,976","$226,781","$355,726","$27,739","$161,845",,"$4,248,904","$356,150","$162,909",,,"$195,215","$66,629",,"$361,930",,"$10,219,534","$10,931",,
3696192,,Singh Is Bliing (2015),,"$136,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,480,073",,,,,,,,,,,"$71,306",,,"$78,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$539,272",,,
5465868,,I Married a Dumbass (2016),"$9,148,078",,,,,,"$23,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$497,444",,
5225338,,The Eyes of My Mother (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,440",,,
3553976,,Captain Fantastic (2016),"$94,008","$770,326","$195,509",,"$523,647",,"$895,888",,,,,,,"$17,971","$215,729","$1,069,406","$5,879,835",,,"$3,973","$16,385",,"$64,359","$3,901,383","$2,214,718","$54,470","$49,165",,"$11,221",,"$5,513","$305,655","$1,223,606","$507,696","$6,354",,,"$15,702","$20,618","$12,654","$16,317","$187,867","$806,963","$212,947",,"$224,359",,,,,"$13,551","$4,778","$33,254","$45,978",,,"$176,004","$4,497","$60,683","$14,599","$29,235","$39,127","$91,614","$786,083","$478,728","$660,576",,,"$48,146",,"$18,435","$28,676","$18,460","$1,063,498","$9,040",,
4048272,,Toni Erdmann (2016),,,,,,,"$109,580","$6,150",,,"$12,000",,"$17,948",,"$26,191",,,$634,,,,,"$129,419","$2,425,518","$4,832,090","$207,394",,,"$18,615",,,,"$344,973",,,,,,,"$11,625",,"$7,566","$697,777","$81,957",,"$296,564",,,,,"$2,289",,,"$34,513",,"$24,536","$105,657",,,"$9,422","$28,772",,"$94,349","$556,353",,,,,,,"$22,331",,,"$196,839",,"$3,758",
4698584,,Neruda (2016),"$133,513","$452,433",,,,,,,,,,,"$69,239",,,,,,,,,,,"$1,390,042",,"$202,473",,,,,,,"$385,252",,,,,,,,,,"$60,796",,,,,,,,,,,"$34,888",,"$2,384",,,,,,,"$46,471","$88,511",,,,,,,"$29,993",,,"$49,650",,,
0949524,,Scream of the Ants (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$169,501",,,,,,,,,,,,,,,,,,,,,,,,"$18,700",,,,,,,,,,,,"$9,420",,,,,,,,
5215952,,The Wailing (2016),,"$152,249",,,,,,,,,,,,,,,,,,,,,,"$278,011",,,,,,,,,,,,,,,,,,,,"$14,899",,,,,,"$5,386",,,,,,,,,,,,,"$48,609,277","$3,302",,,,,,,,,,"$2,013",,,
4979082,,Jai Gangaajal (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,777,138",,,,,,,,,,,,,,"$25,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501454,,The Meddler (2015),,"$372,835",,,,,"$130,505",,,,,,,,,,"$4,267,218",,,,,,,,"$178,788",,,,,,,,,,,,,,,,,,,,,$232,,,,,"$7,124",,,,,,,,,,,"$44,164",,"$354,865",,,,,,,,,,"$69,417",,,
2169322,,Finding Mr. Right (2013),,,,,,,,,,,,"$82,680,000",,,,,,,,,,,,,,,"$1,343,561",,,,,,,,,,,,,,"$13,321",,,,,,,,,,,,,,,,,,"$68,206",,,,,,,,,,,,,,,,,,
4960242,,Book of Love (2016),,"$392,873",,,,,,,,,,"$114,130,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110958,,Now You See Me 2 (2016),"$243,005","$6,943,961","$720,418","$509,560","$2,230,356","$54,488","$7,759,032","$341,827","$59,500",,"$1,310,728","$97,115,220","$2,280,778","$331,294","$572,633","$978,333",,,"$595,557","$635,094","$284,302",,"$842,984","$15,058,312","$2,935,447","$512,932","$3,974,103","$1,187,825","$121,046","$1,363,029",,"$1,140,928","$3,227,428","$5,243,239","$252,446",,,"$283,858","$354,108","$157,922","$2,795,235","$10,823,214","$2,201,945","$909,833",,"$422,539","$115,128","$141,899","$368,220","$20,863","$1,536,873","$2,162,443","$3,297,379","$1,560,264","$395,250","$1,077,521","$17,357,569","$100,034","$2,445,503","$430,380","$104,515","$837,943","$21,711,248","$5,504,161","$1,017,670","$1,721,827",,,"$6,265,817","$2,778,430","$2,962,006","$1,018,171","$3,085,188","$7,858,234","$216,037","$514,811","$1,797,922"
4118606,,The Curse of Sleeping Beauty (2016),,,,,,"$29,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,453",,,,,,,,,,,,,,,,"$32,664",,,,
5596352,,Huo guo ying xiong (2016),,"$168,867",,,,,,,,,,"$57,098,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,369",,,,,,,,,,,,,,,"$26,438",,,,,,,,,,,,,,,,,,
2134092,,The Extraordinary Voyage (2011),,,,,"$6,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326444,,Julieta (2016),"$670,556","$337,546",,,,,"$905,765","$14,111",,,"$71,960",,"$117,253","$12,907","$52,144",,"$1,490,948",,"$11,545",,,,"$319,256","$4,985,061","$747,172","$298,604",,"$29,152",,,,,"$2,476,404","$197,089",,,,,,"$25,348",,"$375,676","$367,079","$74,378",,"$126,460",,,,,"$80,616",,"$432,922","$173,476",,"$13,264","$297,006",,"$11,006","$15,138","$20,803","$21,383","$57,908","$2,409,860","$469,615",,"$224,779","$271,011",,,"$81,989",,,"$1,759,197","$65,944","$30,588",
