imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4651520,,Bad Moms (2016),"$163,095","$11,987,591","$3,021,628","$1,371,084","$56,644","$429,538","$146,929",,"$160,078",,"$123,464","$217,457","$297,174","$1,711,762",,,"$172,908","$84,000","$211,971","$754,395","$2,474,014","$11,730,725",,"$32,952","$390,202","$1,190,452","$150,245","$262,000","$61,000","$911,000","$1,532,818",,,"$86,280","$138,000","$98,036","$104,867","$2,781,178","$2,374,000","$1,362,279",,"$1,224,798",,,"$78,271","$22,074","$358,483","$46,811","$994,534","$176,021",,"$475,110","$1,228,393","$37,888","$245,572","$340,722","$128,822","$799,567",,"$1,602,934","$878,899","$2,247,000",,,"$75,102","$54,254","$132,237","$509,900","$1,035,000","$11,068,175","$24,220",,"$71,000"
2582782,,Hell or High Water (2016),"$261,722","$912,240",,,"$18,377",,,,,,"$52,398",,,,"$27,007,844",,,,,,"$1,707,177",,,"$137,991",,,"$50,451",,,,,,,,,,,"$115,993","$505,957","$144,928",,"$45,267",,,,,,,,"$20,446",,"$62,818","$161,239",,,,"$7,228","$34,164","$522,922","$1,062,432",,,,,,,,"$17,135","$82,161","$2,164,087","$21,198",,
4258698,,Southside with You (2016),,,,,,,,,,,"$14,303",,,,,,,,,,"$78,637",,,"$2,149",,,,,,,"$220,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$564,,,,,,,,,,"$8,026",,,
4919484,,Little Men (2016),"$54,274",,,,,,,,,,,,,,,,,,,,"$749,901",,,,,,,,,,,,,,,,,,"$50,269","$20,663",,,,,,,,,,"$23,333",,,,,,,,,,"$170,068",,,,,,,"$7,016",,,"$230,588",,,
5595168,,Kingsglaive: Final Fantasy XV (2016),,"$175,047",,,,,,,,"$4,169,821",,,,,,,,,,,,,,,,,,,,,,"$907,524",,,,,,,,"$45,699",,,,,,,,,,,,,,,,,,,"$14,570",,,,,,,,"$142,841",,,,,,
5713232,,Madaari (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,701,450",,,,,,,,,,,,"$4,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599692,,Clash (2016),,,,,,,,,,,"$25,251",,,,,,,,,,,,,"$10,454",,,,,,,,,,,,,,,,,,,,,,,,,,"$6,541",,,,,,,,,,"$32,214",,,,,,,"$1,064",,"$30,346","$19,036",,,
4160708,,Don't Breathe (2016),"$1,630,892","$3,641,774","$522,666","$804,632","$74,669","$3,173,338",,"$63,391","$693,050",,"$873,300",,"$223,344",,,,"$449,999",,,"$121,428","$2,576,423","$4,537,745",,"$276,747","$1,082,220","$490,312","$59,641","$2,115,323","$1,801,830","$949,414","$1,171,756","$4,132,329",,"$20,122",,"$83,110","$1,318,115","$3,375,582","$1,244,290","$366,936",,"$496,544",,"$58,521",,"$42,980","$446,610","$1,041,203","$569,355","$314,538",,"$186,208","$2,243,766","$575,827","$581,045","$148,006",,"$90,857","$7,592,979","$4,372,209","$1,013,415",,,,"$1,313,767","$1,169,896","$1,097,078","$84,691","$1,159,181","$5,019,182","$546,742","$159,520","$344,629"
2932536,,47 Meters Down (2017),"$178,845","$330,679",,,"$27,161","$138,087",,,,"$5,867,377","$203,707",,,,"$44,307,191",,,,,,,,,,,"$41,089","$5,806",,,,"$676,904",,,,,,,"$781,355","$494,297","$109,089",,"$115,298",,,,,,,,"$78,866",,,"$747,662",,,"$70,047",,,"$4,143,244","$1,218,994",,,,,,"$206,346","$120,398","$19,109","$572,336","$1,725,296","$19,278",,
3510452,,Misunderstood (2014),,,,,,"$18,516",,,,,"$1,837",,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
