imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0092965,,Empire of the Sun (1987),,,,,,,,,,,,,,,,,,,"$22,238,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083907,,The Evil Dead (1981),,"$1,059",,,,,,,,,,,,,,,,,"$2,400,000",,,,,,"$16,707","$212,367",,,,,,,,,,,,,,,,,,,,,,,"$1,229",,,,,,,,,,,,,,,,,,,"$261,944",,,,,,,,,"$2,073",,,,
0093437,,The Lost Boys (1987),,,,,,,,,,,,,,,,,,,"$32,315,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$884,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$188,593",,,,
0093507,,Masters of the Universe (1987),,,,,,,,,,,,,,,,,,,"$17,336,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0093560,,The Monster Squad (1987),,,,,,,,,,,,,,,,,,,"$3,769,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0192111,,Head Over Heels (2001),,"$700,446",,,,,,,,,,,,,,,,,,,,,,,,,"$1,122,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0242998,,Valentine (2001),,"$604,027",,,,,,,,,,,,,,"$5,442",,,,,,,,,,,"$597,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,713,996",,,,
0118694,,In the Mood for Love (2000),,"$117,119",,,,,,,,,,,,,,,,,"$2,738,980",,,,,,,,,,,"$73,690",,,,,,"$217,219",,,,,,,,,,,,"$40,012","$2,007",,,,,,"$13,014",,,,"$124,267",,,,,,,,"$892,669",,,,,"$60,260",,,"$6,202",,,,,,
0120753,,The Million Dollar Hotel (2000),,"$45,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250478,,Nico and Dani (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,288",,,,,,,,,
0212985,,Hannibal (2001),,"$5,555,753","$2,253,034",,,,,,,,,,,,,"$408,908",,"$1,234,470",,,,,,,,,"$17,316,791",,,,,"$188,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,910,263",,,,
