imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4451458,,Endless Poetry (2016),,,,,,,,,,,"$4,323",,,,,"$153,440",,,,,,"$266,057",,"$62,818",,,,,,,,,,,,,,,,,"$43,395",,,,,,,,,,,"$5,162",,,,,,,,,,,,,,,,,,,,"$23,834",,,
3772576,,Papeles en el viento (2015),,,,,,,,,"$3,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,439",,,,,,,,,,,,,,,,,,,,,,,,"$44,581",,
4447108,,Level Up (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,614",,,,
4547056,,The Girl with All the Gifts (2016),"$2,979",,,,,"$2,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$972,048",,,,,,,,$62,,,,,,,"$508,398",,,,,,,,,,,,"$45,207",,,,,,,,
4562518,,The Distinguished Citizen (2016),"$2,998,504",,,,,,,,,,"$20,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,510",,,,,,,"$7,275",,,,,,,,,,,,,,,,,,"$100,979",,
1480285,,Abattoir (2016),"$74,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$249,662",,,,,,"$251,991",,,,,,"$14,497",,,,,,,,
4119278,,All Roads Lead to Rome (2015),,,,,,"$30,861",,,,,,,,,,,,,,"$47,974",,,,,,,,,,,,,,,,,,"$41,876",,,"$149,099",,,,,,,,,"$8,833",,"$29,621",,,"$144,357",,,,,,,,,,,,,,"$99,251","$54,905","$26,956",,,,
5243900,,Bounty Hunters (2016),,,,,,,,,,"$31,911,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687848,,Railroad Tigers (2016),,,,,,,,,,"$101,519,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,399",,,,,,,,,,,,,,,,,,,,,,,,,"$302,482",,,,,"$8,360",,,
5918028,,Asura (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,958",,,,,,,,,,,,,,,,,,,"$18,120,183",,,,,,,,,,,,,,
5842624,,Call of Heroes (2016),,,,,,,,,,"$25,033,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5896962,,Line Walker (2016),,"$234,197",,,,,,,,"$87,941,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321405,,My Life as a Zucchini (2016),,,,,,,,,,,"$1,730",,,,,"$309,766",,,,,,"$5,238,965",,"$24,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,763",,,"$24,240",,,,,,"$63,167","$66,889",,,,,,,"$5,446",,"$36,851","$71,624",,,
4305562,,Insanity (2014),,,,,,,,,,"$7,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5943306,,Freaky Ali (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287875,,A Brand New Life (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,493",,,,,,,,,,,,,"$8,274",,,,"$116,306","$1,501",,,,,,,"$8,703",,,,,,
1666185,,All Eyez on Me (2017),,"$2,686,028",,,,,,,,,,,,,,,,,,,"$200,409",,"$1,462,588",,,,"$38,423",,,,"$869,828",,,,,,,,,,"$979,970","$389,437",,"$225,266",,,,,,,,"$99,940",,,"$470,132",,,,"$26,128","$97,100","$43,490",,,,,,,,,"$23,547","$599,348","$2,534,762",,,
5354664,,Time Raiders (2016),,,,,,,,,,"$145,692,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259966,,No manches Frida (2016),,,,,,"$152,573",,,,,"$23,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,836,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282006,,The Duelist (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,995,423",,,,,,,,,,,,,,,"$93,031",,,,,
2976864,,The Nightingale (2013),,"$34,489",,,,,,,,,,,,,,,,,,,,"$244,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714917,,Gimme Danger (2016),,,,,,,,,,,,,,,,,,,,,,"$412,700",,,,,"$3,208",,,,,,,,,,,,,,,,,,,,,,,,,"$2,698",,,"$16,646",,,,"$2,130",,,"$5,172",,,,,,,,,,"$66,859",,,
