imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2618936,,Inevitable (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5698568,,1898: Our Last Men in the Philippines (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,992,197",,,,,,,,,,,,,
2034800,,The Great Wall (2016),"$1,585,206","$5,614,227","$500,180",,"$727,270","$383,427","$8,597,114","$578,869",,"$656,542","$170,962,106","$1,930,554",,"$112,669","$60,974","$404,507","$446,049",,,"$500,031","$167,073","$121,476","$219,399","$6,524,751","$5,374,015","$1,015,826","$1,839,998","$928,462","$69,578","$409,968","$3,708,162","$449,353","$3,220,890",,"$1,339,363",,,"$81,650","$372,851","$109,901","$3,565,598","$8,122,082",,"$2,209,162","$787,239","$431,312",,"$44,076","$1,004,922","$47,460","$2,019,670","$2,111,820","$982,184","$868,548",,,"$950,745","$10,920,889",,"$2,508,720","$169,764","$73,675","$711,683","$3,894,654","$4,987,246","$1,026,084","$682,933",,"$4,002,518","$1,839,603","$176,281","$1,505,350","$1,212,133","$2,508,905","$5,517,760","$75,826","$472,458","$805,200"
4560008,,This Beautiful Fantastic (2016),,"$70,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,834",,,,,,,,,,,,,"$85,797",,,,,,,,,,,,,,,,,,,,
4276820,,The Founder (2016),"$145,972","$2,084,368","$59,025",,"$87,605",,"$393,194",,,,,"$63,618",,"$40,218",,"$60,169","$29,855",,,,"$2,427",,"$104,271","$441,255","$488,206","$7,048","$177,505","$88,053",,"$217,175",,"$389,181","$1,990,585",,"$807,542",,,,"$26,774",,,"$518,032",,"$270,068","$150,256",,,,"$34,843",,"$83,802",,"$217,663","$44,710",,,"$94,376",,"$7,773","$76,621","$52,110",,"$44,519","$237,487","$301,294","$16,193","$198,163",,"$186,562","$66,449",,"$20,071",,"$126,647","$635,501","$23,182",,
1020876,,Under the Sea 3D (2009),,"$801,048",,,,,"$138,692",,,,,$758,,,,"$259,129",,"$36,262,926",,,,,,,,,,,,,,,,,,,,,,,$616,"$9,283",,,$377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$345,798",,,
4900708,,Creepy (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,721,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,559",,,,,,,,,,,,,,
4501244,,Why Him? (2016),"$1,014,354","$8,136,049","$1,533,901",,"$1,043,916","$90,599","$197,282","$170,044",,"$593,699",,"$317,182",,"$277,680",,"$251,635","$369,734",,"$104,968","$639,314","$76,349","$173,805","$320,268","$877,204","$3,481,676","$158,640","$1,937,646","$935,513","$113,779",,"$297,938","$1,469,945","$955,226","$36,996",,,,"$92,485","$310,771","$100,102","$167,387","$3,320,114",,"$1,241,032","$521,225","$614,037",,,,"$78,859","$905,418","$159,649","$568,118","$502,216",,,"$1,167,063","$5,442,459","$204,095","$423,956","$189,218","$208,641","$833,195",,"$2,010,755","$862,557","$1,449,858",,"$1,049,223","$153,371","$173,482","$96,022","$940,877",,"$6,137,624","$145,530","$218,399","$423,183"
5097070,,Dancer (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$70,681",,,,,,,,,,,,,,,,,,"$76,029","$146,755",,,,,,,,,,,,,"$88,614",,,,,,"$301,001","$38,894",,,,,,,,,,"$337,758",,,
3470600,,Sing (2016),"$2,747,266","$21,338,070","$3,115,426",,"$4,374,552","$1,044,400","$11,638,397","$605,475",,"$3,593,346","$31,379,920","$2,975,348",,"$270,718","$179,642","$1,083,524","$3,421,764","$270,578,425",,"$1,319,906","$112,631","$428,781","$2,367,917","$22,889,974","$20,263,847","$1,339,765","$2,870,603","$1,299,924","$271,914","$342,501","$1,933,760","$3,526,099","$10,492,374",,"$43,705,150",,,"$315,523","$277,992","$492,486","$1,607,233","$14,123,788",,"$9,283,875","$2,570,517","$2,538,669",,"$37,489","$3,018,488","$164,120","$3,837,935","$927,553","$7,504,636","$2,374,683",,,"$694,670","$17,395,113","$330,378","$1,806,364","$692,993","$430,640","$2,210,396","$11,053,196","$17,084,660","$5,239,426","$3,852,821",,"$1,998,106","$528,518","$463,300","$709,766","$1,946,336","$1,933,219","$36,109,824","$372,781","$773,630","$2,068,427"
