imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0449999,,Kabhi Alvida Naa Kehna (2006),,"$400,037","$11,015",,,,,,,,,,,,,,,,,,,,,"$57,022",,,,,,,"$17,500,000",,,,,,,,,,,,,,,,"$81,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,904,073",,,
0374887,,Munna Bhai M.B.B.S. (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,850,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$238,646",,,
1935897,,Amityville: The Awakening (2017),"$109,858",,,"$16,030",,"$58,579","$712,926",,"$316,334",,"$381,987","$75,637","$2,941",,"$131,783",,,"$8,937","$221,575","$34,584","$2,608",,,,,"$70,639","$23,523",,"$175,997",,,,,"$1,170,752",,,"$8,954",,"$67,114","$16,555","$24,138","$58,506","$302,118","$1,033,731",,,,"$50,219",,,"$3,040",,"$3,806","$21,276","$342,696","$214,962",,,"$20,508","$183,300","$1,535,665","$21,188",,"$58,068","$7,394","$38,643",,"$444,405",,,"$237,061",,,,"$94,593","$84,035",,"$14,590","$80,000",
5592248,,The Beguiled (2017),"$137,837","$1,077,968","$138,588",,"$173,575","$9,334","$568,514",,"$78,736",,"$39,119",,,"$8,501","$93,648","$11,294",,"$4,186","$36,830","$22,516","$75,242","$171,694","$2,736,428","$951,723",,"$346,909",,"$78,468","$134,730",,,,"$70,897","$2,435,298",,,,,,"$22,028","$24,220","$42,062",,"$434,002",,"$435,233","$108,810",,,"$153,946",,,,"$4,642","$71,276","$14,008","$452,921",,,,"$779,260",,"$43,924","$26,078",,,"$363,588","$2,289,951","$324,676","$307,606","$95,046","$60,580","$29,773",,,"$94,132","$1,519,498","$13,775",,"$46,064"
6710658,,The Reagan Show (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,609",,,
3890160,,Baby Driver (2017),"$411,555","$9,463,477","$680,640","$540,757","$1,485,013","$66,829","$2,870,022","$199,420","$248,982","$16,576,214","$299,246",,"$221,216",,"$400,992","$1,225,313",,"$181,099","$225,707","$299,705","$137,118","$535,140","$6,916,443","$4,012,428","$14,961","$222,395",,"$412,195","$544,089","$201,755","$774,654","$1,675,303","$1,221,815","$2,192,862",,"$3,330,401","$285,011","$53,424","$606,225","$96,274","$449,365","$142,900","$1,509,024","$4,650,773",,"$2,945,678","$1,272,185",,"$91,748","$1,285,738",,"$78,503",,"$42,725","$249,592","$900,984","$1,207,407","$922,400","$459,574","$436,285","$5,823,490","$62,749","$805,108","$142,851","$73,235","$732,731","$5,913,726","$3,073,301","$1,293,830","$909,728","$1,410,646","$923,777","$222,132","$597,936","$641,152","$1,838,993","$15,554,763","$117,395","$313,765","$361,517"
0768114,,After This Our Exile (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$804,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,507",,,,,,,,,
1365048,,3-D Sex and Zen: Extreme Ecstasy (2011),,,,,,"$1,431",,,,,,,,,,,"$153,215",,,,,,,,,,,"$5,272,644",,,,,,"$147,219",,,,,,,,,,,,,"$155,268",,,,,,,,$580,,,"$1,659",,,"$242,475",,"$483,552",,,,"$872,763",,,,"$2,098,242","$801,502",,,,,"$77,688",,,
1352765,,Surviving Life (2010),,,,,,,,,,,,,,,"$7,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,899",,,
4799050,,Rough Night (2017),,"$3,754,381","$810,179",,,,,"$62,920",,,,,"$145,129",,"$209,760","$746,478",,"$20,514",,,"$111,550","$191,971","$769,983","$3,850,971",,"$74,065",,"$561,122","$520,249","$53,027",,,"$554,340",,,,,,,"$46,010",,"$114,720",,,,"$2,268,486","$430,763",,,"$470,304",,,,,,"$91,284","$592,656","$284,344",,"$355,410","$2,432,408","$59,343","$84,915","$148,752","$62,518","$339,199",,"$1,530,460","$316,686","$345,409","$378,209","$145,237","$57,528",,"$593,654",,"$1,027,099",,,"$56,239"
6162808,,Miss Saigon: 25th Anniversary (2016),,"$142,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,077",,,,"$789,392",,,,,"$9,061",,,,,,,,
5044656,,The Shadow Effect (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,273",,,,,,,,,,,,,
2458314,,The Last Tycoon (2012),,,,,,,,,,"$23,120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3896738,,Hounds of Love (2016),,"$144,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882704,,For a Few Bullets (2016),,,,,,,,,,"$7,828,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6288250,,Patti Cake$ (2017),,"$78,991",,,,,,,,,,,,,,,,,,,,,"$333,979",,,,,,,,,,,,,,,,,,,,,,,"$38,910",$331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,799","$157,293",,,
6304162,,Loveless (2017),,"$350,323",,,,,"$75,896","$13,616",,,,,,,"$5,972",,"$566,356",,,,,,,,,"$122,756",,,"$20,022","$2,573",,,,"$347,563",,,,,,,,"$7,412",,,,"$345,210",,,,"$24,889",,,,,,,,"$4,156",,"$7,945","$1,702,516",,,,"$8,031",,"$62,082","$49,311",,,,,,"$35,590",,"$1,564","$174,575",,,
3397160,,Stefan Zweig: Farewell to Europe (2016),"$38,297",,,,,,,,,,,,,,,,,,,,,,"$640,893",,,"$24,362",,,"$14,684",,,,,,,,,,,,,"$2,986",,,,,,,,,,,,,,,,"$34,833",,,,,,,,,,"$532,494",,,,,,,,,,"$3,851",,
0489682,,Conversations with God (2006),,,"$63,758",,,,,,,,,,,,,,"$425,045",,,,,,,"$381,127",,,,"$66,266",,,,,,,,,,,,,,,,"$69,313",,,,,,,,,,,"$12,514",,,,,,,,,,,,"$3,780",,,,,,,,,,,,,
