imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1536537,,What Happened to Monday (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,291,601",,,,,,"$7,022,506",,,,,"$1,088,074",,,,,,,,
5715410,,Son of Bigfoot (2017),"$284,341",,"$552,097","$665,619",,"$1,913,716","$90,704","$1,341,794","$188,827","$139,946","$8,473,259","$261,073","$48,175","$49,915","$37,200","$506,284","$446,470",,,"$217,740",,"$295,583","$304,744","$4,874,133","$2,340,271",,"$379,070","$9,517",,"$324,486","$67,241",,,"$1,316,770","$1,917,669",,,,,,"$225,514",,"$260,831","$177,113","$598,598",,"$1,556,717","$226,716","$17,716",,"$803,948",,,"$45,455","$13,598","$212,265",,"$1,380,725","$370,842",,"$403,456","$2,263,289","$149,323","$118,650","$250,958","$100,185","$738,710","$1,998,502","$3,596,214","$439,823","$924,029",,"$29,739",,"$280,988","$287,958","$925,044","$80,685","$52,148",,"$200,631"
5607714,,On Body and Soul (2017),,,"$19,959",,,,,,"$8,597",,,,,,,"$4,125",,,,,,,"$15,495","$340,561",,,"$268,333",,,"$659,522","$1,290",,,,"$213,160",,,,,,,,"$11,339",,,,"$238,529",,,,"$30,488",,,,,,,,"$10,615",,"$57,526","$62,841",,,"$3,296",,,"$69,145","$86,662",,,,,,"$18,955",,,"$12,196",,,
2406566,,Atomic Blonde (2017),"$296,058",,"$3,885,754","$383,451","$92,926","$491,679","$36,948","$1,875,671","$101,331","$138,583",,"$334,518",,"$174,775","$16,334","$122,906","$245,100",,,"$113,955","$32,377","$96,281","$174,480","$3,763,161","$2,820,926",,"$262,046",,"$492,906","$165,587","$70,980","$204,025","$180,397","$300,753","$2,210,566",,"$2,376,100","$46,422",,"$198,445","$46,824","$120,298","$50,430","$356,276","$2,991,034",,"$1,461,761","$429,848",,,"$340,215","$45,385",,,"$10,443","$253,783","$380,689","$877,593","$563,766","$146,908","$514,775","$3,342,666","$85,970","$169,776","$59,545","$39,470","$400,420","$1,106,519","$2,208,022","$387,081","$761,316","$532,818","$393,056","$86,286","$690,192","$561,254","$696,104","$5,103,126","$25,812","$92,987","$292,983"
0809951,,Empties (2007),,,$978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,680",,,,,,,,,,,,,,,,,,,,,,,,"$33,682",,,,,,,,,
6083388,,God of War (2017),,,,,,,,,,,"$9,506,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4721124,,The Exception (2016),,,"$48,111",,,,,,,,,,,,,,,,,,,,,,,,"$16,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,908",,,,,,,,"$12,585",,"$26,105","$4,174",,,
2417712,,Goon: Last of the Enforcers (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,347",,,,,,,,,,,,,,,,,,,
5013056,,Dunkirk (2017),"$2,016,819",,"$18,500,000",,,,"$160,464","$4,600,000","$195,451",,"$50,970,494","$1,247,748",,,,"$1,680,104",,"$189,740,665",,,,,"$1,621,326","$21,500,000","$7,700,000",,"$1,552,150",,"$3,400,000","$1,027,191","$343,639","$3,144,854","$2,800,000",,"$9,935,722",,"$14,800,000",,,,,,"$328,726",,"$5,800,000",,"$8,100,000","$4,202,545",,,"$2,816,515",,,,"$78,025",,,"$3,732,372","$1,147,203",,"$802,309","$5,400,000",,,"$614,051","$152,794","$825,513","$22,949,201","$10,600,000",,"$3,000,000","$3,700,000","$1,438,979",,"$1,400,000","$774,013","$3,053,017","$74,366,509","$135,650",,
6201292,,Bairavaa (2017),,,"$159,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
