imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Djibouti,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Caledonia,New Zealand,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0085891,,The Man Who Loved Women (1983),,,,,,,,,,,,,,,,,,,,,,,,"$10,964,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0108037,,The Sandlot (1993),,,,,,,,,,,,,,,,,,,,,,,,"$32,950,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0069995,,Don't Look Now (1973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,856",,,,
0275022,,Crossroads (2002),"$22,500",,"$1,843,152","$435,708",,,,,,"$259,342",,,,,,,,,,"$37,890",,,,,,,,,,,"$1,599,166","$2,749,018",,"$45,517","$24,286",,,,,"$108,905",,,,,,,,,,,,,"$1,109,048",,,,,"$1,064,665",,"$164,326",,,,,,,,,,,,,,,,,,,,,"$230,725",,"$280,485",,,,,,,,,,"$7,735,115",,,,
0251114,,Hart's War (2002),,,"$188,620","$8,643",,,,,,"$654,221","$18,108",,,,,,,,,"$74,461",,,,,,,,"$42,305",,,"$817,409","$137,066",,,"$41,302",,,,,"$852,852",,"$2,932,639",,,,,,,,,,,"$1,568,160",,,,,,,"$52,421",,,,,,,,,,,,,,,,,,,,,"$101,083","$227,640","$1,408,976",,,,"$200,326",,,"$246,370",,,"$358,241",,,,
0251160,,John Q (2002),"$229,038",,"$1,747,459",,,,,,,"$641,224","$11,520",,,"$24,669",,,,,,"$33,330",,,,,,,,,,,"$1,283,630","$736,004","$25,600","$108,103","$31,238",,,,,"$2,037,209",,"$6,077,365",,,,,,,,,,,"$2,731,037",,,,,"$614,322",,"$53,214","$21,992",,,,,,,,,,,,,,,,,,,,"$264,580","$870,956","$5,374,792",,,,"$428,904",,,,,,"$1,151,151",,,,
0280030,,Return to Never Land (2002),"$247,671",,"$1,371,841","$252,704",,,,,,"$448,644","$2,009",,,,,,,,,"$33,240",,,,"$48,430,258",,,,,,"$471,953","$7,618,931","$2,786,414",,,"$36,552",,,,,"$2,024,305",,"$17,866,672",,,,,,,,,,,"$2,731,673",,,,,"$1,106,378",,"$157,060","$824,616",,,,,,,,,,,,,,,,,,,,"$148,326",,"$5,259,299",,,,"$14,601",,,"$64,192",,,"$5,337,218",,,,
0247745,,Super Troopers (2001),,,"$947,930","$58,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$707,908",,,,,,,,,,,,,,,,,,,,,"$49,861",,,,,,,,,,,,,,,"$6,164",,,,,,,,,,,,,,,"$1,679,287",,,,,,,,,,"$712,708",,,,
0253200,,Last Orders (2001),,,"$1,593,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,316",,,,,,,,"$16,167",,,,,,,,,,,,,,,,,,,,"$213,813","$39,920",,,,,,,,,,,,,,,,,,,,,,"$64,787",,,,,,,,,,"$765,239",,,,
0259288,,Dragonfly (2002),"$208,713",,"$520,284","$425,644",,,,,,"$1,354,483","$16,086",,,"$133,164",,,,,,"$43,617",,,,,,,,,,"$16,821","$2,339,236","$1,653,167",,"$159,700","$82,497",,,,,"$2,946,805",,,,,,,,,,,,,"$4,578,494",,,,,"$223,577",,"$98,577",,,,,,,,"$13,064",,,,,,,,,,,,,"$77,202","$123,870","$5,902,719",,,,"$230,474",,,"$385,854",,,"$117,200",,,,
0238546,,Queen of the Damned (2002),"$9,872",,"$1,620,689","$204,030",,,,,,"$199,915",,,,,,,,,,,,,,,,,,,,"$53,121","$1,693,916","$1,516,601",,,,,,,,"$432,534",,"$1,835,700",,,,,,,,,,,"$936,438",,,,,"$79,636",,"$238,028",,,,,,,,,,,,,,,,,,,,,"$61,244",,"$1,228,306",,,,"$57,522",,,,,,"$2,020,149",,,,
0207524,,How to Kill Your Neighbor's Dog (2000),,,,,,,,,,,,,,,,,,,,,,,,"$49,894",,,,,,,"$23,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291341,,Mean Machine (2001),,,"$462,195",,,,,,,,"$35,310",,,,,,,,,,,,,,,,,,,,"$91,156","$37,905",,,,,,,,,,,,,,,,,,,,,"$67,084",,,,,"$50,547",,"$87,942",,,,,,,,,,,,,,,,,,,,,,,"$97,144",,,,,,,,,,"$6,288,153",,,,
0265343,,Monsoon Wedding (2001),"$190,334",,"$890,439","$125,294",,,,,,,,,,"$19,198",,,,,,,,,,,,,,,,,"$50,225","$1,284,520",,,"$37,222",,,,,"$2,207,869",,,,,,,,,,,,,,,,,,,,"$283,687",,,,,,,,,,,,,,,,,,,,,,,"$1,261,181",,,,,,,,,,"$2,214,809",,,,
0050986,,Wild Strawberries (1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,524",,,,,,"$45,894",,,,,,,,,,,,,,,,,,,,,,
0243736,,40 Days and 40 Nights (2002),"$75,487",,"$2,142,623","$1,900,940",,,,,,"$215,215","$61,851",,"$216,849","$164,780",,"$125,843","$35,851",,"$76,790","$46,920","$598,016","$412,252",,,,"$35,376",,,,"$333,959","$5,451,518","$13,308,625","$626,173","$199,270","$306,402","$21,051","$236,689",,"$358,431","$2,533,586",,,,,,,"$64,316",,,,,,"$1,374,366",,"$155,852",,,"$2,063,314",,"$344,337","$308,299",,,,,"$324,067","$429,182","$456,738","$999,101",,,,"$39,931",,,"$836,124",,"$175,938",,"$115,693","$567,779","$235,247","$2,457,947",,"$474,786","$2,527,261","$733,566","$723,008",,"$524,851",,,"$7,717,740",,"$269,395",,
0277434,,We Were Soldiers (2002),"$77,057",,"$3,941,908","$447,097",,,,,,"$355,821","$13,280",,,"$29,234",,,,,,,,,,"$78,122,718",,,,,,,"$751,754","$3,605,157",,"$714,131","$61,059",,,,,"$2,136,014",,"$5,060,280",,,,,,,,,,,"$3,173,511",,,,,"$217,807",,"$526,709","$348,784",,,,,,,,,,,,,,"$232,936",,,,,,"$229,928","$1,842,105","$1,186,626",,,,"$856,538",,,"$531,761",,,"$2,965,727",,,,
0204700,,Trouble Every Day (2001),,,,,,,,,,,,,,,,,,,,"$6,382",,,,"$9,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278295,,All About the Benjamins (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,074",,,,,,,
0268695,,The Time Machine (2002),"$155,381",,"$2,309,635","$276,583",,,,,,"$1,558,127","$42,251",,,,,,,,,,,,,,,,,,,,"$2,117,341","$2,812,775",,,"$113,353",,,,,"$2,706,102",,"$9,994,922",,,,,,,,,,,"$5,183,137",,,,,"$799,477",,"$351,034",,,,,,,,,,,,,,,,,,,,,"$180,538","$2,388,855","$5,354,908",,,,"$571,502",,,"$371,302",,,"$5,681,962",,,,
0290212,,Full Frontal (2002),,,"$6,098","$30,583",,,,,,,,,,,,,,,,"$25,082",,,,,,,,,,,"$201,973","$80,121",,,,,,,,"$195,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,612",,,,,,,"$26,643",,,,,,,
0099768,,Hidden Agenda (1990),,,,,,,,,,,,,,,,,,,,,,,,"$1,030,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$201,272",,,,
