imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0084422,,The Night of the Shooting Stars (1982),,,,,,,,,,,,,,,,,,,"$2,257,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084740,,El Sur (1983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,761",,,,,,,,"$11,959",,,
0251127,,How to Lose a Guy in 10 Days (2003),"$499,925","$7,287,449","$1,784,578",,"$1,251,969",,"$2,140,422","$40,953",,"$335,036","$235,727",,"$334,026","$51,502","$90,696","$105,775","$179,622","$494,846",,,,,"$109,344","$57,576","$249,071","$2,234,765","$9,709,364","$467,322",,"$301,202","$397,231","$151,200","$160,722","$147,865","$1,213,841","$2,710,890",,"$3,518,049","$25,225","$32,044",,"$317,778",,"$36,354","$189,172","$4,122,486",,"$305,978",,"$1,985,019","$641,590","$671,791",,"$259,028","$405,893","$705,836","$982,208",,"$108,024",,"$1,312,432",,"$23,121","$388,604",,"$166,927","$1,278,371","$2,931,377",,"$3,038,108","$340,568","$1,803,655","$651,211","$350,277","$513,013","$227,475",,"$11,243,705",,"$370,776",
0300471,,Shanghai Knights (2003),,"$2,795,786","$166,523",,"$28,484",,,"$45,112",,,"$7,009",,,,,"$45,379",,,,,,,"$39,708","$10,606","$44,287","$793,453","$1,842,056",,,,"$85,232",,"$169,160",,,"$17,926",,"$1,136,098",,,,,,"$8,423","$925,000","$1,530,784",,,,"$447,904","$628,420","$187,064",,,"$365,000",,"$97,315",,,,"$1,053,118",,,"$1,400,000",,,"$619,391","$1,550,451",,"$1,062,298",,,"$1,292,254","$250,000","$22,778",,,"$3,606,453",,,
0287978,,Daredevil (2003),"$486,946","$4,539,133","$736,136",,"$259,000",,,"$86,565",,,"$194,516",,,"$23,000",,"$72,358",,"$197,000",,,,"$54,000","$66,043","$30,330","$356,270","$7,763,102","$4,491,470","$802,300",,,"$107,239",,"$12,425","$216,000",,"$3,869,885",,"$6,439,500",,"$18,246",,,,"$4,630",,"$5,233,949",,,,"$717,862","$858,908","$444,440",,,"$743,000","$32,953",,"$481,000",,,"$2,011,744",,"$52,785","$495,000",,"$18,000","$1,054,249",,,"$6,174,446","$207,000",,"$1,322,618","$550,000","$310,544",,,"$9,021,016",,"$184,000",
0283426,,The Jungle Book 2 (2003),"$378,552","$2,834,861","$1,830,638",,"$460,000",,,"$12,805",,,"$286,729",,,,,"$360,337",,"$1,962,173","$47,901,582",,,,"$5,787","$3,367","$796,795","$19,560,856","$13,794,792","$362,300",,,"$180,482","$117,219",,,,"$2,709,115",,,,"$8,120",,,,"$5,085",,"$5,108,668",,,,"$2,278,672","$469,112","$1,347,327",,,,"$662,732",,,,,"$546,110",,,,,,"$583,541",,,"$5,182,876","$2,800,000",,,,"$128,200",,,"$13,569,802",,,
0299458,,All the Real Girls (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,320",,,
0303297,,Amandla! (2002),,"$13,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0317234,,Painted Fire (2002),,,,,,,,,,,,,,,,,,,"$64,029",,,,,,,"$798,112",,,,,,,,,,,,,,,,,,,,"$15,245",,,,,,,,,,,,,,,,,,,,,,"$5,911,526",,"$64,503",,,"$2,198",,,,,"$50,622",,,
0291579,,"He Loves Me, He Loves Me Not (2002)",,,"$101,483",,,,,,,,,,,,,"$13,306",,,,,,,,,"$92,473","$2,802,202","$720,970",,,"$116,274","$60,825",,,,,"$146,254",,,,,,,,,,,,,,,,,,,,"$42,151",,,,,,,,,,,,,,,,,"$25,354",,"$140,124",,,"$51,579",,,
0085248,,The Black Stallion Returns (1983),,,,,,,,,,,,,,,,,,,"$12,049,108",,,,,,,$406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0068441,,Cesar & Rosalie (1972),,,,,,,,,,,,,,,,,,,"$5,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0053172,,Pillow Talk (1959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,134",,,,,,,,,,,,,
0074851,,The Man Who Fell to Earth (1976),,,,,,,,,,,,,,,,,,,"$100,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$804,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,316",,,
0279331,,Dark Blue (2002),,"$35,485",,,"$73,991",,,"$16,242",,,,,,,,,,,,,,,,"$1,661","$19,492","$877,828","$167,848",,,,,"$22,186",,,,"$503,178",,,,,,,,,,"$182,248",,,,"$78,572","$28,897","$32,688",,,,,,,,,"$94,716",,,,,,,,,"$120,790",,"$63,012",,,"$9,163",,,"$427,159",,,
0279111,,Gods and Generals (2003),,"$1,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0289992,,The Life of David Gale (2003),"$69,819","$654,583","$478,270",,"$646,422",,"$14,081",,,,,,,,,"$39,830",,,,,,,,,"$34,586","$2,801,863","$1,623,331","$213,600",,"$77,033","$34,554","$26,779",,,"$453,404","$940,438",,"$641,280",,"$8,738",,,,,,"$885,917",,,,"$325,668","$105,323","$115,623",,,,"$317,712",,,,,"$135,313",,,,,,"$206,566","$304,010",,"$1,066,611",,,,,,,,"$4,016,065",,,
0302886,,Old School (2003),,"$1,416,741","$386,704",,,,,,,"$65,435",,,"$28,730",,"$24,445",,,,,,,"$27,499",,,,"$30,034","$1,865,281",,,,,"$32,109",,,,"$1,056",,,,,,"$77,495",,,,"$954,378",,"$58,206",,"$415,869",,,,"$47,839",,,"$372,044",,,,,,,,,"$25,590","$209,739","$86,228",,"$1,726,832",,,,,,,,"$3,698,173",,,
0276276,,Lawless Heart (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,231",,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,298",,,
0279977,,The Navigators (2001),,"$12,272",,,,,,,,,,,,,,,,,,,,,,,,"$1,702,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,538",,,,,,,,,,,
0315543,,Open Hearts (2002),"$72,642","$16,020","$51,149",,,,,,,,,,,,,"$259,607",,,,,,,,,,"$48,034","$507,770",,,,,,,,,"$3,648",,,,,,,,,,,,,,"$24,743",,"$413,272",,,,,,,,,"$159,217",,,,,,,,,,,,,,,,,,,,
0240980,,Till Human Voices Wake Us (2002),,"$37,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
