imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0351770,,His Brother (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,700",,,,,,,,,,,
0069822,,Breezy (1973),,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0311072,,En la ciudad sin límites (2002),"$42,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$391,926",,,,,,,,,,,
0057091,,The Leopard (1963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,841",,,,,,,"$176,763",,,,,,,,,,,,,,,,,,,,,"$179,986",,,
0280990,,The Nest (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,511",,,,,,,,
0055572,,A Woman Is a Woman (1961),,,,,,,,,,,,,,,,,,,,"$100,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056215,,Mamma Roma (1962),,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,248",,,,,,,,,,,,,,,,,,,,,,,"$11,838",,,,,,,,$708,,,,,,,,,,,,,,,,,,,,,,,,
0101428,,The Beautiful Troublemaker (1991),,,,,,,,,,,,,,,,,,,,"$403,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042530,,Gun Crazy (1950),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,322",,,
0310778,,Bon Voyage (2003),,"$191,291",,,,,,,,,,,,,,,"$2,878",,,"$2,503,286",,,,,,,"$4,647,345",,,,,,,,,,,,,,,,,,,,,,,,"$89,532",,,,,,"$15,219",,,,,,,,,,,,,,"$512,303",,,,,"$26,665",,,"$134,851",,,
0368008,,The Manchurian Candidate (2004),"$474,787","$2,378,563","$374,361",,,"$723,322",,"$826,176","$23,331",,"$326,804",,,"$134,085","$34,272","$14,785",,,"$170,427","$65,955,630",,,"$34,964","$6,395",,"$65,219","$2,452,307","$2,546,847","$899,200","$25,859","$123,072","$28,162",,"$136,511","$288,483","$3,877,817",,"$327,811",,"$18,346",,"$11,493","$13,996",,"$5,794","$62,849","$2,013,026",,"$139,939","$583,687","$179,502",,"$223,271",,,"$148,283",,"$458,901",,,"$52,607",,,,"$19,179","$132,588",,"$64,700","$450,338","$96,727","$3,362,950","$308,293","$915,472","$99,710",,"$225,101",,"$131,059","$3,836,190",,"$237,518",
0167456,,Thunderbirds (2004),,"$1,074,500",,,,"$38,520",,,$884,,,,$0,,"$2,903",,,,"$31,797",,,,,,,,,"$80,899",,,,"$45,491",,,"$61,133",,,"$7,424,356",,,,,,,,,"$462,672",,,"$249,053","$266,559",,"$77,749",,,,,"$34,552",,,,,"$556,625",,,,,,"$135,671",,"$347,802","$37,914",,,"$33,797",,,"$16,356","$10,170,885",,,
0368447,,The Village (2004),"$1,180,836","$5,348,279","$1,625,290",,,"$3,083,965",,"$3,000,000","$42,480",,,"$471,191",,,,,"$553,931",,"$1,096,027",,,,,"$57,902",,"$705,394","$15,971,004","$13,107,508","$2,378,000","$692,763","$522,747","$187,529",,,,"$8,586,002",,"$14,818,563",,,,,"$104,382",,,,"$6,755,204",,,"$2,691,643",,,"$1,527,819",,,,"$1,751,063","$927,684",,,"$81,693",,"$2,188,908",,"$5,103",,,,"$775,190",,"$12,577,776","$2,440,607","$2,215,543","$494,459","$608,700","$1,360,867",,"$297,090","$18,743,397",,,
0333766,,Garden State (2004),"$31,917","$1,426,698","$150,212",,,"$57,655",,,"$1,566",,,"$25,151",,,,,,,,,,,,,,,"$2,034,803","$1,090,002","$30,350",,,"$1,980",,,,"$16,910",,,,,,,,,,,"$76,522",,,"$21,112","$232,389",,"$76,749",,,,"$147,000","$13,375",,,"$2,649",,,,,,,,,,"$582,350","$216,292",,,,,,,"$2,036,326",,,
0030643,,Port of Shadows (1938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,234",,,
0369339,,Collateral (2004),"$785,493","$6,199,325","$995,092",,,"$2,251,519",,"$2,092,556","$82,417",,"$546,778","$304,797",,"$268,531","$142,601","$68,648","$289,916","$311,248","$795,561",,,,"$128,548","$120,787","$50,016","$865,538","$11,488,932","$7,064,303","$1,478,393","$738,443","$315,121","$184,713","$244,118","$353,718","$793,132","$9,049,219",,"$19,839,525",,"$30,518",,"$51,767","$127,531",,"$41,816","$289,419","$4,219,543",,"$668,963","$2,705,829",$604,,"$1,003,851",,"$220,389","$519,082","$658,023","$1,031,623",,,"$122,597","$1,457,321","$1,493,437",,"$40,190","$483,361",,"$141,701","$791,063","$4,371,212","$7,269,986","$1,967,591","$2,205,855","$1,213,018","$561,974","$1,156,591","$247,954","$449,700","$15,364,828",,"$477,897",
0361841,,Little Black Book (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,126","$28,362",,,,,,,,"$60,513",,,,,"$50,044",,,,,,"$678,429",,,,,,,,,$927,,"$149,635",,,,,,,,,"$2,385",,"$195,979",,"$112,241",,,,,,,,"$33,200",,,
0345061,,Code 46 (2003),"$14,134","$47,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$277,727",,,,,,,,,,,,,,,,,,,,,,,,,"$4,101",,,,,,,,,,"$144,745",,,,,,,,"$112,504",,,
0366551,,Harold & Kumar Go to White Castle (2004),,"$1,297,669","$52,122",,,,,,,,,,,,,,"$54,675",,,,,,,,,,,"$330,131",,,,"$68,359",,,,"$380,841",,,,,,,,,,,,,,"$35,351","$109,507",,,,,,,"$202,169",,,,,"$422,491",,$480,,"$26,080","$12,382",,,"$1,610,342",,,,,,,"$51,330","$1,028,118",,,
0368933,,The Princess Diaries 2: Royal Engagement (2004),"$148,184","$5,340,299","$556,286",,,"$1,072,245",,"$750,000","$12,769",,,"$81,760",,,"$20,214",,"$57,560",,"$16,644",,,,,"$17,907",,"$210,732","$251,119","$3,098,126",,"$216,782","$158,418","$99,283",,"$308,127",,"$56,108",,"$1,327,053",,,,,"$125,880",,"$8,825",,"$1,921,910",,,"$1,265,022","$751,758",,"$753,582",,"$105,754",,"$172,294","$199,071",,,"$32,360",,"$1,002,241",,,,,,,"$864,931","$1,746,397","$1,101,015","$1,053,355","$189,534","$433,000","$191,357",,"$175,340","$7,472,009","$38,615",,
0337960,,Danny Deckchair (2003),,"$645,618",,,,,,,,,,,,,,,,,,"$160,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
