id,name
2952,Avy Kaufman
5914,Mary Vernieu
5328,Kerry Barden
3965,Deborah Aquila
3192,Billy Hopkins
1034748,Tricia Wood
59,Luc Besson
4023,Suzanne Smith
488,Steven Spielberg
1213,James Newton Howard
59839,Harvey Weinstein
2294,Robert Rodriguez
1307,Bob Weinstein
947,Hans Zimmer
1729,James Horner
1243,Woody Allen
1884,Steven Soderbergh
1760,Jerry Goldsmith
4140,Mark Isham
531,Danny Elfman
37,Alan Silvestri
13585,Nancy Nayor
2997,Scott Rudin
376,Arnon Milchan
6410,Francine Maisler
2236,Tim Bevan
491,John Williams
16363,Nina Gold
4500,John Debney
339,Brian Grazer
190,Clint Eastwood
561,John Papsidera
2238,Eric Fellner
897,Bonnie Timmermann
598,Mike Fenton
474,Jina Jay
1007395,J.J. Makaro
1776,Francis Ford Coppola
1338372,Dan O'Connell
5912,Graeme Revell
2215,Denise Chamian
1225,Carter Burwell
19155,Christopher Young
1263,Lynn Stalmaster
1223,Joel Coen
2949,Alexandre Desplat
7229,Marco Beltrami
153,Thomas Newman
23486,Christophe Beck
5026,Akira Kurosawa
1091,Joel Silver
11505,John Hughes
2874,Janet Hirshenson
3275,Jane Jenkins
1032,Martin Scorsese
1224,Ethan Coen
3393,David Newman
1296,Bruce Berman
68016,Kevin Kaska
1650,François Truffaut
7624,Stan Lee
2725,Rainer Werner Fassbinder
578,Ridley Scott
495,Debra Zane
117,Howard Shore
6044,Mindy Marin
406204,Ve Neill
1927,Blake Edwards
7232,Sarah Finn
664,Frank Marshall
33008,Menahem Golan
7182,Elmer Bernstein
19689,Paul Schnee
15017,Bill Corso
1152,Oliver Stone
1259,Ennio Morricone
1,George Lucas
557,Colleen Atwood
8246,Barry Levinson
6347,Margery Simkin
6159,Ron Howard
1399071,Hans Bjerno
1367493,John T. Cucci
40810,Glenn Freemantle
489,Kathleen Kennedy
4504,Roger Birnbaum
5281,Spike Lee
17209,Avi Lerner
1720,Ronna Kress
24,Robert Zemeckis
6818,Werner Herzog
11098,John Powell
151,Roger Deakins
1528,George Fenton
7879,John Lasseter
546,Jeanne McCarthy
2031,Amanda Mackey
5140,Wes Craven
11770,John Carpenter
16830,Boaz Davidson
3027,Stephen King
1484,Ellen Chenoweth
102445,John Sayles
597,Jane Feinberg
2303,Wim Wenders
14764,Christopher Assells
1046,Juliet Taylor
3776,Jean-Luc Godard
13848,Charlie Chaplin
770,Jerry Bruckheimer
8858,Ivan Reitman
434,Lisa Beach
9545,Anne McCarthy
68602,Tom Rosenberg
493,Michael Kahn
14712,Randy Edelman
9217,Lalo Schifrin
2636,Alfred Hitchcock
10965,Chris Columbus
40823,Peter Burgis
1113,Lucinda Syson
10572,Theodore Shapiro
3769,Michael Ballhaus
33009,Yoram Globus
6648,Ingmar Bergman
11874,Neal H. Moritz
5553,Harry Gregson-Williams
2532,Cathy Sandrich
309,Pedro Almodóvar
20540,Randi Hiller
1262,Mali Finn
6041,Brian Tyler
1723,Walter Hill
10830,Toby Emmerich
4501,Dean Semler
4507,Gary Barber
5602,David Lynch
28615,Éric Rohmer
900,Christopher Boyes
3562,Rachel Portman
5216,Gus Van Sant
2043,John Davis
7714,Michael Kamen
1424894,Camille Friend
865,Michael Bay
54419,Ryan Kavanaugh
3953,Gary Lucchesi
80602,Tyler Perry
35771,Aditya Chopra
9039,John Ottman
138,Quentin Tarantino
1527,John Bailey
13223,Jim Passon
5493,Ann Roth
3535,Georges Delerue
17211,Randall Emmett
1077782,Gary A. Hecker
5490,David Rubin
436,Sarah Katzman
2242,Ellen Lewis
7494,Sheila Jaffe
26760,Tsui Hark
122,Klaus Badelt
9196,Ted Field
10828,Guillermo del Toro
54777,Jennifer L. Smith
1336716,Dottie Starling
10494,Bill Conti
2289,John Barry
4350,Edith Head
3146,Billy Wilder
5669,Douglas Aibel
52161,Randall Poster
19303,Kevin Smith
564,Richard Linklater
1150,Brian De Palma
1938,Henry Mancini
9152,Patrick Doyle
1378171,Kevin O'Connell
41039,Judd Apatow
3501,Daniel Hubbard
1302,Susie Figgis
494,Terri Taylor
4767,Michael De Luca
11472,Irwin Winkler
8844,Lawrence Kasdan
1393558,Ray Fisher
6210,William Shakespeare
3317,Takeshi Kitano
7413,Mark Irwin
1188,Kim Ki-duk
608,Hayao Miyazaki
172,Michael Winterbottom
5288,A. R. Rahman
84348,Jason Blum
510,Tim Burton
541,Chris Lebenzon
18457,Pam Dixon
894,Trevor Rabin
2710,James Cameron
108,Peter Jackson
42,Lars von Trier
37710,Peter Hyams
2704,Maurice Jarre
793,Luis Buñuel
5666,Mark Mothersbaugh
5575,Akiva Goldsman
547,Victoria Thomas
1403415,David B. Nowell
2212,Walter F. Parkes
54211,Thomas Tull
1116937,John Roesch
5363,Coreen Mayrs
7623,Sam Raimi
3658,Robert Greenhut
1255,David Mamet
668,Mary Selway
2073,Gail Stevens
1548698,Pete Anthony
5362,Heike Brandstatter
56765,Leslie Shatz
1456696,Brian N. Bentley
638,Michael Mann
2507,Matthew F. Leonetti
3556,Roman Polanski
2226,Sydney Pollack
32035,Edward R. Pressman
1093,Lawrence Gordon
9789,Robert Altman
9062,Cedric Gibbons
9027,Sandy Powell
1552521,Brian Avery
113073,Paul Massey
1325,John Hubbard
5488,Gabriel Yared
16177,Ron Bartlett
1399141,Michael Minkler
149,Robert Richardson
2950,Robert Elswit
22061,Helen Jarvis
5359,Mychael Danna
6048,Mark Gordon
7800,Deirdre Bowen
16483,Sylvester Stallone
16294,Jonathan Demme
869,Gale Anne Hurd
1530,Howard Feuer
3806,Marion Dougherty
4415,Federico Fellini
10850,Kevin Feige
1012,Anders Thomas Jensen
508,David Koepp
15426,Laura Rosenthal
1338976,Andy Nelson
87550,Vishal Bhardwaj
4014,Paul W.S. Anderson
11614,M. Night Shyamalan
1035,Paul Schrader
1524,Harold Ramis
25236,Johnnie To
1999,Ed Shearmur
1357,Christopher Doyle
42267,Randy Thom
7727,Phil Tippett
7537,Steve Boeddeker
9619,Skip Lievsay
7735,Ellen Mirojnick
5162,Mark Johnson
19292,Adam Sandler
9251,Marc Shaiman
