id,name
5602,David Lynch
13848,Charlie Chaplin
2952,Avy Kaufman
2636,Alfred Hitchcock
9062,Cedric Gibbons
4429,Jim Jarmusch
1213,James Newton Howard
488,Steven Spielberg
25826,Mario Bava
1307,Bob Weinstein
59839,Harvey Weinstein
190,Clint Eastwood
6818,Werner Herzog
30309,Peter Greenaway
1776,Francis Ford Coppola
1760,Jerry Goldsmith
11435,Howard Hawks
2215,Denise Chamian
41039,Judd Apatow
5912,Graeme Revell
664,Frank Marshall
16767,Aki Kaurismäki
6046,Roland Emmerich
8500,John Ford
4350,Edith Head
3027,Stephen King
4140,Mark Isham
947,Hans Zimmer
1729,James Horner
1548698,Pete Anthony
7714,Michael Kamen
2725,Rainer Werner Fassbinder
8503,Alfred Newman
5914,Mary Vernieu
1032,Martin Scorsese
2242,Ellen Lewis
495,Debra Zane
11614,M. Night Shyamalan
16483,Sylvester Stallone
5132,Bob Badami
37,Alan Silvestri
102429,Roger Corman
3275,Jane Jenkins
19707,Charles Band
19069,Claude Chabrol
1650,François Truffaut
834,Otto Preminger
4410,Roberto Rossellini
11874,Neal H. Moritz
4023,Suzanne Smith
153,Thomas Newman
9545,Anne McCarthy
5328,Kerry Barden
1071,Tom Tykwer
1113,Lucinda Syson
1091,Joel Silver
11770,John Carpenter
138,Quentin Tarantino
4387,François Ozon
240,Stanley Kubrick
7187,Richard Donner
2874,Janet Hirshenson
3535,Georges Delerue
31775,Joe D'Amato
53859,Karel Zeman
3146,Billy Wilder
2662,Frank Capra
8508,Thomas Little
2710,James Cameron
2889,Richard Beggs
1377133,Merie Weismiller Wallace
2950,Robert Elswit
561,John Papsidera
7229,Marco Beltrami
5144,Ronald Bass
2997,Scott Rudin
1296,Bruce Berman
2953,Lora Kennedy
3965,Deborah Aquila
770,Jerry Bruckheimer
489,Kathleen Kennedy
1377125,Lucy Coldsnow-Smith
406204,Ve Neill
3192,Billy Hopkins
1007395,J.J. Makaro
671,Richard L. Anderson
55227,William B. Kaplan
24,Robert Zemeckis
1484,Ellen Chenoweth
1188,Kim Ki-duk
531,Danny Elfman
5140,Wes Craven
1378171,Kevin O'Connell
72427,Alan Rudolph
5628,Angelo Badalamenti
3806,Marion Dougherty
1938,Henry Mancini
15389,Louis Malle
3249,Max Steiner
4352,Mel Berns
100036,D.W. Griffith
