imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Bosnia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies,Yugoslavia
0114709,,Toy Story (1995),"$620,584","$908,790",,,,"$71,450","$32,214",,"$730,147","$28,119",,,"$36,299",,"$162,111","$80,461",,"$27,896",,,"$223,225,679",,,"$202,181",,,,"$19,435,046","$14,467,033",,,"$291,339","$83,347","$22,911",,"$65,049","$159,522","$7,608,199",,,,"$12,775","$45,069",,,,"$137,726","$1,527,411","$97,525","$47,529",,,,,"$60,912","$54,766","$107,431","$111,284",,,"$115,943","$368,663",,,"$29,830","$42,253",,,"$20,876",,"$54,436","$12,540,482",,,"$35,335","$137,843",,"$22,189","$135,693","$29,643,211","$41,218","$255,035",,,
0113497,,Jumanji (1995),,$375,,,,,,,,,,,,,,,,,,,"$100,499,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,413",,,,,
0113277,,Heat (1995),,,,,,,,,,,,,,,,,,,,,"$67,436,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114319,,Sabrina (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,198",,,,,,,,,,,,,,
0113189,,GoldenEye (1995),,,,,,,,,,,,,,,,,,,,,"$106,429,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,567",,,,,
0112453,,Balto (1995),,,,,,,,,,,,,,,,,,,,,"$11,348,324",,,,,,,$766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112641,,Casino (1995),,,,,,,,,,,,,,,,,,,,,"$42,512,375",,,,,,,"$12,279,960","$4,271,235",,,,,,,,,"$5,527,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,381,588",,,,,,,,,,,,,
0114388,,Sense and Sensibility (1995),,,,,,,,,,,,,,,,,,,,,"$43,182,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0112682,,The City of Lost Children (1995),,,,,,,,,,,,,,,,,,,,,"$1,738,611",,,,,,,,,,,,,,,,,"$42,854",,,,,,,,,,,,$285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114746,,12 Monkeys (1995),,,,,,,,,,,,,,,,,,,,,"$57,141,459",,,,,,,"$10,175,673","$8,686,441",,,,,,,,,"$5,025,312",,,,,,,,,,,,$387,,,,,,,,,,,,,,,,,,,,,,"$5,992,111",,,,,,,,,,,,,
