imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0106611,,Cool Runnings (1993),,,,,,,,,,,,,,,,,,,"$68,856,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042332,,Cinderella (1950),,,,,,,,,,,,,,,,,,,"$93,141,149",,,,,,,"$1,821,201",,,,,,,,,,,"$162,911",,,,,,,,,,,,,,,,$187,,,,,,,"$1,256,608",,,,,,,,,,,,,,,,,,,,"$1,274",,,,,,
0058331,,Mary Poppins (1964),,$97,,,,$43,,"$259,742",,,,,,"$90,958",,,,,"$102,272,727",,,,,,,,"$271,307",,,,,,,,,,"$142,146",,,,,,,,,,,,,,,,"$7,836",,,,,,,,,,,,,,,,"$33,901",,,,,,,,,,,,,,,,,
0033563,,Dumbo (1941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0076538,,Pete's Dragon (1977),,,,,,,,,,,,,,,,,,,"$39,588,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0082406,,The Fox and the Hound (1981),,,,,,,,,,,,,,,,,,,"$63,456,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0059742,,The Sound of Music (1965),,"$5,202",,,,,,,,,,,,,,,,,"$159,287,539",,,,,,,,,,,"$10,205",,,,,,,,,,,,,,,,,,,,,,,"$51,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,975",,,,
0095016,,Die Hard (1988),"$158,914","$2,372,650","$272,646",,"$1,175,938","$19,985","$1,445,251",,"$309,155",,"$85,994",,"$298,967",,,,,"$1,014,489","$83,844,093",,,,"$40,233",,"$929,767","$2,862,015","$5,173,122",,"$123,900","$1,384,738",,,"$93,024",,,"$604,006","$846,677",,"$14,377,437",,,,,,,,"$442,429","$1,418,136",,,,"$1,422,747","$140,773","$541,884",,,"$107,634","$364,538",,"$333,637","$318,644","$93,673",,,"$833,831",,"$532,708",,,,,"$2,048,190","$4,183,064","$3,591,228","$424,608",,"$1,644,032","$250,638",,,,"$5,244,935","$27,775","$205,092",,
0115640,,Beautiful Thing (1996),,,,,,,,,,,,,,,,,,,"$1,548,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$627,772",,,,
0117509,,Romeo + Juliet (1996),"$695,906","$12,594,776","$1,115,528",,"$2,352,123","$41,989","$3,411,734","$161,196","$210,856",,"$457,878",,"$615,009","$78,790",,,"$238,313","$895,750","$46,351,345",,"$6,432",,"$112,387","$45,437","$886,244","$7,288,492","$13,740,194",,"$413,850","$637,899","$365,502","$1,615","$43,790","$1,423,959",,"$720,767","$3,338,156","$9,334","$9,359,523",,,"$78,663","$68,577",,,"$24,115",,"$2,218,204",,,,"$1,085,272","$1,774,834","$1,179,943",,"$24,943","$88,438","$501,455","$1,149,702","$629,999","$279,069","$118,594",,"$321,772",,"$30,005","$605,594",,"$96,509",,"$1,053,293","$7,358,744","$2,920,517","$1,007,479","$2,010,977",,"$1,110,056","$1,082,618","$708,600",,,"$12,142,616","$40,601","$229,035",,
0029546,,Shall We Dance (1937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044863,,Macao (1952),,,,,,,,,,,,,,,,,,,,,,,,,,"$3,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0067992,,Willy Wonka & the Chocolate Factory (1971),,"$29,916",,,,,,,,,,,,,,,,,"$573,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0066808,,Bananas (1971),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$136,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0079470,,Life of Brian (1979),,"$30,988",,,,,,,,,,,,,,,,,"$20,206,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,933","$37,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$299,501",,,,
0084865,,Victor/Victoria (1982),,,,,,,,,,,,,,,,,,,"$28,215,453",,,,,,,"$13,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0046912,,Dial M for Murder (1954),,,,,,,,,,,,,,,,,,,"$24,845",,,,,,,"$6,254",,,,,,,,,,,,,,,,,,,,,,,,,,,$108,,,,,,,,,,,,,,,,,,,"$11,708",,,,,,,,,,,,,,
0092890,,Dirty Dancing (1987),,"$87,654",,,,,,,,,,,,,,,,,"$64,577,242",,,,,,,,"$50,683",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,137",,,,,,,,,,,,,,,,,,,"$7,183",,,,,,,,,,"$2,903,169",,,,
0105236,,Reservoir Dogs (1992),,"$30,519",,,,,,,,,,,,,,,,,"$2,832,029",,,,,,,,,,,,,,,,,,"$27,721",,,,,,,,,,,,,,,,"$2,161",,,,,,,,,,,,,,,,,,,,"$21,214",,,,,,,,,,,,,
0091763,,Platoon (1986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,067",,,,,,,,,,,,,,
0103772,,Basic Instinct (1992),,,,,,,,,,,,,,,,,,,"$117,727,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,219",,,,,,,,,,,,,,,,,,,,,,,
0101761,,The Doors (1991),,,,,,,,,,,,,,,,"$13,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,574",,,,,,,,,,,,,,,,,,,,,,,
0084707,,Sophie's Choice (1982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
