Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Jour de Fête (1949),"$50,573","$20,496","$3,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean (2004),"$2,666,469",,,,,,,,"$39,438",,,,"$78,534","$48,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hitchhiker's Guide to the Galaxy (2005),"$3,421,656","$320,640",,,"$112,923","$20,349,279",,"$1,000,442",,"$6,968,687","$301,474",,"$121,766","$342,021","$8,103,842","$1,399,359","$911,932","$838,333","$723,038","$721,858","$539,165","$522,068","$321,156","$291,308","$290,158","$275,580","$221,282","$191,527","$156,069","$123,279","$97,588","$70,148","$63,942","$28,201","$21,574","$481,080","$994,980","$230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Amityville Horror (2005),"$2,919,650","$574,320","$278,214",,"$339,774","$9,597,259","$399,600","$792,136","$388,537","$3,078,704","$2,655,420","$22,861","$1,516,025","$515,855","$3,038,795","$98,773","$419,767","$119,373",,"$93,682","$52,891","$556,284","$352,661",,"$346,546","$138,953",,"$539,726","$5,909,923","$1,957,932",,"$216,330","$105,851",,,"$744,320","$401,251","$412,057","$126,543","$15,203","$863,780","$356,703","$171,270","$84,676","$70,441","$12,185","$602,745","$424,300","$335,968","$244,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Lot Like Love (2005),"$811,838","$872,297",,,"$244,806","$2,646,490",,"$712,640","$111,299","$836,781","$1,373,237",,"$215,526",,"$1,844,842","$427,668","$607,386","$256,582","$330,623","$126,780","$227,081","$823,392","$433,480","$223,405","$125,542","$476,915","$62,351","$255,137","$1,616,749","$444,670","$17,217","$94,752","$31,752","$9,194","$33,359","$1,109,355","$249,057",,,"$6,457",,,,,,,,,"$912,892","$199,600","$64,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xXx: State of the Union (2005),"$3,199,693","$688,997","$225,900",,"$351,334","$5,073,836","$146,391","$1,808,560","$81,570","$2,496,312","$3,030,578","$11,947","$514,606","$294,685","$3,511,561",,"$580,151","$476,611","$744,112","$148,294",,"$503,525","$80,468","$178,795","$71,172","$688,546","$91,073","$199,797","$2,824,425","$1,029,910","$87,610","$457,290","$15,267","$14,950","$62,185","$848,934","$488,862","$426,939","$42,779","$82,874",,"$344,158","$89,667","$58,042","$58,677","$16,699",,,"$3,383,627","$1,117,926","$176,991","$2,139,813","$440,071","$100,591","$74,916","$38,652","$38,551","$35,183","$33,150","$31,218","$30,110","$21,292","$18,708","$2,061,482","$537,915","$452,617","$1,656,109",,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Heaven (2005),"$9,533,590","$2,910,505","$1,137,362","$47,398,413","$977,330","$14,535,907","$2,039,459","$5,328,762","$1,591,109","$6,262,849","$8,426,138","$71,596","$3,160,826","$847,643","$16,415,805","$1,902,239","$2,220,222","$1,870,407","$2,575,570","$865,101","$1,972,247","$2,980,011","$1,943,951","$874,638","$536,590","$910,369","$164,649","$3,038,896","$15,038,725","$9,522,276","$289,503","$1,644,362","$109,263","$166,702","$243,672","$6,984,391","$1,190,959","$1,098,073","$351,784","$282,019","$646,004","$674,238","$544,439","$189,799","$620,874","$111,834","$11,685,285","$704,135","$8,720,877","$1,241,335","$806,434","$6,453,424",,,,,,"$130,213",,"$91,352",,"$208,330","$125,543","$346,882","$1,147,831","$665,708",,"$2,209,991","$659,212","$299,835","$251,045","$80,888","$74,386","$18,820",,,,,,,,,,,,,,,,,,
House of Wax (2005),"$2,353,961","$584,776",,,,"$5,361,953",,"$1,429,954","$413,793","$1,489,768","$2,142,026",,"$2,550,000","$864,800","$2,441,894","$277,231","$700,105","$143,139",,,,"$419,797","$37,787","$62,909","$112,224","$271,799","$61,510","$611,730","$3,353,720","$849,547","$31,990","$310,943","$28,925","$14,584","$21,933","$713,569","$309,224","$494,100","$172,445","$12,849",,,,,,,,,"$1,368,569","$284,900","$210,081",,,,,,,,,,,,,,"$178,000",,,,,,,,,,"$91,238",,,,,,,,,,,,,,,,,
Crash (2004),"$3,435,066","$1,008,051",,,"$330,825","$11,088,304","$128,250","$312,500","$376,651","$1,646,902","$1,228,386",,"$379,663","$243,275","$1,692,929","$1,256,057","$104,174","$384,137","$571,444","$444,821","$354,723","$1,061,663","$96,003",,,,"$62,764","$419,516","$10,270,180","$3,535,519","$48,593","$104,177","$1,244","$17,395","$64,227","$1,399,996","$398,418",,"$53,048",,,,,,,"$127,034",,,"$903,403",,"$258,849",,,,,,,,,,,,"$21,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysterious Skin (2004),"$99,056",,,"$713,240",,"$376,832",,,,"$262,344",,,"$33,567",,,,,"$19,816",,,"$7,966",,,,,,,,,,,,,,,,"$12,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
