imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0446687,,Driving Lessons (2006),,,"$415,624",,,,,,,,,,,,,,,,,,"$239,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$290,904",,,,,,,,,,,,"$25,019",,,"$20,202",,,"$12,989",,,,,,,,,"$6,958",,,,,"$285,895",,,,
0432289,,First Snow (2006),,,,,,,,,,,,,,,,,,,,,"$214,864",,,,,,,,,,,,,,,,,,"$189,218",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,379",,,,,,,,,"$95,080",,,,,,,,,,"$72,323",,,,,
0469689,,The Last Time (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$486,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$159,998",,
0498311,,Re-cycle (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,815,200",,,,,,,,"$20,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,956","$120,000",,,,,,,,
0832903,,Manufactured Landscapes (2006),,,,,,"$10,615",,,,,,,,,,,,,,,,,,,,,,,"$22,732",,,,,,,,,,,,,,,,,,,,,,,,"$9,353",,,$902,,,,,,,,,,,,,,,,,,,"$23,876",,,,,,,,,,,"$41,503",,,,
0445922,,Across the Universe (2007),,,"$502,282",,,"$16,134",,"$192,984",,,,,,"$22,802",,,,"$10,169",,"$76,057","$24,602,291",,,"$5,491","$2,252",,,,"$86,590","$127,278",,,"$30,932",,"$16,488","$18,177",,"$72,891","$1,227,260",,"$374,660",,,"$54,299",,,,"$25,915","$424,881",,,,,"$50,705",,"$257,912",,,,"$21,098","$96,812","$10,213",,,"$15,321","$331,998",,,"$53,702","$5,097",,"$64,484",,"$149,094","$135,227","$37,965",,"$41,738","$40,904",,,"$46,365","$32,693",,"$20,211","$131,189","$28,836",,,
0772157,,Broken English (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$482,444",,,,,,,,,,,,"$322,133",,,,,,,,,,,,,,,,,,,,,,,,,"$45,147",,,"$11,923",,,,,"$25,181",,,,,,,,,"$100,403",,,,,,,
0443455,,Brand Upon the Brain! (2006),,,,,,,,,,,,,,,,,,,,,"$263,200",,,,,,,,"$17,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0457308,,Come Early Morning (2006),,,,,,,,"$41,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0787475,,Hot Rod (2007),,,"$70,617",,,"$3,273",,,,,,,,,,,,,,"$1,713","$13,938,332",,,,,,,,$748,,,,,,,,,,,,,,,,,,,,,,"$24,732",,"$8,773",,,"$11,329",,,,,,,,,,,,,,,,"$19,110","$19,732",,"$2,401","$4,821",,,,,,,,,"$84,666","$163,407",,,,
