imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Laos,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0492881,,The Fifth Commandment (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,581",,,,,,,,,,,,,,,,,,,,,"$149,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,530",,"$139,829",,,,
0401808,,Sunflower (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,731",,,,,,,,,,,,,,,,,,,,,,,,,"$2,496",,,,,,,,,,,,,,,
0452971,,Dark Blue Almost Black (2006),,,,"$41,664",,"$21,537",,,,,,,,,,,,,,"$69,077",,,,,,,,,,,"$669,482",,,,,"$5,274",,,,,,,,,,,,,,"$19,162",,,,"$234,327",,,"$167,052",,,,,,,,,"$5,748",,,,,,,,,,"$931,354",,,,,,,,,,,,,,,
0492619,,The Foot Fist Way (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,006",,,
1034331,,Righteous Kill (2008),"$580,788",,,"$92,950",,"$580,189","$5,303","$2,748,200","$152,800",,,"$75,329","$1,038,147","$164,390","$88,636",,,,,"$92,855","$40,081,410",,,"$15,590","$24,826",,"$52,329",,"$209,747","$5,297,800","$2,337,843",,"$1,605,060",,,"$267,543","$12,717",,,,"$4,578,190",,,,,,"$44,021","$57,700",,"$79,585","$11,403","$1,033,290",,"$464,482",,"$20,071","$122,723",,,"$165,672","$174,908","$513,755","$482,970",,,"$245,820","$3,602,665",,"$33,004",,,,"$173,488",,,"$4,209,120","$345,257","$155,539",,,,"$617,309","$14,374",,"$1,121,203","$364,039","$328,816","$3,629,890","$57,520","$275,208",
0947802,,Lakeview Terrace (2008),"$103,566","$9,605",,,"$19,707","$19,328",,,,"$20,000",,,,"$47,508",,"$26,778",,,,"$70,620",,,,"$31,190",,"$22,514",,"$3,720",,"$2,355,478","$250,552","$3,104",,,,,,,,,"$81,030","$16,000",,,"$117,898",,"$39,745",,"$16,000","$22,261","$25,861","$295,116",,,"$12,619","$41,177",,"$9,161",,,"$10,501",,,,"$28,476",,"$14,588",,,"$85,058",,,"$129,590",,,"$88,567",,,,,,,,,,,"$95,705","$806,022",,"$255,813",
0859760,,Ladrón que roba a ladrón (2007),,,,,,,,,,"$298,636",,,,"$885,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,679,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0995039,,Ghost Town (2008),,,"$2,522,543",,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,774","$182,800",,,,,,,,,"$41,861","$96,482",,,,,,,,,,,,,,"$345,789",,,,,,,,,,,,,,,,,,"$15,654","$16,001",,"$111,872","$8,106",,,,,,,,,,"$72,910","$10,292,743",,,
0454976,,Maradona by Kusturica (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,302",,,,,,,,,,,,,,,,,,,,,,,,
0459102,,Import Export (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,150",,,,,,,,,,,,,,,"$16,170",,,,,,,,$647,,,,,,,,,,,,,,,,
