Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
The Fifth Commandment (2008),"$149,220","$139,829","$50,581","$16,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteous Kill (2008),"$1,033,290","$328,816","$2,337,843","$1,121,203","$4,209,120","$11,403","$464,482","$122,723","$92,855","$92,950","$580,189","$79,585","$245,820","$267,543","$3,629,890","$40,081,410","$5,297,800","$4,578,190","$1,605,060","$513,755","$482,970","$364,039","$345,257","$209,747","$173,488","$155,539","$152,800","$88,636","$57,700","$52,329","$44,021","$33,004","$20,071","$15,590","$12,717","$3,602,665","$617,309","$174,908","$14,374","$2,748,200","$580,788","$275,208","$165,672","$164,390","$75,329","$57,520","$24,826","$5,303","$1,038,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Terrace (2008),"$295,116","$95,705","$250,552",,"$88,567","$25,861",,,"$70,620",,"$19,328","$22,261",,,"$806,022",,"$2,355,478","$81,030",,,,,,,"$129,590",,,,,,"$39,745",,"$41,177","$31,190",,"$14,588",,"$10,501",,,"$103,566","$255,813",,"$47,508",,,,,,"$117,898","$28,476","$22,514","$19,707","$9,161","$3,720","$3,104","$26,778","$20,000","$16,000","$16,000","$9,605","$85,058","$12,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladrón que roba a ladrón (2007),"$1,679,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$885,694",,,,,,,,,,,,,,"$298,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import Export (2007),"$9,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$647,,,,,,,,,,,,,,,,,,,,,,,,
100 Feet (2008),"$83,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$224,926","$11,801",,,,,"$264,569","$237,707",,,,"$61,383",,,,,,,,,,,,,,,,,,,,"$481,671",,,,,,,,,,,,,,,,,,,,,,,,
Appaloosa (2008),"$205,379","$86,721",,"$26,899","$2,748,823",,,,"$256,014",,"$96,729",,,,"$429,592",,"$2,535,685","$387,450","$120,069",,"$63,759",,,,"$21,470",,,,,,,,,,"$12,764",,,"$17,768",,"$67,477","$339,178",,,,,"$10,157",,"$3,145",,,,,,,,,,,,,,,,"$18,045",,"$2,800",,"$51,044",,,,,,,,,,,,,,,,,,,,,,,
Eagle Eye (2008),"$2,793,150","$1,085,615","$3,379,769","$624,522","$2,260,670","$1,144,259","$1,878,333","$174,110","$498,540","$798,806","$1,366,497","$115,271","$172,017","$384,525","$5,531,081",,"$2,694,083","$205,233","$333,529","$792,427","$844,077","$460,184","$319,806","$234,496","$384,018","$1,085,790","$134,604","$95,563","$156,352","$47,024","$82,984","$13,870","$29,862","$35,968","$92,305","$4,569,044","$1,662,385","$987,765","$1,129,075","$877,703","$189,322","$778,619","$283,788","$291,073","$89,139","$6,477","$112,552","$10,585",,"$264,876",,"$107,146",,,,,,,,,,"$1,122,754","$665,104","$590,624","$385,944","$5,204,481","$10,660,310",,"$740,653","$396,138","$241,665","$93,199","$82,142","$43,131","$516,080","$13,291,825","$836,781","$565,702","$179,476","$101,742",,,,,,,,,,,
How to Lose Friends & Alienate People (2008),"$465,825","$81,784","$498,981","$70,942","$976,030",,"$149,085",,,"$4,153","$56,991","$9,146","$143,937",,"$7,056,100",,,"$251,935","$52,560","$526,303","$77,796",,"$7,088",,"$39,651","$32,724",,"$69,614","$12,686",,,,,,"$8,678","$2,927,210",,,,"$70,477",,,,,,,,,,,,"$10,515",,,,,,,,,,,"$196,038",,"$41,020","$1,962,893","$497,810",,,,"$69,152","$6,133",,,,,,,,,,,,,,,,,,,
Nights in Rodanthe (2008),"$1,900,304","$75,294","$6,519,316","$542,444","$3,985,032",,"$196,557","$40,812",,"$1,085,464","$133,302","$113,159","$82,814","$268,704","$740,766",,"$1,096","$8,805,990","$566,280",,"$750,000","$102,263","$15,812",,"$401,464","$615,494","$52,688","$76,222","$105,442","$38,362","$38,305","$31,195",,,"$18,058","$920,590","$195,869","$177,335",,"$1,319,679","$879,399","$714,394","$196,374","$127,507","$142,567","$47,439","$47,294","$32,964",,,,"$83,715",,,,,,"$194,412",,,,"$156,654","$273,443","$411,382",,"$3,185,781",,,,,"$22,920","$66,579","$115,584",,,"$4,200,000","$100,459","$104,607",,"$6,943",,,,,,,,,,,
