Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
Humpday (2009),"$20,802","$10,466","$35,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Sonata (2008),"$14,077",,"$29,758","$544,118","$26,590","$5,600","$278,356","$26,090","$12,054","$3,787","$3,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chéri (2009),"$264,933","$167,929","$11,698","$1,372,142","$673,008","$60,317",,,"$10,904",,"$154,162","$917,932","$567,631","$561,150","$119,328","$82,543","$74,757","$74,354","$35,342","$32,846","$24,848","$16,937","$188,916","$127,587","$63,958","$11,743","$7,999","$815,029","$120,949","$93,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ugly Truth (2009),"$1,541,791","$1,319,238","$1,057,162","$5,770,389","$10,358,259","$1,835,456","$88,915,214","$2,026,095","$403,384","$891,570","$4,569,536","$3,210,325","$15,389,786","$7,800,185","$442,824","$1,351,415","$954,399","$3,139,151","$327,037","$494,699","$479,069","$900,001","$7,286,581","$528,566","$2,010,193","$142,757","$370,726","$10,529,622","$892,763","$6,509,661","$1,852,620","$206,681","$235,573","$289,413","$325,729","$720,097","$167,141","$126,236","$221,846","$144,517","$213,992","$610,439","$820,612","$371,442","$283,896","$68,849","$2,151,035","$639,473","$481,525","$532,926","$1,207,855","$1,045,497","$1,026,532","$877,094","$673,793","$491,058","$228,662","$81,528","$70,345","$47,471","$40,655","$15,948","$8,431","$5,132","$3,230,456","$645,855","$43,129","$121,284","$61,402","$25,545",,,,,,,,,,,,,
A Perfect Getaway (2009),"$693,518","$17,215","$94,415",,"$1,400,593","$548,387","$15,515,460","$1,881,457",,,,,,"$95,246",,"$207,298",,,"$9,310",,"$284,551","$29,767","$170,396",,,,,,,"$1,258,317",,,,,,,,,,,,,,,,,"$59,577",,"$417,477",,"$14,007",,,"$113,580",,"$85,691","$59,282",,,,,,,,,,,,,,,,,,,,,,,,,,
District 9 (2009),"$871,010","$624,867","$406,028","$9,347,921","$14,511,508","$741,872",,"$5,536,209","$557,280","$975,509","$2,417,670","$2,741,154","$5,010,563","$7,023,330","$111,828","$1,299,600","$315,739","$551,747","$16,889","$379,134","$431,163","$337,665","$2,606,642","$554,342","$728,302","$31,204","$560,397","$7,469,104","$1,863,601","$9,399,845","$366,141",,"$96,566","$32,035","$42,182","$930,475","$63,741","$49,667","$75,314","$92,214","$63,925","$315,694","$523,275","$71,631","$129,844","$73,509","$358,198",,"$744,751","$540,964","$1,253,456","$1,208,413","$1,451,356","$487,385",,"$441,544","$64,780","$33,619",,,"$34,078","$9,107",,,"$8,091,735",,,"$14,318","$17,230",,,,"$91,658","$51,787",,,,,,,,,
Julie & Julia (2009),"$265,006","$499,524","$349,699","$1,758,232","$3,996,292","$557,864",,"$222,472","$38,570","$181,581","$594,723","$3,006,094","$2,794,885","$2,597,806","$42,579","$501,732",,"$331,112","$36,327","$533,335","$58,543","$236,959","$1,261,620","$430,607","$252,479","$39,493","$56,166","$6,631,946","$1,370,503","$185,392","$782,907",,"$16,967","$45,386","$64,563","$1,040,420","$39,362","$25,398","$54,979","$30,141",,"$113,585","$171,151",,"$53,071","$8,105","$573,200",,,"$77,548","$721,662","$312,012","$633,873",,"$543,132","$69,815","$27,613","$16,137",,,,"$2,960",,,"$1,144,317",,,,"$15,251",,,,,,,,,,,,,,
The Beaches of Agnès (2008),"$35,220",,,"$1,873,418","$4,453",,"$239,711",,,,,,"$7,392",,,,,"$5,123",,,,,"$3,728","$65,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Montana: The Movie (2009),"$663,471","$1,083,233","$322,082","$3,074,413","$13,937,675","$268,539",,,,"$89,552","$2,455,662","$3,279,336","$10,221,448","$9,219,841","$81,654","$748,758","$203,347","$2,016,441","$133,756","$478,087","$438,920","$444,391","$2,796,536","$458,212","$534,271","$57,523","$1,056,206","$8,715,937","$1,306,617",,"$418,626","$67,815","$30,818","$34,968","$96,163","$2,440,645","$22,073","$33,847","$20,559","$29,143",,"$534,630","$542,492","$65,081","$480,266","$23,430",,"$154,566","$277,881","$240,672","$927,430","$1,721,983","$1,470,683",,"$175,395","$698,408","$31,258","$33,342",,,"$29,109","$4,013",,,,,,,,,,,,,"$1,039,358",,,,,,,,
G.I. Joe: The Rise of Cobra (2009),"$1,659,242","$830,720","$2,505,428","$7,390,359","$10,313,105","$1,334,290",,"$15,940,289","$2,380,237","$1,789,732","$7,228,645","$4,021,992","$3,929,561","$6,501,034","$199,794","$1,345,701","$964,177","$695,928","$166,351","$202,084","$1,353,197","$448,212","$3,517,203","$451,933","$2,871,704","$13,913","$420,139","$6,818,543","$1,367,884","$9,129,805","$807,493","$102,586","$55,571","$98,107","$34,842","$609,322","$34,353","$28,483","$64,299","$75,827",,"$741,850","$923,425","$254,451","$619,555","$73,621","$2,048,471","$2,221,932","$2,804,979","$3,235,639","$828,618","$666,420","$344,935","$489,152","$255,777","$242,167","$223,843","$60,602",,,"$48,307","$5,013",,,"$8,872,480",,,,,,,,,,"$408,952",,,,,,,,
