Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Secretariat (2010),"$151,024","$110,920","$35,096","$34,606","$30,070","$15,877","$14,345","$11,636","$81,784","$42,672","$4,814","$75,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Again (2010),"$394,708","$233,798","$69,822","$127,546","$140,580","$27,706","$237,242","$40,047",,,,"$11,961","$238,507","$34,225",,"$61,002",,,,,,"$241,672",,,"$91,973","$80,751",,"$10,332",,"$30,090","$39,934",,,"$73,485","$27,716",,,,,,,"$3,198,037",,,,"$297,354","$328,739",,"$173,656","$141,433",,,,,,,,,,,,,,,,,,,,,,,,,,,
Life as We Know It (2010),"$1,172,038","$5,281,554","$583,532","$424,695","$702,988","$3,356,143","$725,513","$198,531","$542,084","$187,899","$83,988","$538,632","$5,568,426","$972,941","$1,702,653","$1,144,067",,"$559,470","$237,947","$485,456","$148,607","$367,319",,"$3,133,692","$189,457","$175,609","$79,226","$140,932","$163,686","$39,738","$72,228",,"$40,580","$312,830","$72,330","$4,067,433","$650,507","$2,464,976","$967,666","$540,281","$105,274","$2,437,726","$7,296,251",,"$410,176","$467,525","$443,749",,"$330,729","$469,497","$168,268","$557,333","$696,674","$589,966","$29,651","$28,162","$233,100",,,,,,,,,,,,,,,,,,,,
You Will Meet a Tall Dark Stranger (2010),"$90,333","$512,396","$82,614","$55,113","$363,670","$5,960,295",,,,,"$150,604","$65,324","$2,105,813","$6,487,957","$391,032","$498,696","$524,123","$407,691","$948,472",,"$157,815","$71,692","$121,558","$7,399,145",,"$67,070","$66,066",,"$249,154","$17,645","$21,435","$19,538","$37,221","$114,276","$15,459","$345,759","$729,617","$1,611,299","$96,561","$57,651",,"$635,021",,"$174,177","$59,037",,,,,,,"$29,557","$1,382,077","$644,051",,,,"$3,248,246",,,,,,,,,,,,,,,,,,,
Conviction (2010),"$60,130","$442,904",,"$31,879","$138,790","$694,880",,,,,"$6,052","$111,497","$303,412",,,"$77,137",,,"$52,406",,,,,"$23,322",,,,,,,,,,,,"$146,434","$79,284","$102,469",,,,,"$2,050,830",,,,,,,,,,,,,,,"$6,783,129",,,,,,,,,,,,,,,,,,,
Never Let Me Go (2010),"$28,012","$3,488,887","$209,922","$9,206",,"$388,375",,,,,,"$181,466","$381,797","$590,123","$163,339","$56,510",,"$81,866","$111,379",,,"$19,793",,"$273,290",,,,,"$61,135",,,,,"$17,075",,"$133,763","$81,700","$42,174","$13,298",,,"$79,840","$821,696","$29,302","$57,621","$42,504",,,,"$11,264",,,,,,,"$88,728","$2,434,652",,,,"$19,376",,,,,,,,,,,,,,,
Jackass 3D (2010),"$506,596","$8,885,152",,,"$398,608","$1,463,857","$654,910",,"$128,245","$62,194","$18,604","$749,658","$7,243,633","$2,122,575","$2,854,194","$1,584,050","$531,425","$404,501",,"$201,857","$962,907",,,"$3,799,115",,,,,"$282,003",,,,,"$42,452","$163,015","$622,524","$184,454","$511,516","$131,492","$86,943","$65,385","$4,378,460","$9,881,627","$1,847","$311,492","$74,112",,"$100,631",,,,"$47,339","$818,728","$810,147",,,"$94,721",,,,,,,,,,,,,,,,,,,,
RED (2010),"$815,188","$10,969,022","$1,438,674","$790,175","$681,137","$4,589,438",,"$227,976","$347,545",,"$36,937","$840,976","$8,208,370","$4,037,945","$2,159,404","$1,370,268","$248,852","$941,556","$654,638","$344,815","$456,146","$333,617","$345,875","$6,564,318","$14,336","$229,742","$113,955","$147,519","$312,864","$46,001","$70,045","$46,340","$80,555","$147,471","$61,096","$2,050,154","$691,246","$2,992,854","$425,764","$268,551","$20,143","$7,540,835","$8,328,597","$3,055,627","$514,548","$700,549","$903,153","$674,419",,"$310,537","$207,696","$986,414","$1,492,302","$2,018,650","$13,452","$48,416","$132,615",,,"$14,239,761",,,"$30,931",,,,,,,,,,,,,,
Eyes Wide Open (2009),"$30,933",,,,,,,,,,"$4,100",,"$120,686",,,"$14,144",,"$80,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Gods and Men (2010),"$27,544","$1,073,778","$12,513",,"$116,866","$2,120,166",,"$35,547","$93,899",,"$25,050","$58,997","$2,184,948","$1,891,721","$341,875","$249,734","$230,265","$1,495,806",,,"$431,195","$5,173",,"$27,211,609",,,,,"$53,463",,,,,,,"$123,178","$127,416","$213,637",,,,,"$402,040",,,,,,,,,,"$476,372","$817,857",,"$31,172",,,,,,,,,,,,,,,,,,,,,
