Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Bully (2011),"$4,142,648","$54,704","$25,535","$6,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bride Flight (2008),"$501,360",,,,,,,,,,,,"$6,172",,"$3,466,891",,,,,,,,,,,,,,,,,"$192,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angels Crest (2011),$832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heir Apparent: Largo Winch (2008),"$10,352",,,,,,,"$91,927","$13,872,826",,,,"$614,300",,,"$43,441",,"$74,773",,,,,,,,,,,,,,,"$1,042,934",,"$5,719","$331,019",,,"$17,706",,,,,,"$62,922",,,,,,,"$34,403",,,,,,,"$315,159","$54,281",,"$396,296","$8,811","$91,879",,,,,,,,,
Eva (2011),"$16,738",,,,,"$1,191,835",,,"$63,170",,,,,,,,,"$10,828",,,,,,,,,,,,,,,"$10,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pirates! Band of Misfits (2012),"$31,051,126","$6,254,136","$1,750,037",,"$3,208,545","$2,262,991","$7,631,198","$1,161,125","$7,528,866","$957,261","$1,384,513","$239,101","$1,301,549","$169,506","$1,387,502","$513,590","$26,557,759","$524,322","$573,074","$619,813","$961,677",,"$24,559","$69,515","$2,085,470","$1,084,241","$898,756","$2,883,956","$319,980","$611,097","$103,006","$633,579","$3,621,977",,,"$550,815","$335,287","$47,777","$88,817",,,,"$11,862","$358,232","$170,629","$256,419","$216,140","$129,032","$48,225",,,"$209,145",,,,,,,,"$130,929",,,,,"$5,777,837",,,,,,,,
Letters to God (2010),"$2,848,578",,,,,,,,,,,,,,,,,,,"$17,419",,,,,,,,,,,,,,"$20,534",,,,,,,,,,,,,,,,,,,,,,,,,"$360,653",,,,,"$22,362",,,,,,,,,
Bernie (2011),"$9,206,470","$515,354",,,,"$82,420",,,,,,,,,,"$9,003","$146,730","$1,524",,,,,,,,,,,,,,"$109,468",,"$61,971",,,,,,,,,,,,,,,,,,,,,,,,,,"$40,121",,,,,,,,,,,,,
Moonrise Kingdom (2012),"$45,512,466","$1,835,974","$477,931","$14,285","$1,580,367","$1,261,374","$1,912,035","$128,919","$3,288,025","$330,598","$982,485","$102,416","$209,949","$129,353","$572,623","$168,550","$3,156,399","$86,798","$329,041","$82,958","$199,617","$32,038","$9,410","$5,045","$253,554","$178,554","$137,286","$280,734","$19,191","$62,415","$4,833","$471,872","$1,058,836","$73,539","$24,566","$64,387",,,"$19,667",,,"$316,635",,,"$36,088","$33,061","$24,491",,,,,,,,,,,,"$259,454","$134,280",,,,,,,,,,,,,
To Rome with Love (2012),"$16,685,867","$1,570,234","$525,737","$46,609","$9,565,012","$4,213,289","$4,644,403","$2,993,908","$3,884,851","$588,652","$737,644","$282,892","$759,543","$428,970","$1,030,426","$1,202,709","$912,393","$822,182","$1,402,396","$173,674","$900,616","$60,587","$69,877","$67,854","$1,883,645","$347,991","$2,616,392","$4,035,284","$297,697","$384,298","$259,093","$152,549","$2,883,150","$191,716","$36,426",,,,,,,,,"$113,667","$207,887","$634,392",,"$41,988",,,,"$110,330","$39,610",,,,,,"$1,122,952","$384,996",,,,,,,,,,,,,
