Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
Kabei: Our Mother (2008),"$18,338,859","$13,541","$12,130","$7,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Up on Poppy Hill (2011),"$56,029,615",,,"$10,889","$2,096,083",,"$144,555","$3,303","$8,940","$781,904",,,,,,,,,,,,,"$20,641",,,,,,,,,,,,"$30,470","$49,320",,,,,,,,,,"$1,275,911","$25,939",,,,"$4,899",,,,,"$1,002,895",,,,,,,,,,,,,,,,
1911 (2011),"$2,204,459","$621,670",,,,,,,"$126,983","$201,099",,,,,,,,,,,,,"$142,658",,,,,,"$14,665",,,,,,,,,,,,,,,,,,,"$359,861",,,,,,,,"$135,739",,,,,,,,,,,,,,,,
The Hobbit: An Unexpected Journey (2012),"$19,213,976","$4,319,103",,"$43,849,722","$41,354,505","$30,138,682","$78,662,475","$6,480,745","$2,617,769","$4,827,606","$88,849,559","$8,566,403","$1,419,810","$8,863,535","$3,055,307","$732,751","$18,123,942","$4,183,385","$19,184,330","$2,647,183","$4,966,787","$3,380,729","$2,979,572","$13,575,296","$15,996,488","$4,275,344","$669,259","$1,371,176","$7,449,329","$22,378,313","$2,241,688","$484,862","$13,546,216","$3,987,033","$11,907,713","$6,067,291","$5,047,195","$2,388,489","$360,196","$1,155,656","$270,096","$747,213","$305,092","$1,353,931","$7,350,369","$21,688,449","$43,972,634","$4,865,381","$1,813,091",,"$22,751,112","$2,626,947","$4,063,812","$271,990","$691,202","$303,030,651","$49,730,000","$3,510,144",,,,,,,,,,,,,,
Zero Dark Thirty (2012),"$3,931,506","$480,245",,"$282,608","$4,222,585","$4,960,666","$5,745,075","$143,423","$488,162","$368,068","$2,010,503","$220,470","$34,764","$406,413","$368,339","$7,444","$1,329,241","$191,584","$479,882","$141,141",,"$317,035","$335,681","$386,448","$649,162","$230,108","$10,341","$39,285","$313,594","$2,015,195","$193,763","$60,676","$375,205",,"$390,507","$113,866","$79,668","$39,099","$29,696","$6,265",,"$15,659","$16,260",,"$338,431","$484,766","$3,604,863",,"$362,531",,"$489,897",,"$240,864","$95,879","$30,624",,,,,,,,,,,,,,,,,
Jack Reacher (2012),"$11,045,351","$1,383,532",,"$4,629,810","$11,897,672","$3,205,890","$15,230,207","$1,391,471","$2,247,868","$1,162,042","$5,511,119","$727,227","$481,963","$1,785,571","$1,145,536","$53,302","$3,612,148","$390,246","$4,633,456","$389,459","$1,350,982","$683,860","$839,796","$210,980","$2,074,762",,"$91,405","$109,130","$1,408,842","$4,384,056","$1,180,903","$300,534","$753,389","$687,121","$1,320,194","$656,701","$271,678","$231,911","$214,179","$103,555","$65,129","$88,499","$48,120","$215,728","$492,993","$5,039,774","$8,989,349","$1,759,801","$913,119",,"$1,908,506","$665,291","$146,393","$47,662","$42,404",,"$15,090,000","$2,393,101",,,,,,,,,,,,,,
Django Unchained (2012),"$4,897,256","$410,216",,"$16,002,335","$37,297,979","$14,328,129","$24,893,462","$943,128","$790,029","$667,689","$51,597,323","$6,602,147","$229,806","$3,901,448","$1,240,971","$206,835","$7,013,509","$672,871","$4,026,816","$424,379","$1,110,832","$137,177","$226,837","$2,695,932","$4,512,554","$1,378,573","$169,402","$318,948","$1,732,847","$16,283,123","$482,803","$164,007","$3,631,718","$1,099,289","$3,536,650","$1,745,422","$1,317,678","$1,090,120","$135,022","$389,708","$50,410","$216,750","$249,139","$109,001","$2,199,830","$1,735,782","$12,420,815","$181,343","$555,705","$125,172","$5,723,060","$2,183,456","$936,855","$207,333","$73,894","$162,805,434","$2,650,000","$576,440",,,,,,,,,,,,,,
Cirque du Soleil: Worlds Away (2012),"$5,667,435","$49,917",,"$7,991,585",,"$345,837","$180,992",,"$116,170","$20,881","$534,052",,,,,,"$454,918","$301,636","$1,083,397","$127,072","$267,221",,"$54,664",,,,,,"$198,767","$385,648","$16,231","$38,470",,"$292,922",,,,,,,,,,,"$461,732",,"$1,136,233",,,,,,"$40,190","$37,653","$52,450",,,,,,,,,,,,,,,,,
Les Misérables (2012),"$65,566,020","$2,292,786","$5,077,309","$3,654,211","$1,977,620","$11,419,085","$64,489,646","$589,131","$683,768","$5,478,338","$6,490,403","$1,168,464","$74,531","$846,376","$1,047,638","$37,561","$4,938,947","$377,141","$5,101,227","$581,375","$129,124","$1,954,694","$632,821","$1,314,793","$2,997,108","$471,704","$59,455","$68,245","$3,205,664","$2,830,260","$796,163","$208,099","$2,356,990","$351,603","$3,015,186","$962,895","$875,884","$501,859","$83,766","$216,056","$17,022","$83,352","$6,400","$81,198","$1,260,800","$40,636,329","$27,577,953","$718,088","$302,540",,"$3,109,484","$392,807","$329,151","$112,157","$57,492",,"$10,159,425","$649,135","$1,234,025","$274,224","$166,122","$150,171","$118,392","$101,008","$99,496","$81,204","$11,107",,,,,
Quartet (2012),"$1,679,710","$32,079","$5,961","$50,361","$1,366,395","$999,540","$12,406,069","$12,169","$8,574","$55,504","$2,562,810","$223,114","$5,637","$227,629","$88,743",,"$432,596","$119,259","$570,845","$22,675","$98,753",,,"$228,046","$180,726","$70,228",,,"$1,946,662","$1,780,169","$406,961",,"$538,579",,"$54,413","$603,478",,"$33,866",,,,$516,,,"$483,260","$83,345","$8,747,220","$11,752",,,"$275,666","$372,085",,"$63,853","$2,430",,,,"$946,967",,,,,,,,,,,,,
