imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1535109,,Captain Phillips (2013),"$1,228,671","$8,514,800","$424,311","$473,277","$1,102,463","$92,950","$3,542,613","$117,967",,"$446,566",,"$687,230","$144,547","$220,390","$933,151",,"$61,825","$262,809","$231,295",,"$320,092","$4,101,371","$4,270,158",,"$1,398,613","$1,670,667","$333,631","$70,340","$941,347","$1,000,021","$2,252,422",,"$5,759,367",,,,"$283,391",,"$628,777","$4,335,409","$2,279,755","$1,009,394","$173,801","$1,063,523",,"$690,036","$798,953","$1,883,496","$503,625",,"$3,704,615","$27,886","$1,789,779","$130,866","$57,518","$348,945","$1,586,086","$5,630,730","$1,423,894",,,"$784,575","$644,012","$505,350","$1,887,854","$25,642,369","$146,260","$1,453,396"
1928340,,After the Dark (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$72,038",,,,,,,,,,,,,,,,,,,,,,,,,"$1,532,173",,,,,,,,,,,,,,,,,
1745686,,The Wall (2012),,,"$789,780",,"$39,248",,,,,,,,,,,,,,,,,,"$2,966,367",,,,,,,,,,,,,,,,,,"$53,339",,,,,,,,,,,,,,,,,,,,,,,,,"$1,852",,
2002718,,Machete Kills (2013),"$45,082","$101,766","$326,882",,"$131,219","$2,656",,"$58,504",,,,,"$22,888","$45,136",,"$8,008,161",,,,,"$107,927","$1,202,566","$2,037,444",,,"$45,328","$29,012","$11,030",,,"$842,419",,,,,,"$40,108",,"$124,266","$225,864",,"$49,912",,,,"$10,062",,"$247,937","$40,160",,"$2,562,842","$7,068","$63,408","$7,575","$10,705",,"$40,366",,,,,"$29,499","$202,233","$192,563","$157,681","$506,917",,
1450321,,Filth (2013),,"$204,599","$17,518",,,,,,,,,,,"$21,985",,"$34,411",,,,,"$39,920",,"$396,872",,,,,"$2,972",,,,,,,,,,,,"$39,261",,"$74,878",,,,,,"$20,060",,,"$1,322,033","$3,642","$3,382",,"$12,618","$15,576",,"$42,958",,,,,"$6,704",,,"$6,231,007",,
1645131,,Romeo & Juliet (2013),"$19,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,895",,,,,"$13,050","$57,078",,,,,,,,,,"$41,396",,"$23,387",,"$870,824",,,,,"$17,626",,,,,,"$74,817",,"$143,537","$48,296","$430,786","$2,381",
1060249,,The Legend of Drona (2008),,"$48,755",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,638,472",,,,,,,,,,"$6,983",,,,,,,,,,,,,,,,,"$16,267",,,,,,,,,,"$276,322",,
2481198,,Sunshine on Leith (2013),,"$588,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$502,602",,,,,,,,,,,,,,,,,,,,,,,,,,
1171222,,Baggage Claim (2013),,,,,,,,,,,,,,,,,"$276,677",,,,,"$13,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$238,411",,,,,,,,,,"$773,389",,
1211956,,Escape Plan (2013),"$1,105,661",,"$459,766",,"$1,406,717","$62,550","$2,102,270","$250,641",,"$88,704","$40,930,000","$440,024","$139,849","$355,823","$517,947",,,"$112,080","$289,451",,"$590,826","$3,994,644","$2,317,033",,"$498,812","$1,711,176","$712,828","$91,980",,,"$1,456,665",,"$5,802,192",,,,"$578,416",,"$2,638,864","$537,923","$1,829,304",,,"$428,232",,"$769,364","$488,161",,"$479,137",,"$6,944,669","$25,337","$1,577,584","$85,157","$89,344","$165,183","$1,786,066","$1,642,898","$643,706",,,"$1,442,560","$374,984","$958,736","$2,230,165","$4,524,887","$69,497","$2,555,520"
