Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
Captain Phillips (2013),"$25,642,369","$5,630,730","$4,270,158","$4,101,371","$2,279,755","$2,252,422","$1,887,854","$1,883,496","$1,423,894","$1,398,613","$1,102,463","$1,063,523","$1,000,021","$933,151","$644,012","$505,350","$503,625","$473,277","$424,311","$348,945","$333,631","$320,092","$283,391","$231,295","$220,390","$173,801","$144,547","$130,866","$117,967","$70,340","$61,825","$57,518","$27,886","$4,335,409","$3,542,613","$1,453,396","$1,228,671","$690,036","$687,230","$446,566","$262,809","$146,260","$92,950","$8,514,800","$5,759,367","$3,704,615","$1,789,779","$1,670,667","$1,586,086","$1,009,394","$941,347","$798,953","$784,575","$628,777",,,,,,,,,,,,,,
The Wall (2012),"$1,852",,"$2,966,367",,"$53,339",,,,,,"$39,248",,,,,,,,"$789,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machete Kills (2013),"$506,917",,"$2,037,444","$1,202,566",,"$842,419","$157,681","$247,937",,,"$131,219",,,,"$202,233","$192,563","$40,160",,"$326,882",,"$29,012","$107,927","$40,108",,"$45,136",,"$22,888","$7,575","$58,504","$11,030",,"$10,705","$7,068","$225,864",,,"$45,082","$10,062",,,,,"$2,656","$101,766",,"$2,562,842","$63,408","$45,328","$40,366","$49,912",,,"$29,499","$124,266","$8,008,161",,,,,,,,,,,,,
Filth (2013),"$6,231,007","$42,958","$396,872",,,,,"$20,060",,,,,,,"$6,704",,,,"$17,518","$15,576",,"$39,920",,,"$21,985",,,,,"$2,972",,"$12,618","$3,642","$39,261",,,,,,,,,,"$204,599",,"$1,322,033","$3,382",,,"$74,878",,,,,"$34,411",,,,,,,,,,,,,
Romeo & Juliet (2013),"$430,786",,,,,"$60,895","$48,296",,,,,,,,,"$143,537","$23,387",,,"$17,626",,,"$57,078",,,,,,,,,,,,,,"$19,560",,,,,"$2,381",,,,"$870,824",,,,,,"$41,396","$74,817",,,"$13,050",,,,,,,,,,,,
The Legend of Drona (2008),"$276,322",,,,,,,,,,,,,,,,,,,"$16,267",,,,,,,,,,,,,,,,,,,,,,,,"$48,755",,,,,,,"$3,638,472",,,"$6,983",,,,,,,,,,,,,,
Baggage Claim (2013),"$773,389",,,"$13,110",,,,,,,,,,,,,,,,"$238,411",,,,,,,,,,,"$276,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape Plan (2013),"$4,524,887","$1,642,898","$2,317,033","$3,994,644","$1,829,304","$1,456,665","$2,230,165",,"$643,706","$498,812","$1,406,717","$428,232",,"$517,947","$374,984","$958,736","$479,137",,"$459,766","$165,183","$712,828","$590,826","$578,416","$289,451","$355,823",,"$139,849","$85,157","$250,641","$91,980",,"$89,344","$25,337","$537,923","$2,102,270","$2,555,520","$1,105,661","$769,364","$440,024","$88,704","$112,080","$69,497","$62,550",,"$5,802,192","$6,944,669","$1,577,584","$1,711,176","$1,786,066",,,"$488,161","$1,442,560","$2,638,864",,,"$40,930,000",,,,,,,,,,,
Unrest (2006),"$9,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$931,993",,"$281,972",,"$325,339",,,,,"$33,862",,,,,,,,,"$117,757",,"$132,405","$321,875",,,,,,,,,,,,,
Carrie (2013),"$2,893,937","$1,887,295","$3,483,737","$2,127,591","$794,423","$1,607,599","$304,592","$973,472","$190,044","$244,874","$799,441","$155,384","$175,175","$91,584","$416,397","$547,154","$147,872","$77,252","$467,112","$120,800","$36,793","$127,893","$69,626","$75,124","$178,262","$45,949","$69,929","$129,632","$90,173","$17,471","$5,046","$25,594","$25,939","$3,125,462","$2,828,991","$891,535","$1,185,659","$838,847","$900,511","$538,692","$241,546","$64,112","$131,899","$1,582,534","$2,360,405","$8,884,303","$577,433","$231,853",,"$214,031",,"$1,038,126","$217,799","$1,272,097",,,,,,,,,,,,,,
The Fifth Estate (2013),"$1,617,475","$576,353","$889,882","$196,714","$69,147","$591,393","$91,185","$139,812",,,"$54,340",,,,,"$141,605","$37,984",,"$101,654","$5,788",,"$17,062","$18,013","$2,478",,,"$38,799",,,"$7,176",,"$2,327","$3,328","$343,959",,,"$74,433",,"$59,566","$41,929","$61,375","$8,636",,"$33,719",,"$566,386",,,,"$11,038",,,,,,,,,,,,,,,,,,
The Counselor (2013),"$3,027,450","$4,035,345","$3,260,027","$5,383,009","$1,332,343","$4,154,040",,"$1,033,626","$509,929","$606,408","$1,225,316","$133,215","$283,650","$333,795","$467,601","$619,485","$745,962",,"$365,524","$209,660","$273,889","$230,878","$135,272",,"$133,575",,"$135,531","$140,169","$246,532","$33,600","$15,477","$61,646","$81,818","$1,966,847","$1,412,252",,"$746,430","$238,031","$296,446","$166,892","$101,082","$35,028","$40,579","$2,759,896","$4,542,384","$5,402,238","$262,842","$326,149","$865,103","$219,516",,"$197,856","$133,762",,,,,,,,,,,,,,,
The Congress (2013),"$135,664","$74,645","$35,212","$197,127",,"$26,457",,"$17,624",,,"$24,134",,,,"$2,566",,"$1,938",,"$15,128",,,,,"$63,623","$13,145",,,,,,,,"$2,159",,"$11,517",,,,,,,,,,,,,,,,,,,,"$137,815",,,,,,,,,,,,,
