imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0775480,,Hellphone (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,811,461",,,,,,,,,,,,,,,,,,,,
2182256,,Premature (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,734",,,,,,,
1956620,,Sex Tape (2014),"$436,496","$6,907,216","$2,369,090",,"$2,124,948","$156,579","$1,892,397","$225,079",,"$329,697",,"$566,340","$359,781","$486,610","$803,065",,"$23,860","$365,350",,,"$418,441","$4,366,829","$12,142,792",,"$560,250","$464,864","$857,682","$109,655","$277,164",,"$740,191","$3,652,410",,,,,"$331,962",,,"$5,161,881","$3,449,016","$463,900",,"$877,731",,,"$591,875","$406,695","$1,807,552","$1,269,802",,,"$6,429,133","$128,186","$335,464","$453,050","$197,800","$403,752",,"$4,147,421","$1,148,175",,,,,"$308,202","$528,439","$687,903",,"$7,146,281","$175,019","$2,406,993",
2884206,,I Origins (2014),,,,,,,,,,,,,,"$25,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,643",,,,,,,,,,,,,,,,"$89,273",,,,,,,,,,"$24,299",,,
2007387,,The Front Line (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,618,627",,,,,,,,,,,,,,
2975578,,The Purge: Anarchy (2014),"$1,087,105",,"$1,019,963",,"$466,404","$30,702",,"$25,957",,"$372,076",,"$172,459","$45,355","$111,766","$56,513",,,"$147,427","$63,810",,"$55,092","$3,722,860","$5,298,783",,,"$326,603","$14,966","$19,921",,,"$96,757","$2,759,787",,,,,"$46,971",,"$615,760","$1,183,331","$704,843",,"$11,545","$82,784",,,"$173,984","$176,315","$399,958",,,,"$1,437,069",,"$496,952","$40,699","$24,560","$42,117","$375,400","$2,776,874","$319,993",,,,,"$358,117","$417,136",,"$480,955","$7,697,696","$56,163","$593,313",
2380331,,Words and Pictures (2013),,"$83,909","$71,514","$2,276",,,,,,,,,,,"$1,129","$2,171,257",,,,,,,"$439,256",,"$36,807",,,,,,,"$71,444",,,,,,,,,,"$76,950",,,$800,,,,"$289,911","$85,320","$2,747",,,,"$12,112",,,,"$10,937","$86,127",,,,,,"$7,315",,,,,,,
2015381,,Guardians of the Galaxy (2014),"$4,651,901","$23,301,106","$2,531,070",,"$2,844,222","$795,969","$16,820,519","$547,822",,"$2,715,355","$86,346,366","$2,383,127","$308,536","$1,170,173","$2,646,542","$333,718,600","$153,454","$1,639,145","$376,549",,"$1,376,093","$19,894,500","$24,601,759","$4,878","$703,988","$3,325,123","$1,625,312","$423,971","$2,365,347",,"$1,900,924","$7,011,889","$9,504,440",,"$154,232",,"$180,532",,"$5,803,492","$19,648,542","$3,670,838","$3,558,051","$116,524","$3,075,250",,,"$3,464,059","$5,382,807","$2,518,706","$1,250,861",,,"$23,530,885","$211,909","$4,729,358","$339,099","$136,116","$1,480,923","$10,129,673","$10,149,190","$5,270,506",,,,,"$3,411,898","$1,919,065","$2,096,984","$2,341,434","$37,213,981","$209,980","$6,016,230",
2910814,,The Signal (2014),,,,"$10,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,812",,,,,,,,,,,"$5,815",,,,,,,,"$1,049,387",,,,,"$8,594","$764,924","$104,485",,,,,,,,,"$49,022",,,,
3110960,,Jimmy's Hall (2014),,,"$28,294",,"$127,201",,,,,,,"$9,581",,,,,,,,,,"$1,559,393","$287,373",,"$33,624","$13,843",,$425,,,,"$1,150,087",,,,,,,,,,"$90,201",,,,,,,"$5,893",,,"$3,313",,,,,"$4,295",,,"$107,717","$6,079",,,,,,"$3,243",,,"$834,030",,,
