imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
2093977,,Crush (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,192",,,,,,,,,
1772264,,Stonehearst Asylum (2014),,,,,,"$57,031",,,,,,,,,,"$18,682",,,"$104,490",,,,,,"$15,289","$10,581",,"$19,265",,,,,,,,,,,,,,,,,,,,,,"$14,679",,"$40,642",,,,,,,,,$795,,,,,,"$29,580",,,,,"$43,963",,"$1,842,966",,"$15,898","$48,568",,"$22,842","$11,455",,,,,,,,"$16,348",,,"$132,908","$17,828",,,,"$14,996",
2991224,,Tangerines (2013),"$122,048",,,,,,,,,,,,,"$54,955",,,,,,,,,,,,,,,,,,,,"$49,334",,,,,,,,,,,,,,,,,,,,,,,"$124,351",,,"$27,775",,,,,,,,,,,,,,,,,,,,,"$428,687",,"$45,859",,,,,,,,,,"$10,419","$16,203",,,
2968804,,Drive Hard (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948472,,Lion's Heart (2013),"$10,589,824",,,,,,,"$155,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$525,492",,,
2463512,,Hateship Loveship (2013),,,,,,,,"$11,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,513",,,"$15,167",,,,,,,,,,,,,,,,,,
0409379,,In Secret (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,905",,,,,,,,,,,,,,,"$15,996",,,,,,,"$6,190",,,"$2,976",,,,,,,,,,,,,,"$15,982",,,,
2318625,,Out in the Dark (2012),,,,,,,,"$39,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093270,,The Returned (2013),,,,,,,"$6,087",,,,,,,,,,,,,,,,,,"$20,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$193,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100636,,52 Tuesdays (2013),,,"$115,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239462,,The True Story of Puss'N Boots (2009),,,,,,,"$4,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,657,594",,,,,,,,,,,,"$144,875",,,,,,,,"$976,473",,,,,,,,,,,,,,,,,,,,,,,
2282016,,The Possession of Michael King (2014),,,,,,,,"$331,263",,,,"$89,642",,,,,,,,,,,,,"$36,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$833,265",,,,,,,,,,,,"$206,136","$79,838",,,,,,,"$728,847",,"$33,344",,,,,,,,,,,,"$9,608",,,,,,"$13,011",,,
1966566,,Stalingrad (2013),,,,,,,,,,,,,"$11,520,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$237,287",,,,,,"$52,033,664",,,,,,,,,,,,,,,,,"$3,410,087",,"$101,469",,,,
0059112,,Do Not Disturb (1965),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$315,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268030,,Advanced Style (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,446",,,,,"$34,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832470,,Dead Snow 2: Red vs. Dead (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,147",,,,,,,,,,,,,,,,,,,,,"$1,137,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399952,,Dark Planet: Rebellion (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,069,159",,,,,,,,,,,,,,,,,,,,,,,
2036416,,You Are the Apple of My Eye (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,975,115",,,,,,,,,,,,,,,,"$1,398,023",,,,,,,,,,,,,,,,,,,,,,,"$2,272,504",,,,"$346,384",,,,,,,"$17,925,128",,,,,,,,,,
1037850,,Secret (2007),,,,,,,,,,,,,"$4,407,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007993,,Warriors of the Rainbow: Seediq Bale I (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$387,826",,,,,,,,,,,,,,,,,,,,$662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,145,778",,,,,,,,,,
0446676,,Deal (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858481,,Last Passenger (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,923",,,,,,,,,,,,,,,,"$22,381",,,,,
1247690,,Serena (2014),,,"$306,438","$49,724",,,,,"$5,336",,,,,,,"$33,685",,,,,,,,,,,,"$10,615",,,"$510,828","$99,450",,"$33,904",,,,,,,,,,"$641,267",,,"$2,003",,,,"$11,501",,,,,,"$60,594",,,,$688,,,,,,"$16,620",,"$153,459",,,"$109,708",,"$1,408,321",,"$49,689",,,,"$24,040","$414,619",,,,,,"$404,592","$13,409",,"$75,798","$108,192","$50,351","$320,907",,,,
2084970,,The Imitation Game (2014),$128,,"$14,001,297","$578,656",,"$1,696,498",,"$1,557,405","$328,437",,,"$328,384","$5,330,000",,,"$199,895",,,"$389,415","$1,351,824","$91,125,683",,,,"$48,086",,,"$87,765",,"$843,849","$6,968,946","$5,180,021",,"$1,386,990",,,"$2,448,157","$431,198","$97,468",,,,,"$9,125,531",,"$588,667",,,,"$35,445","$285,988","$40,799",,"$2,313,209",,"$2,559,408","$2,166,147",,,"$467,215","$28,498",,,,,,,"$656,076","$747,885",,,"$305,805",,"$2,491,996","$75,194","$737,574","$191,856","$42,808","$348,711","$12,088,965","$3,101,966",,"$1,933,338",,,,"$2,557,417","$641,001",,"$789,906","$158,033","$490,488","$24,947,473","$248,664",,,
1791528,,Inherent Vice (2014),,,"$517,036","$72,014",,"$79,270",,"$37,270",,,,"$31,296",,"$11,404",,,,,,"$85,875",,,,,"$23,538",,,,,"$42,695","$349,454","$407,403",,"$31,875",,,,,"$4,317",,,,,"$707,955",,,,,,,,,,"$94,995",,"$184,474",,,,,,,,,,"$12,298",,,"$28,133",,,,,,,"$24,825",,,"$14,849",,"$504,674",,,,,,,,,"$12,370",,,"$1,127,325","$3,135",,,
3825638,,Labyrinth of Lies (2014),"$90,117",,"$158,459","$11,873",,,,"$106,556",,,,,,"$62,245",,"$9,164",,,,"$70,742",,,,,,,,,,,"$547,458","$1,756,867",,,,,,,,,,,,"$406,348",,,,,,,,,,"$66,924",,,"$109,967",,,,,,,,,,,"$2,054",,,,,,,,,,,,,"$278,092",,"$66,736",,,,,,,"$10,231",,,,"$26,471",,,
0485863,,Battle of the Warriors (2006),,,,,,,,,,,,,"$8,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397498,,Confucius (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$505,069",,,,,,,,,,,,,,,,"$209,909",,,,,,,,,,,,,,,,,,,,,,,"$225,142",,,,"$2,472,212","$510,253",,,,,,"$151,235","$427,219",,,,,,,,,
3013602,,Babysitting (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$847,467",,,,,,,,,,,,,,,,,,,,,,,
1798243,,Rudderless (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,109","$473,092",,,,,,,,,,,,,,,,,
1951265,,The Hunger Games: Mockingjay - Part 1 (2014),"$1,987","$52,762","$29,791,881","$4,397,806","$334,488","$6,448,425","$478,493","$22,463,783","$613,838","$120,660",,$873,"$36,512,218","$4,164,583","$1,206,555","$366,239","$30,280","$108,182","$1,053,927","$4,845,273",,"$374,612",,,"$1,717,383","$356,350","$386,024","$207,974",,"$2,401,956","$25,974,637","$35,590,677",,"$985,681","$556,380","$287,633","$3,050,333","$1,379,196","$292,563","$669,276","$1,905,000","$52,755","$2,591,828","$11,087,256",,"$1,601,971","$203,143","$50,159","$613,896","$240,360","$390,922","$261,980","$3,344,417","$23,729,251","$2,853,696","$7,968,057","$4,780,014","$172,473",,"$5,246,547","$195,493","$155,057","$17,317","$562,274","$139,812","$2,852,463","$5,652,411","$3,995,989","$2,266,349",,"$405,825","$864,425",,"$15,216,903","$97,996","$3,801,448","$561,410","$168,758","$2,025,971","$5,804,110","$15,391,282","$16,184","$9,389,935",,"$484,255","$1,398,449","$5,094,771","$3,171,816",,"$4,063,087","$1,191,495","$2,663,742","$48,669,241","$408,881","$9,340,966","$613,179","$448,384"
