imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2514338,,Jauja (2014),,,,,,,,"$3,171",,,,,,,,"$60,231",,,,,,,,"$524,828","$160,363",,,"$5,459",,,,,,"$399,416",,,,,,,,,,"$26,348",,,,,,,,,,,,,"$39,061",,,,,,$100,,,"$4,259","$30,265",,,,,,,,$273,,,,,,
2480454,,The Grump (2014),,,,,,,,"$3,361",,,,,,,,,,,,,,,"$5,245,346",,,,,,,"$5,643",,,,,,,,,,,,"$5,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823664,,Annie (2014),"$837,025","$4,704,664","$281,359","$127,307","$975,739","$64,948","$360,530","$32,451","$279,176",,"$309,098","$43,123",,,,,,,"$285,653","$60,984","$8,078","$3,303","$77,412","$969,763","$1,046,722","$34,474","$161,904",,"$109,563","$30,139",,,"$300,574","$76,509",,"$11,703,939","$109,861","$34,047",,"$9,972","$205,382","$7,380",,"$1,683,629",,"$1,442,339","$485,011","$246,090","$730,659","$40,500",,,,"$1,128,569","$280,392","$646,795","$189,792","$112,027","$236,610","$500,968","$11,560","$218,754",,"$5,625","$736,976",,"$3,644,062","$663,567",,"$47,034","$260,557",,,,"$31,681","$161,041","$599,264","$11,429,478","$173,542","$1,984,643",
2338151,,PK (2014),,"$1,712,959",,,,,,,,"$19,380,000",,,,,,,,,,,,,,,,,,"$869,591",,,"$47,094,300",,,,,,,,,,,,,,,,"$443,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,172,207",,,
0249516,,Foodfight! (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,266",,,,,,,,,,,,,,,,,,,,,
2368635,,Bird People (2014),,,,,"$39,238",,,,,,,,,,,,,,,,,,,"$715,274",,,,,,,,,,,,,,,,,,,,"$79,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417422,,Drishyam (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,875,265",,,,,,,,,,,,"$11,712",,,,"$27,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$162,072",,,
0283054,,Thunderpants (2002),,"$108,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965412,,Comet (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,907",,,,,,,,
1135929,,Garfield's Fun Fest (2008),,,,,,"$408,638","$729,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,552",,,,,,,,,,,,,,,"$538,623","$21,705",,,,"$14,361",,,"$96,612",,"$431,096",,,,,,,,,"$696,003",,"$124,361",,,,
