Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
Darker Than Night (2014),"$27,925","$5,220,626","$25,419","$16,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Almanac (2015),"$126,572","$1,197,027","$213,669",,"$1,327,085",,,,"$1,799,878",,,"$116,814","$285,559",,,"$1,021,128",,"$292,529",,,"$1,648,348","$41,858","$25,738","$7,791","$4,843","$3,139","$3,139",$361,"$553,951","$394,758","$367,622","$128,182","$118,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn (2015),"$75,057","$626,214","$44,004",,,"$25,136","$122,517","$111,019","$8,580,360",,"$248,283","$31,860","$910,568","$363,651","$55,999","$4,548,092",,"$1,910,246","$1,367,620","$38,322,743","$107,486","$119,241","$18,725",,,,,"$273,256","$39,194",,,"$59,906",,"$833,959","$712,026","$544,796","$273,936","$212,990","$145,831","$44,842","$32,239","$23,002","$20,492","$17,394","$15,979","$10,837","$344,399","$67,008","$21,857",,,,,,,,,,,,,,,,,,,,,,
Lila & Eve (2015),"$60,108",,,,,,,,,,,,,,,,,,,,,"$70,581","$9,014",,"$1,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Walk in the Woods (2015),"$39,257","$172,173",,,"$127,156","$84,274","$163,782","$33,769","$980,596",,,,"$305,593",,,"$1,295,251",,"$387,815","$1,187,721",,,"$58,975","$21,277",,"$14,689",,,,,,,,,,,,,,"$63,446","$18,310",,,,,"$3,153","$6,354",,,,"$279,876",,,,,,,,,,,,,,,,,,,,,
Sleeping with Other People (2015),"$199,809",,,,"$570,334","$30,017",,"$80,888","$15,030",,,,"$7,134",,,"$51,374",,"$3,673",,,"$24,346","$77,198","$51,678",,"$17,850",,,,"$21,453",,,,,,,"$194,258",,,"$50,459",,"$8,151",,,"$16,124","$9,045","$12,310","$44,671",,,,"$175,268","$101,951","$101,494","$55,686","$38,143","$31,083","$11,571",,,,,,,,,,,,,,
99 Homes (2014),"$11,355",,,,,"$32,860",,,"$57,837",$455,,,"$71,041",,,"$121,234",,,,,,,"$2,764",,,,,"$11,897",,,,,,,,,,,"$14,193",,,,,,,,"$92,669",,,,,,,,,,,,,,,,,,,,,,,,
Eden (2014),"$97,434","$69,609",,,"$204,434",,"$12,431","$4,894",,"$12,965",$403,,,,,,,"$36,161",,"$65,460",,,,,,,,"$8,590",,,,,,,,,,,,"$1,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Smile Back (2015),"$4,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unexpected (2015),"$12,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Loft (2014),"$139,827","$484,957","$88,083","$58,241",,,"$149,850","$876,294",,,,,,,,,,,"$1,598,240","$6,002,684","$646,959","$10,846","$145,833",,"$8,501",,,"$1,473",,,,,"$65,555",,,,"$26,801","$4,652",,"$117,325",,,,,,,,"$98,079",,,"$41,185","$197,211","$235,662",,,,,"$18,185","$3,959",,,,,,,,,,,,
The Hateful Eight (2015),"$263,808","$733,865","$164,744",,"$12,377,651","$552,337","$2,016,000","$1,754,496","$10,425,114","$113,682","$999,468","$314,923","$724,301","$2,176,029","$69,352","$10,872,430","$110,031","$5,270,602","$13,251,349","$54,117,416","$6,432,602","$95,844","$58,125","$16,566",,,,"$1,958,495","$216,434",,,"$165,361","$191,822",,"$9,183,988","$3,481,841","$2,159,266","$2,645,782","$438,173","$679,805","$816,386","$167,906","$1,286,245","$232,900","$128,302","$103,969","$848,222","$231,912","$81,094","$1,669,594","$623,695","$342,884","$1,793,644","$350,147","$143,329",,"$80,573",,,"$160,648",,,,"$845,121","$2,060,447",,,,,,
The Little Penguin Pororo's Racing Adventure (2013),"$70,035",,,,,,,,,,,,,,,,,,,,"$248,467",,,,,,,,,,,,,,,,,,,,,,,,,,"$5,803,451",,,,,,,,,,,,,,"$940,000",,,,,,,,,,
The Wedding Ringer (2015),"$897,994",,,,,,"$323,052",,"$3,189,135","$59,275",,,"$270,020",,"$90,800","$2,424,512","$225,786","$575,473","$851,510",,,"$641,682","$197,722","$61,278","$53,611","$42,817",,,,"$344,803","$142,809","$336,044",,"$479,437",,,,"$287,893","$154,143",,,"$190,279",,"$25,675","$65,936","$79,374",,,,,"$340,472","$447,202",,,"$53,732","$38,538","$29,490","$21,340",,,,"$159,095","$621,201",,,"$190,031","$227,187","$31,211","$10,159","$93,615",
Wyrmwood: Road of the Dead (2014),"$14,769",,,,,,,,,,,,,,,"$96,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boy Next Door (2015),"$375,947","$1,367,745","$148,402","$74,676","$177,792",,"$483,430",,"$1,229,883",,"$21,262","$33,929",,"$295,817","$43,691",,"$39,414","$1,559,502","$2,411,675",,"$939,603","$139,293","$162,481","$26,467","$22,422",,,,"$175,222","$295,408","$500,285","$178,155",,"$405,723","$738,410","$591,939",,,"$125,633",,,"$40,067",,,"$31,419","$35,759",,"$48,022","$242,649","$278,639","$202,360",,"$343,097","$368,836","$39,079","$27,848","$36,178",,,"$54,502",,,"$224,202",,,,"$17,441",,,,
