imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2195490,,The Neighbors (2012),,,,,,,,,,"$191,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,879,015",,,,,,,,,,,,,,
1485749,,Mr. Pip (2012),,"$52,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$896,525",,,,,,,,,,,,,"$3,372",,,"$24,226",,,,,,,,,,,,,,,
2281345,,A Magnificent Haunting (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,108",,,,,,,,,,,,,,,,,,,,
2147459,,Patrick: Evil Awakens (2013),,,,,,"$3,324",,,,,,"$6,374",,,,,,,"$5,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,985",,,,,,,,,,,,,,,,,,,,,,,,,"$15,430",,
2418558,,Ruby Red (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$782,919",,,,,,,,,,,,,,,,,,,,
1029360,,Poltergeist (2015),"$1,883,519","$1,177,857","$604,224","$65,900","$596,538","$160,928","$5,294,346","$70,011",,"$777,950",,"$658,423","$27,031",,"$101,591",,,,"$666,040","$241,421","$31,189",,,"$2,069,418","$4,495,483",,"$123,290","$456,750","$135,617",,"$779,310",,"$244,080","$620,323",,"$29,815","$2,330",,"$15,597","$37,012","$45,731","$972,233","$4,061,811","$501,249","$234,988","$1,541","$106,253","$42,701","$1,042,336","$655,168","$386,287","$145,081","$212,339",,,"$2,983,766","$61,989","$367,601","$75,834",,"$92,916",,"$1,789,201","$117,947",,"$51,951","$165,606","$366,061","$59,441",,"$140,278",,"$5,943,288","$56,333","$884,140","$460,588"
3332064,,Pan (2015),"$1,211,152","$5,296,771","$195,454",,"$769,738","$359,868","$6,993,429","$76,135",,"$775,951","$3,450,000","$1,493,216","$109,345",,"$161,638","$258,905",,,"$979,809",,"$65,910",,"$79,396","$5,121,104","$1,528,294",,"$334,722","$784,112","$98,558","$111,010","$103,915",,"$496,662","$3,029,063","$5,359,655",,"$62,977",,"$31,632","$82,214","$9,142","$1,515,025","$7,280,836","$1,097,832","$949,184","$82,942",,"$2,742","$1,165,392","$1,975,668","$691,566","$358,658",,"$262,747",,"$4,038,817","$38,648","$1,042,955","$116,638","$16,926","$409,370","$1,251,666","$4,339,775","$641,266",,"$44,457","$74,843","$972,248","$957,048","$215,125","$399,457","$1,029,654","$13,446,907","$64,846","$2,862,934","$620,643"
1791682,,While We're Young (2014),"$276,591","$1,162,074","$85,922",,"$165,903",,"$258,315",,,"$34,940",,"$54,925",,,,,"$7,587,485",,"$8,046",,,,,"$967,880","$622,621",,"$79,770","$71,982",,,,,,"$951,111",,,,,,,,"$20,767","$119,674","$239,791",,,"$66,506",,"$48,807",,,"$76,531",,,,"$39,450",,"$53,673",,,"$65,582","$349,945","$531,604","$247,829",,,,"$139,410",,,,,"$1,816,785","$25,482",,"$7,795"
0900387,,Suite Française (2014),,,,,,,"$63,982",,,"$24,251",,,,,,,,,"$12,136",,,,,,,,,,,,,,,,,,,,,,,,"$311,837",,,,,,"$25,659",,,,,,,,,,,,,"$116,385",,,,,,"$17,561",,,,,,"$24,523",,
2908446,,The Divergent Series: Insurgent (2015),"$2,559,666","$9,516,411","$787,503","$278,790","$2,898,799",,"$12,253,175","$137,325",,"$1,577,986","$18,039,876","$1,769,686","$147,257","$61,054","$432,493","$1,215,000",,"$279,794","$969,789","$273,424","$93,385",,"$579,263","$16,853,095","$5,817,531",,"$417,460","$1,234,081","$576,970","$87,967","$159,958","$55,566","$516,875","$3,294,061",,"$169,470","$279,794","$593,199","$72,885","$368,197","$170,898","$2,124,082","$9,288,932","$2,582,100","$1,990,420",,"$1,298,128","$171,363","$1,603,414","$2,976,802","$981,082","$995,504","$356,349","$832,233",,"$9,498,595","$41,775","$1,882,999","$248,526","$31,868","$1,141,302","$1,915,843","$4,889,913","$1,755,458",,"$872,814","$983,380","$3,491,083","$1,961,985","$1,423,357","$434,869","$2,307,924","$11,869,289","$221,045","$4,658,538","$5,610"
1375669,,Simon & the Oaks (2011),,,"$4,785",,,,,,,,,,,,,,,,,,,,,,"$184,084",,,,,,,,,,,,,,,,,,,,,,"$155,440",,,,,,,,,,,,,,,,,"$4,010,600",,,,,,,,,,,,
2088003,,Big Game (2014),,,"$110,640","$107,958","$108,408",,,"$21,674",,,,,,,,,,,,"$7,992",,,"$1,331,047",,"$247,453",,,,,,,,,"$453,397",,"$15,705",,,"$6,098","$26,588",,"$114,559",,"$295,062",,,,"$60,744",,"$172,994","$104,804","$78,408","$126,247","$161,821",,"$317,818",,"$90,385","$5,962","$3,006","$59,484",,,"$73,662",,,"$128,514","$397,320","$491,558","$70,918",,"$677,774","$1,376,191",,,"$186,455"
2210479,,Berserk: The Golden Age Arc I - The Egg of the King (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,152,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891070,,Hippocrates: Diary of a French Doctor (2014),,,,,"$78,708",,,,,,,,,,,,,,,,,,,"$7,127,673",,,,,,,,,,,,,,,,,,,"$52,911",,,,,,,,,,,,,,,,,,,,"$273,249",,,,,,,,,,,,,
2224026,,Home (2015),"$1,162,074","$14,437,923","$1,062,833","$363,698","$2,030,200","$265,768","$7,149,853","$456,720",,"$2,157,938","$27,700,000","$2,273,273","$191,491",,"$540,966","$2,677,297","$177,397,510","$99,838","$1,312,961",,"$703,406","$2,973","$411,574","$7,317,388","$5,425,742",,"$462,263","$716,965","$205,218","$168,469","$511,858",,"$1,303,415","$3,445,925",,"$105,948","$140,964",,"$287,300","$207,098","$301,319","$1,003,117","$11,101,769","$3,847,022","$1,907,699",,"$4,203,633","$136,951","$1,358,074","$1,306,653","$1,806,772","$1,257,121","$775,988","$260,921",,"$17,533,046","$128,366","$1,117,105","$276,849","$88,522","$1,432,417","$2,339,498","$7,446,146","$2,586,894",,"$671,547","$909,146","$75,896","$323,075","$808,729","$539,886","$2,118,566","$38,895,218","$326,513","$6,226,184","$813,119"
2272918,,Racing Hearts (2014),,,,,"$513,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,953",,,,,,,,,,,,,,,,
2649554,,Midnight Special (2016),,"$76,011","$2,802",,,,,,"$9,003",,,,,,,,,,,,,,,"$1,417,567","$24,721",,,,,,,,,,,,,,,,,"$31,714",,"$44,696",,,,,,,,,,,,,,,,,,,,,,,,,,"$37,492",,"$42,156","$1,342,203",,,
2515034,,The Gunman (2015),"$257,412","$402,055","$153,364",,"$120,893",,"$561,925","$40,239",,"$55,727",,"$93,936","$61,623",,"$34,944","$59,477",,,"$24,730","$32,372","$17,370",,"$61,238","$1,114,666","$1,011,990",,"$161,450","$33,198",,"$27,289","$45,809",,"$232,360","$358,474","$265,917","$34,449","$13,860",,"$13,734","$68,190","$22,419","$222,837","$320,775","$432,006","$132,519",,"$113,444","$66,597","$104,759",,"$224,396","$186,473",,"$100,256",,"$296,588","$31,921","$298,240","$40,016","$7,301","$98,296","$769,176","$609,070",,,"$21,493","$167,030","$184,252",,"$92,615","$607,811","$549,148","$1,363,276","$20,991","$325,695","$65,443"
2515030,,Escobar: Paradise Lost (2014),,,"$32,877","$2,371","$15,291",,,,,"$57,938",,,"$11,304",,,,"$195,792",,"$39,908",,"$38,183",,,"$1,276,430","$275,114",,"$70,778",,,,,,,"$1,208,035",,"$4,067",,,,"$38,461","$34,394",,"$1,943,734",,,,,"$8,496","$52,514",,,"$28,639",,,,,"$17,045","$9,997",,,,,"$946,441",,,,,,,"$37,944",,"$79,637",,"$59,320","$275,821",
3848892,,Baby (2015),,"$82,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,415,518",,,,,,,,,,,,,,"$33,033",,,,,,,,,,,,,,,,,,"$2,095",,,,,,,,,,,,,
2199543,,Futuro Beach (2014),,,,,,,"$747,322",,,,,,,,,,,,,,,,,"$12,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820852,,Furious 7 (2015),"$10,494,030","$33,889,393","$5,557,949","$1,535,369","$6,547,823","$1,928,112","$46,606,286","$1,773,530",,"$9,659,056","$390,910,000","$16,255,313","$597,337",,"$1,631,060","$4,997,554","$353,007,020","$1,025,309","$6,156,860","$2,112,766","$586,196",,"$2,496,317","$31,268,799","$42,761,084",,"$2,413,734","$7,693,270","$1,958,035","$277,180","$24,714,209",,"$4,057,208","$20,797,031","$30,810,953","$1,003,999","$502,673",,"$490,724","$1,778,281","$529,939","$15,992,077","$51,682,039","$9,339,976","$5,957,450","$520,229","$9,588,812","$1,109,326","$7,064,638","$9,951,971","$5,132,943","$4,907,151","$1,895,156","$2,710,695",,"$34,016,389","$285,682","$6,814,286","$788,371","$704,931","$5,884,842","$24,037,905","$14,868,452","$4,579,157",,"$1,983,825","$5,995,066","$26,301,159","$13,210,589","$12,411,481","$2,006,932","$10,350,675","$59,927,904","$1,318,058","$19,091,734","$7,225,225"
3713166,,Unfriended (2014),"$517,364","$2,285,525","$573,628",,,"$33,859","$157,628",,,"$109,480",,"$147,828",,,"$139,566",,,,"$93,960",,"$61,037",,"$26,364","$1,289,416","$5,897,228",,,,,,,,,"$966,418",,"$37,084",,,"$51,291","$21,563","$102,529","$453,497","$1,251,578","$353,964",,,"$3,413","$10,905","$525,205","$856,752",,,,,,"$1,549,511",,"$403,280","$28,067","$58,270",,"$1,435,368","$2,359,850",,,"$98,106","$353,034",,"$181,568",,"$44,660",,"$5,146,449","$21,079","$626,111",
1844025,,Sadako 3D (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,008,419",,,,,,,"$16,862,420",,,,,,,"$472,871",,,,,,,,,,,,,,"$885,135",,"$338,008",,,,"$693,819",,,,,,,"$74,736",,,,,,,
3489470,,Not My Type (2014),,,,,"$263,701",,,,,,,,,,,,,,,,,,,"$2,280,946",,"$27,215","$27,215",,,,,,,"$934,061",,,,,,,,,,,,,,,,,,,,,,"$17,954",,,,,,,"$133,095",,,,,,,,,,,,,
3093522,,Cymbeline (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,122",,"$4,179",,,,,,,,,,,,,,,,,,
1014763,,Child 44 (2015),,,"$18,177","$21,495","$58,151","$4,325","$65,304","$48,526",,"$5,909",,,"$28,072",,"$69,042",,,,"$12,201","$20,611","$4,941",,,"$602,547","$300,121",,"$143,506","$214,512","$129,089","$26,474",,,,"$1,260,810",,"$26,230",$910,,"$9,508","$41,723","$12,482","$59,191","$370,758","$105,112",,"$2,007",,"$5,772","$17,331",,"$435,579","$38,938","$14,386","$80,154",,,"$19,710","$143,182","$19,186",,"$14,688",,"$949,162","$212,077",,,"$29,573","$140,908","$36,871","$51,489",,"$40,122","$2,078,131","$17,704","$187,227",
1753792,,The Day I Saw Your Heart (2011),,,,,"$23,089",,,,,,,,,,,,"$3,546",,,,,,,"$1,940,056",,,,,,,,,,,,,,,,,,,"$29,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639254,,A Little Chaos (2014),,"$747,687","$183,634",,,,"$65,982","$8,339",,,,,,,"$85,353",,,,,,,,,"$766,187","$1,449,285",,"$16,203","$56,108",,,,,,"$309,957",,"$3,751",,,,"$50,049",,"$2,161","$291,136","$98,222","$238,694",,,"$1,434",,,,"$78,586",,"$51,819",,,,,"$64,569",,,,,,,"$46,507",,"$38,894","$11,337",,,"$32,779","$1,545,193",,,
2460468,,In the Name of the Son (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$187,007",,,,,,,,,,,,,,
2561572,,Get Hard (2015),,"$4,551,821","$299,148",,,,,"$107,815",,,,,"$66,800",,,,,"$28,582",,"$43,608","$43,037",,"$141,225",,"$220,089",,,,,"$126,102",,,"$426,975","$96,453",,"$58,420","$28,582",,"$30,313","$221,603","$22,164",,,"$650,831","$597,106",,"$496,415","$99,147",,"$94,232",,"$124,956",,"$460,255",,,,"$292,754",,,"$297,923",,"$92,914",,,,"$378,058",,,,,"$1,214,377","$7,930,891",,,
2417560,,Filmistaan (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,237,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3892434,,That Sugar Film (2014),,"$770,932","$39,309",,,,,,,,,,,,,,,,,,,,,,"$51,094",,,,,,,,,,,,,,,,,,,,"$289,293",,,,,,,,,,,"$26,702",,,,,"$45,569",,,,,,,,,,,,,,,
1754455,,Santa's Apprentice (2010),,"$263,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629374,,Ronal the Barbarian (2011),,,"$21,613",,,,,"$12,202",,,,,,,,"$1,455,128",,,,,,,,,"$27,642",,,,,,,,,,,,,,,"$29,545",,,,,,,,,,,"$181,382","$15,364",,,,"$609,823","$7,004",,,,,,,,,,,,,,"$43,706",,,,,
1572309,,Mount St. Elias (2009),,,"$887,712",,,,,,,,,,,,,,,,,,,,,,"$236,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,713",,,,,,,,,,,,,
0428646,,Hui Buh: Das Schlossgespenst (2006),,,,,,,,,,,"$714,796",,,,,,,,,,,,,,"$12,886,988",,,,,,,,,"$598,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,228",,,,,,,,,,,
0385891,,Girls on Top 2 (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$270,000",,,,,,,,,,,,,,,,,,,,
1639093,,Russendisko (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,278",,,,,,,,,,,,,,,,,,,,
2204315,,Saving Santa (2013),,,,,,"$28,111",,,,,,,,,,,,,"$323,355",,,,,,,,,,,,,,,,,,,,,,,,"$680,620",,,,,,"$341,366",,,,,,,"$2,542,740",,,,,,"$1,279,726",,,,,,,,,,,,,"$1,364,628",
0378417,,Night of the Living Dorks (2004),,,"$69,471",,,,,,,,,,,,,,,,,,,,,,"$1,466,934",,,,,,,,,"$285,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0258827,,Girls on Top (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$460,000",,,,,,,,,,,,,,,,,,,,
0780568,,My Führer (2007),"$1,330",,"$391,123",,,,,,,,,,"$11,860",,"$14,455",,"$2,465",,,,,,,"$79,752","$6,870,273",,,"$17,277",,,,,,"$145,077",,,,,,,,,,,,,"$12,933",,,,"$38,700",,,,,"$15,997","$1,160",,"$6,880","$5,361",,,"$88,200",,"$54,765",,,,,,,,,,,
1780856,,Stopped on Track (2011),,,"$18,532",,,,,,,,,,,,,,,,,,,,,,"$678,888",,,,,,,,,,,,,,,,,,"$11,408",,,,,,,,,,,,,,,,,,,,"$1,409",,,,,,,,,,,,,
0295375,,More Ants in the Pants (2002),,,"$421,684",,,,,,,,,,,,,,,,,,,,,,"$4,838,417",,,,"$159,780",,,,,"$520,745",,,,,,,,,,,,,,,,,,,,,,"$380,000",,,,,,,,,,,,,,,,,,,,
2764784,,Phoenix (2014),"$6,619","$196,497","$35,735",,"$32,453",,"$4,802","$2,322",,,,"$24,111",,,,,,,,,,,,"$809,167","$704,818",,"$85,838",,,,,,,"$96,375",,,,,,,"$2,261",,,,"$151,940",,$501,,,,,,,,,,,,$836,,,"$62,378","$353,358","$28,175",,,,,,,,,"$58,634","$14,331",,
2626926,,Closed Curtain (2013),,,,,,,"$5,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305316,,A Second Chance (2014),,"$40,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,588",,,,,"$9,421,528",,,,,,,,"$6,706",,,,,,,,,,"$729,403",,,,,,,,
3302594,,The Mystery of Happiness (2014),"$2,993,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,293",,,,,,,,,,,"$129,346",,
2536436,,App (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$313,990",,,,,,,,,,,,,,,,,,,,
1595366,,What Men Talk About (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,051,411",,,,,,,,,,,,,,,,,,,,
