Movie Name,Chile,South Korea,South Africa,New Zealand,Australia,Singapore,Russia/CIS,Peru,Uruguay,Colombia,Ecuador,Bolivia,United Kingdom,Germany,France,Spain,Italy,Austria,Belgium,Netherlands,Poland,Israel,Egypt,Qatar,Switzerland (German),Portugal,Ukraine,Hungary,Greece,Sweden,Norway,Czech Republic,Slovakia,Bulgaria,Bahrain,Serbia and Montenegro,Switzerland (French),Lithuania,Oman,Lebanon,Estonia,Jordan,Croatia,Latvia,Kenya,Nigeria,Brazil,Mexico,Argentina,Venezuela,Malaysia,India,Philippines,Vietnam,Hong Kong,Taiwan,Thailand,United Arab Emirates,Romania,Denmark,Türkiye,Iceland,Finland,Slovenia,Japan,China,Domestic,Kuwait,East Africa,Cyprus,Iraq,Ethiopia,Cambodia,Ghana,Switzerland,Russia
The Neighbors (2012),"$191,285","$15,879,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poltergeist (2015),"$777,950",,"$92,916","$234,988","$1,177,857","$367,601","$2,983,766","$1,042,336","$56,333","$658,423","$666,040","$160,928","$5,943,288","$4,495,483","$2,069,418","$1,789,201","$620,323","$604,224","$596,538","$501,249","$386,287","$244,080","$241,421","$212,339","$165,606","$145,081","$140,278","$135,617","$123,290","$117,947","$106,253","$101,591","$75,834","$70,011","$65,900","$61,989","$51,951","$45,731","$42,701","$37,012","$31,189","$29,815","$27,031","$15,597","$2,330","$1,541","$5,294,346","$4,061,811","$1,883,519","$884,140","$972,233","$779,310","$655,168","$460,588","$456,750","$366,061","$59,441",,,,,,,,,,,,,,,,,,,
Pan (2015),"$775,951","$1,251,666","$409,370","$949,184","$5,296,771","$1,042,955","$4,038,817","$1,165,392","$64,846","$1,493,216","$979,809","$359,868","$13,446,907","$1,528,294","$5,121,104","$4,339,775","$3,029,063","$195,454","$769,738","$1,097,832","$691,566","$496,662",,,"$74,843","$358,658","$399,457","$98,558","$334,722","$641,266",,"$161,638","$116,638","$76,135",,"$38,648","$44,457","$9,142","$2,742","$82,214","$65,910",,"$109,345","$31,632","$62,977","$82,942","$6,993,429","$7,280,836","$1,211,152","$2,862,934","$1,515,025","$103,915","$1,975,668","$620,643","$784,112","$972,248","$957,048","$1,029,654","$262,747","$258,905","$215,125","$111,010","$79,396","$16,926","$5,359,655","$3,450,000",,,,,,,,,,
While We're Young (2014),"$34,940","$349,945","$65,582",,"$1,162,074","$53,673","$39,450","$48,807","$25,482","$54,925","$8,046",,"$1,816,785","$622,621","$967,880","$531,604","$951,111","$85,922","$165,903","$239,791",,,,,,"$76,531",,,"$79,770","$247,829","$66,506",,,,,,,,,,,,,,,,"$258,315","$119,674","$276,591",,"$20,767",,,"$7,795","$71,982","$139,410",,,,,,,,,,,"$7,587,485",,,,,,,,,
Suite Française (2014),"$24,251","$116,385",,,,,,"$25,659","$24,523",,"$12,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,982","$311,837",,,,,,,,"$17,561",,,,,,,,,,,,,,,,,,,,
The Divergent Series: Insurgent (2015),"$1,577,986","$1,915,843","$1,141,302","$1,990,420","$9,516,411","$1,882,999","$9,498,595","$1,603,414","$221,045","$1,769,686","$969,789",,"$11,869,289","$5,817,531","$16,853,095","$4,889,913","$3,294,061","$787,503","$2,898,799","$2,582,100","$981,082","$516,875","$273,424","$356,349","$983,380","$995,504","$434,869","$576,970","$417,460","$1,755,458","$1,298,128","$432,493","$248,526","$137,325","$278,790","$41,775","$872,814","$170,898","$171,363","$368,197","$93,385","$169,470","$147,257","$72,885","$279,794",,"$12,253,175","$9,288,932","$2,559,666","$4,658,538","$2,124,082","$159,958","$2,976,802","$5,610","$1,234,081","$3,491,083","$1,961,985","$2,307,924","$832,233","$1,215,000","$1,423,357","$87,967","$579,263","$31,868",,"$18,039,876",,"$593,199","$279,794","$61,054","$55,566",,,,,
Home (2015),"$2,157,938","$2,339,498","$1,432,417","$1,907,699","$14,437,923","$1,117,105","$17,533,046","$1,358,074","$326,513","$2,273,273","$1,312,961","$265,768","$38,895,218","$5,425,742","$7,317,388","$7,446,146","$3,445,925","$1,062,833","$2,030,200","$3,847,022","$1,806,772","$1,303,415",,"$775,988","$909,146","$1,257,121","$539,886","$205,218","$462,263","$2,586,894","$4,203,633","$540,966","$276,849","$456,720","$363,698","$128,366","$671,547","$301,319","$136,951","$207,098","$703,406","$105,948","$191,491","$287,300","$140,964",,"$7,149,853","$11,101,769","$1,162,074","$6,226,184","$1,003,117","$511,858","$1,306,653","$813,119","$716,965","$75,896","$323,075","$2,118,566","$260,921","$2,677,297","$808,729","$168,469","$411,574","$88,522",,"$27,700,000","$177,397,510",,"$99,838",,,"$2,973",,,,
The Gunman (2015),"$55,727","$769,176","$98,296","$132,519","$402,055","$298,240","$296,588","$104,759","$20,991","$93,936","$24,730",,"$1,363,276","$1,011,990","$1,114,666","$609,070","$358,474","$153,364","$120,893","$432,006","$224,396","$232,360","$32,372",,"$167,030","$186,473","$607,811",,"$161,450",,"$113,444","$34,944","$40,016","$40,239",,"$31,921","$21,493","$22,419","$66,597","$68,190","$17,370","$34,449","$61,623","$13,734","$13,860",,"$561,925","$320,775","$257,412","$325,695","$222,837","$45,809",,"$65,443","$33,198","$184,252",,"$549,148","$100,256","$59,477","$92,615","$27,289","$61,238","$7,301","$265,917",,,,,,,,,,,
Escobar: Paradise Lost (2014),"$57,938",,,,,"$9,997",,"$52,514","$59,320",,"$39,908",,,"$275,114","$1,276,430","$946,441","$1,208,035","$32,877","$15,291",,,,,,,"$28,639",,,"$70,778",,,,,,"$2,371","$17,045",,"$34,394","$8,496","$38,461","$38,183","$4,067","$11,304",,,,,"$1,943,734",,"$275,821",,,,,,,,"$79,637",,,"$37,944",,,,,,"$195,792",,,,,,,,,
Furious 7 (2015),"$9,659,056","$24,037,905","$5,884,842","$5,957,450","$33,889,393","$6,814,286","$34,016,389","$7,064,638","$1,318,058","$16,255,313","$6,156,860","$1,928,112","$59,927,904","$42,761,084","$31,268,799","$14,868,452","$20,797,031","$5,557,949","$6,547,823","$9,339,976","$5,132,943","$4,057,208","$2,112,766","$1,895,156","$5,995,066","$4,907,151","$2,006,932","$1,958,035","$2,413,734","$4,579,157","$9,588,812","$1,631,060","$788,371","$1,773,530","$1,535,369","$285,682","$1,983,825","$529,939","$1,109,326","$1,778,281","$586,196","$1,003,999","$597,337","$490,724","$502,673","$520,229","$46,606,286","$51,682,039","$10,494,030","$19,091,734","$15,992,077","$24,714,209","$9,951,971","$7,225,225","$7,693,270","$26,301,159","$13,210,589","$10,350,675","$2,710,695","$4,997,554","$12,411,481","$277,180","$2,496,317","$704,931","$30,810,953","$390,910,000","$353,007,020",,"$1,025,309",,,,,,,
