imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0096061,,Scrooged (1988),,$443,,,,,,,,,,,,,,,,,"$60,328,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040522,,Bicycle Thieves (1948),,,,,,,,,,,,,,,,,,,"$371,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,481",,,,,,,,,,,,,,,,,,,,,"$57,867",,,,
0080979,,Kagemusha (1980),,,,,,,,,,,,,,,,,,,"$4,000,000",,,,,,"$17,462",,,,,,,,,,,,,,,,,,,,,,,,,"$1,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0067411,,McCabe & Mrs. Miller (1971),,,,,,,,,,,,,,,,,,,,,,,,,"$13,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,372",,,,
0093512,,Maurice (1987),,,,,,,,,,,,,,,,,,,"$2,484,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,926",,,,,,,,,,,"$50,411",,,,
0033045,,The Shop Around the Corner (1940),,,,,,,,,,,,,,,,,,,,,,,,,"$10,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,706",,,,
0093010,,Fatal Attraction (1987),"$1,269,307","$8,680,604","$2,209,555",,"$3,305,366",,"$1,449,561",,"$135,644",,"$496,306",,"$691,062",,,,,"$1,356,705","$156,645,693","$64,775","$146,511",,,"$1,336,579","$13,869,306","$20,581,287","$1,076,471",,"$1,117,264","$11,698",,,,"$1,453,031","$12,486,624",,"$20,748,900","$756,057",,,"$108,888",,"$87,803","$851,468",,,,"$5,899,717",,"$704,007","$1,943,784",,,"$173,290","$75,086",,"$242,615",,,,,,,"$594,083",,"$2,071,276","$297,493","$4,599,199",,"$4,617,759","$4,426,440","$983,774","$128,998",,"$89,313",,,"$16,914,376","$128,916","$616,112",,
0120363,,Toy Story 2 (1999),"$418,777",$605,,,,"$32,064","$1,256,037","$41,576",,,"$44,163",,"$219,923","$7,466",,"$63,696",,,"$245,852,179",,"$243,031",,,,"$24,765,813","$12,969,188",,,"$244,424","$94,395","$10,713",,,"$79,072","$6,997,498",,,,"$8,456","$37,002",,,,"$1,515,520",,,,,,,,,,"$63,014",,,"$75,401",,,"$422,724",,,"$8,642",,,"$34,088",,"$12,594,225",,,,,,,,"$30,855","$289,764","$2,870,682","$39,504","$277,773",,
0160513,,A Map of the World (1999),,,,,,,,,,,,,,,,,,,"$544,965",,,,,,,,,,,,,,,,,,,,,,,,,"$25,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0158371,,Sweet and Lowdown (1999),,,,,,,,,,,,,,,,,,,,,,,,,,"$328,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
