imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2637276,,Ted 2 (2015),"$1,322,174","$8,506,155","$2,038,821",,"$2,332,200","$150,600","$2,371,298","$156,906",,"$420,051",,"$458,318","$224,713","$676,405","$1,025,647",,"$354,487",,"$270,956",,"$931,590","$7,615,988","$10,377,039",,"$113,202","$3,822,790",,"$134,495",,,"$3,000,715","$4,201,891","$20,153,761","$64,132","$24,696","$128,990","$101,627","$175,060","$931,353","$4,105,608","$3,099,805","$889,340","$25,378",,,,"$1,071,976","$62,587","$1,760,572","$1,315,130",,"$567,955",,"$6,391,928","$123,718","$1,241,977","$289,370","$141,364","$606,706","$1,115,399","$4,406,648","$1,376,928",,"$297,433","$1,394,650","$3,939,185","$518,775","$137,641","$795,438","$587,846","$15,248,242","$130,337","$1,405,428","$195,591"
3322420,,Queen (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$164,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727770,,Absolutely Anything (2015),,,,,,,,,,,"$1,237,747",,"$48,171",,,,,,,,,"$385,552",,,"$111,438",,,"$26,352",,,,"$641,529",,,,,"$93,636",,"$64,208",,,"$4,376",,,"$3,844",,,"$45,770","$134,940","$101,978",,,,"$552,367","$22,316","$236,955",,,,"$30,077","$2,492",,,,,,"$78,515",,"$73,377","$170,404","$2,126,769",,,"$90,810"
2293640,,Minions (2015),"$36,154,412","$23,451,902","$7,056,436",,"$8,872,257","$1,403,340","$37,452,980","$1,235,559",,"$10,244,790","$68,490,000","$8,962,709","$885,351","$4,268,223","$5,362,111","$336,045,770","$3,407,260","$185,991","$758,785",,"$4,553,405","$43,991,439","$63,194,771","$1,723,738","$2,125,147","$10,765,995","$3,493,481","$424,422","$2,617,696",,"$5,570,204","$26,388,026","$42,726,353","$692,283","$77,586","$834,956","$1,046,107","$1,312,242","$4,992,809","$43,910,109","$14,967,100","$4,082,606","$36,747","$5,347,124",$327,,"$5,872,891","$6,503,404","$7,979,690","$5,280,832",,"$2,046,175",,"$30,015,860","$464,221","$5,214,884","$2,077,642","$891,891","$3,378,329","$15,354,584","$26,857,553","$7,380,925","$2,151,274","$2,973,388","$7,020,138","$10,267,334","$3,329,352","$4,053,515","$2,046,677","$4,670,863","$72,674,232","$1,696,276","$27,015,386","$4,112,942"
2640474,,The House at the End of Time (2013),,,,,,"$32,035",,,,,,"$193,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,377",,,,,"$4,350,990",
3531852,,Bhoothnath Returns (2014),,"$15,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0844029,,Ace Ventura: Pet Detective Jr. (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,891",,,,,,,,,,,,,,,,,,,,,,,,,,
0419280,,Premonition (2004),"$161,442",,,,,,,,,"$78,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$325,026",,,,,,,,
1094668,,Every Jack Has a Jill (2009),,"$4,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,489",,,,,,,,,,,,"$597,813",,,,,,,,,,,,,,,,,,,,
0385890,,My Big Fat Independent Movie (2005),,,,,,,,,,,,,,,,,,,,,,,"$12,150,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
