Movie Name,Hong Kong,United Kingdom,Italy,France,United Arab Emirates,Poland,Greece,Portugal,Lebanon,Ukraine,Croatia,Iceland,Serbia and Montenegro,Oman,Spain,Russia/CIS,Singapore,Vietnam,Thailand,Malaysia,Philippines,South Korea,New Zealand,China,Domestic,Germany,Netherlands,Belgium,Sweden,Austria,Switzerland (German),Israel,Denmark,Norway,Finland,Czech Republic,Türkiye,Hungary,South Africa,Switzerland (French),Switzerland,Slovakia,Romania,Ghana,Lithuania,Bulgaria,Slovenia,Latvia,Estonia,Jordan,Egypt,Kenya,Nigeria,Mexico,Brazil,Argentina,Venezuela,Chile,Colombia,Peru,Ecuador,Uruguay,Bolivia,Japan,Australia,Taiwan,India,Ethiopia,Russia,Indonesia,Cambodia,Qatar,Bahrain,Pakistan
Queen (2013),"$164,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minions (2015),"$10,765,995","$72,674,232","$26,388,026","$43,991,439","$4,670,863","$7,979,690","$2,125,147","$5,280,832","$1,046,107","$2,046,677","$885,351","$424,422","$464,221",$327,"$26,857,553","$30,015,860","$5,214,884","$4,112,942","$3,329,352","$4,992,809","$6,503,404","$15,354,584","$4,082,606","$68,490,000","$336,045,770","$63,194,771","$14,967,100","$8,872,257","$7,380,925","$7,056,436","$7,020,138","$5,570,204","$5,362,111","$5,347,124","$4,553,405","$4,268,223","$4,053,515","$3,493,481","$3,378,329","$2,973,388","$2,151,274","$2,077,642","$2,046,175","$1,723,738","$1,312,242","$1,235,559","$891,891","$834,956","$758,785","$692,283","$185,991","$77,586","$36,747","$43,910,109","$37,452,980","$36,154,412","$27,015,386","$10,244,790","$8,962,709","$5,872,891","$3,407,260","$1,696,276","$1,403,340","$42,726,353","$23,451,902","$10,267,334","$2,617,696",,,,,,,
The Good Dinosaur (2015),"$3,422,925","$21,333,175","$6,440,787","$18,050,686","$1,865,427","$2,978,700","$1,254,655","$1,155,876","$229,770","$715,769","$102,903","$183,170","$206,391","$23,509","$10,383,999","$4,689,486","$2,221,358","$1,461,076","$1,001,123","$2,301,623","$1,449,207","$8,139,999","$1,493,066",,,"$5,600,429","$3,717,593","$2,545,503","$3,695,863","$861,576","$504,626","$1,778,341","$2,073,842","$1,789,446","$843,141","$679,990","$3,103,344","$439,851","$741,867","$713,730",,"$229,330","$523,837",,"$198,557","$354,178","$139,058","$111,641",,,,"$14,514",,"$13,253,270","$11,896,288","$5,350,035","$10,830,620","$2,994,165","$2,804,484","$2,717,196","$1,651,915","$207,875","$967,998","$14,923,467","$10,294,894","$2,094,166",,,,,,,,
Black Mass (2015),"$150,214","$4,723,639","$2,424,788","$2,096,120","$945,660","$355,664","$441,165","$470,667","$156,267","$266,720","$97,958","$75,682","$62,132","$3,324","$1,614,056","$2,113,906","$268,361",,,,"$78,834",,"$239,781",,,"$2,076,733","$783,991","$351,685","$726,789","$235,862","$294,453","$284,614","$367,991","$279,781","$146,873","$59,889","$233,321","$144,708","$122,432","$99,954",,"$83,718","$242,528",,"$16,037","$83,528","$24,375","$34,479","$35,002",,,"$20,510",,"$943,278","$935,973","$718,398","$39,228","$88,204","$65,625","$55,688","$50,964","$22,619","$17,924","$3,308,549","$1,933,634","$400,609","$344,908",,,,,,,
Spectre (2015),"$5,631,130","$124,550,656","$13,609,170","$39,509,522","$6,058,268","$8,969,943","$3,700,102","$2,802,979","$1,090,642","$1,507,671","$1,014,459","$516,267","$431,644","$101,724","$8,068,096","$11,584,933","$4,598,137","$2,015,288","$4,364,330","$5,361,057","$3,202,807","$12,053,239","$3,970,646","$83,509,789","$200,074,609","$72,716,675","$22,118,230","$7,899,617","$13,259,877","$8,141,137","$13,165,256","$2,732,288","$14,213,968","$9,657,486","$9,260,527","$2,391,129","$2,821,829","$1,333,699","$2,669,309","$3,399,713",,"$943,815","$1,499,723","$61,329","$415,692","$7,235","$535,765","$487,808","$633,467",,"$267,637","$326,291","$477,173","$11,604,067","$8,266,418","$2,242,749","$4,765,612","$970,358","$1,926,524","$927,412","$790,731","$138,455","$242,051","$24,231,095","$25,380,847","$5,666,876","$8,350,274","$16,126",,,,,,
Protégé (2007),"$3,395,447",,,,,,,,,,,,,,,,,,"$77,414",,,,,"$8,069,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,258",,,,,,,,
Steve Jobs (2015),"$432,152","$3,377,030","$1,143,303","$928,367","$171,210","$288,905","$36,446","$163,997","$51,737","$241,589","$14,415","$13,508","$14,671","$3,424","$1,653,357","$381,236",,,"$173,586",,,"$436,041","$53,090",,,"$1,163,275","$201,231","$123,725","$117,086","$192,847","$151,052","$162,398","$74,945","$58,991","$67,259","$112,604","$148,639","$39,604","$57,111",,,"$50,753","$63,011",,"$21,279","$75,116","$24,527","$11,686","$19,373",,,,,"$642,058","$359,092","$208,034","$11,422","$52,714","$86,888","$123,008","$60,320","$20,973","$21,270","$268,658","$431,207","$199,275",,,,,,,,
Macbeth (2015),"$27,245","$4,339,629","$1,970,253","$228,215","$129,994","$436,267","$209,785","$19,051","$55,443","$41,065","$18,826","$2,688",,"$1,330","$675,355","$552,940","$67,977","$60,398",,"$20,133",,"$4,825","$67,070",,,"$687,087",,,,"$112,504",,,"$117,160","$64,179","$7,888",,"$200,982",,"$27,781",,,"$9,054","$99,142","$95,200","$21,422","$20,387",$558,"$20,888",,,,,,"$106,421","$204,972","$142,109",,,,"$26,484",,,,,"$209,028",,,,,,,,,
Vacation (2015),"$275,223","$2,088,954","$3,123,973","$2,000,000","$855,825","$631,523","$99,154","$262,887","$295,798","$399,139","$94,796","$149,058","$57,346",,"$3,071,875","$5,003,576","$335,308","$292,217",,"$166,126","$46,899",,"$283,436",,,"$1,680,647","$909,851","$450,262","$407,895","$440,493","$452,768","$1,391,416","$526,998","$622,774","$151,206","$99,309",,"$702,477","$335,603","$60,021",,"$189,777","$425,813",,"$92,969","$124,677","$48,985","$78,973","$74,427","$102,188",,"$10,327","$20,830","$4,704,406","$984,910","$523,754","$2,421,226","$100,883","$587,287","$870,853","$188,241","$124,981","$253,145",,"$3,280,414","$887,008","$83,126",,"$4,400,000",,,,,
Manglehorn (2014),"$13,097",,,"$80,950",,"$78,642",,"$4,721","$10,687",,,,,,"$105,604",,,,,,,"$10,440",,,,,"$12,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
