imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0461989,,The Magician (2005),,,,,,,,,,,,,,,,,,$406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,218",,,,
0986225,,Duska (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,780",,,,,,,,,,,,,,,,,,,,,
2807624,,The Closed Circuit (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,419,855",,,,,,,,,,,,$942,,,,,,,,,,"$82,518",,,,
4048050,,My Golden Days (2015),,,,,,"$27,796",,,,,,,,,,,,"$269,144",,,,,,"$1,148,626",,,,,,,,,,,,,,,,,,,,,,,,"$10,484",,,,,,"$9,534",,"$2,800",,,,,,,,,"$41,389",,,,,,,,,,"$1,368",,,,
2222584,,In No Great Hurry: 13 Lessons in Life with Saul Leiter (2013),,,,,,,,,,,,,,,,,,"$12,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,873",,,,,,,,,,,,,,,
2402101,,Dark Places (2015),"$25,119",,,,,"$223,074",,"$93,353",,,"$18,442",,"$80,351",,,"$21,696",,,"$30,414",,,,,"$1,354,953","$10,726",,"$156,270","$203,572",,,,,,"$138,553",,,"$3,035",,,"$7,738",,"$64,574","$274,741",,"$183,671",,,"$35,200",,,"$10,804","$13,653",,"$53,609",,,,,,"$91,176","$14,599",,"$40,529","$361,607",,"$28,021",,,"$1,027,700","$49,212",,"$100,824",,,$892,"$14,802","$137,614","$11,740",
0929742,,Deep Gold 3D (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,868",,,,,,,,,,,,,,,,,,,,,,,,,,,
0253225,,Mademoiselle (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989712,,In Another Country (2012),"$10,319",,,,,,,"$137,304",,,,,,,,,,,,,,,,"$211,859",,,,,,,,,,"$60,956",,,,,,,,,"$23,872",,,,,,,,,,,,,,,,,,,,,"$64,128","$77,848",,,,,,,,,,,,,,
0220672,,The Marriage of Figaro (1976),,,"$33,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624412,,Boulevard (2014),,,,,,,,,,,,,,,,,,"$126,150",,,,,,"$69,157","$4,099",,,"$33,889",,,,,,,,,,,,,,,,,,,,,,,,,,$961,,,,,,"$6,194",,,,"$81,337",,,,,,,,,,,,,,,
3966404,,Mustang (2015),"$51,056",,"$282,215","$50,681",,"$199,837",,"$57,009",,,"$11,889",,"$65,768","$4,395",,,"$63,665",,"$9,758",,,,"$10,124","$820,277","$636,706",,"$20,354",,"$46,527",,,,,"$463,924",,,,,,"$7,165",,,"$63,229",,,,,"$13,143",,,,,"$117,679","$30,807",,,,"$7,100",,,,,,"$41,974","$794,284",,"$54,681",,,,,"$89,837",,,"$402,737","$12,379",,,
3882000,,Microbe & Gasoline (2015),,,,,,,,,,,,,,,,,,,,,,,,"$221,044",,,,,,,,,,,,,,,,"$2,543",,,,,,,,,,,,,,"$1,759",,"$1,024",,,,,,,,"$12,314",,,,,,,,,,,"$1,301",,,,
3863552,,Bajrangi Bhaijaan (2015),,,"$1,238,445",,,,,,,,,"$45,534,364",,,,,,"$8,178,001",,,,,,,,,,,,,"$62,036,910",,,,,,,,,,,,,,,"$388,177",,,,,,,,,,"$6,268",,,,,,,,,,,,,,,,"$44,640",,,"$3,699,383",,,,
4328798,,Masss (2015),,,"$81,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,748",,,,
1483820,,Aadhavan (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,456,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140465,,Tanu Weds Manu Returns (2015),,,"$405,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,446",,,,"$62,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$638,315",,,,
1663202,,The Revenant (2015),"$3,173,108",,"$15,254,833","$3,747,708","$506,910","$5,137,539","$305,173","$10,216,205","$361,994",,"$1,686,540","$58,684,119","$1,301,747","$306,555",,"$1,574,043","$5,374,169",,"$626,212","$135,019",,"$5,468","$2,554,845","$28,238,162","$28,790,742",,"$2,332,058","$2,931,731","$1,066,271","$193,824","$1,826,088",,"$1,796,146","$1,536,561","$5,467,020",,"$29,292",,,"$427,316","$279,015","$491,196","$12,958,023",,"$7,401,299","$2,157,545",,"$3,418,201","$240,300",,"$1,282,281","$526,966","$3,173,653","$1,943,760","$509,482","$764,981",,"$16,193,801","$254,519","$1,360,280","$685,769","$207,577","$568,303","$13,355,576","$16,142,025","$3,555,101","$1,253,749","$3,999,375","$3,468,696","$620,730",,"$3,026,573","$761,872","$2,752,169","$32,888,019","$272,983","$247,975","$149,320",
1249306,,Giovanna's Father (2008),"$9,129",,,,,$980,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,846,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0483206,,The Wind Blows Round (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$659,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591123,,It Begins with the End (2010),,,,,,,,,,,,,,,,,,,,,,,,"$162,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,649",,,,"$22,091",,,,,,,,,,,,,,,
