imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1886740,,Un amor (2011),"$315,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,177",,
3784222,,Paulina (2015),"$803,645",,,,,,"$51,907",,,,,,"$2,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092411,,The Princess of Nebraska (2007),"$3,456",,,,,,"$2,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,720",,,,,,,,,,,,,,,,,,,
3787590,,We Are Your Friends (2015),"$60,209","$255,151","$196,943",,"$301,610",,"$8,095",,,,,,,"$40,945",,"$60,108","$22,739",,"$28,020",,"$81,022",,"$47,938","$1,088,449","$1,234,030",,,"$7,401","$55,444","$4,251",,,,,,"$643,147",,"$25,040","$6,333",,"$19,248","$62,522","$16,486",,"$34,399",,"$372,019","$81,972",,"$51,152",,,,,,"$62,863","$314,592","$123,480",,"$38,780",,,,"$38,175",,,"$45,854","$254,381",,,,,"$52,862",,"$14,684",,"$40,224","$55,681","$76,041","$835,025",,,
3832914,,War Room (2015),,"$800,763",,,,"$92,541","$2,006,618",,,,"$33,915",,"$96,615",,,,,,"$236,446",,,,,,,"$10,700",,,,,,,,,,,"$317,641",,"$1,080",,,,,,"$1,202,867",,,"$251,747","$41,850","$89,277",,,,,"$110,612",,,,,,,,,,,,"$173,477","$11,608",,,,,,,,,,,,,,,
2347144,,Shield of Straw (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,338",,,,,,,,,"$17,815,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480158,,Return to Ithaca (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,537",,,,,,,,,,,,,,,,,,,,,,"$12,094",,,,,,,,,,,"$170,964",,,,,,,,,,,$463,,,
4080768,,Summertime (2015),"$19,082",,,,"$45,891",,"$31,492",,,,,,,,,,,"$35,322",,,,,,"$1,761,804",,,,,,,,,,,,"$1,763,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,003",,,,,,,,,,,"$18,510",,,
3569230,,Legend (2015),"$83,200","$1,359,027","$139,747",,"$60,456",,,"$10,917",,,"$9,866",,,"$82,629",,"$72,909","$83,431",,"$40,749",,"$53,437",,"$132,026","$1,059,593","$1,163,533",,"$175,537","$81,797","$258,529","$59,783",,,,,,"$426,356",,,,,"$51,249","$135,217","$64,654",,"$225,209",,,"$384,688",,"$212,310","$2,564",,,,"$21,292",,"$333,347","$114,186",,"$448,598",,"$2,106,160","$32,815","$135,052","$88,752","$7,428","$89,091","$1,208,960","$276,297","$262,849",,,"$102,740","$149,826","$28,884",,"$54,426","$107,981","$562,754","$27,960,112","$3,412",,
3317208,,Anesthesia (2015),"$23,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,145",,,,,,,,,,,,,"$10,986",,
2597760,,The Outcasts (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,197",,,,,,,,,,,,,,,,,,,,"$35,598",,,,,,,,,,,,,,,,
3754976,,Elephant Song (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,014",,,,,,,,,,,,,,,
3469244,,Phantom (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,168,510",,,,,,,,,,,,,,,,,"$18,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297554,,Animals (2014),,,,,,,,,,,,,,,,,,"$21,821",,,,,,,,,,,,,,,,,,"$9,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,845",,,,,,,,,,,,,,
3993894,,Queen of Earth (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,965",,,
3400980,,Therapy for a Vampire (2014),,,"$179,607",,,,,,,,,,,,,,,"$30,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335048,,Silent Heart (2014),"$10,784",,,,,,,,,,,,,,,,"$353,948",,,,,,,,,,,,,"$2,353",,,,,,,,,,,,,,,,,,,,"$46,318",,,,,,,,,,,,,,,,,,,"$97,177",,,,,,,,,,,,,,
1623759,,Mr. and Mrs. Incredible (2011),,,,,,,,,,,,"$7,632,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0810819,,The Danish Girl (2015),"$302,851","$1,720,742","$237,113",,"$442,556","$14,667","$1,594,974","$51,389",,,"$190,315",,"$135,492","$37,009",,"$289,908","$1,920,807",,"$121,635",,,,"$373,715","$1,203,763","$3,104,853",,"$399,375","$1,922,473","$87,265","$7,177","$60,157",,,,"$43,210","$4,169,561","$1,127,038",,,,,"$19,403","$42,441",,"$3,789,435",,"$582,905","$307,590",,"$228,240",,,,,"$233,945",,"$171,417","$616,750",,"$88,894",,"$229,798","$13,855","$284,277","$114,466","$39,971","$49,389","$917,912","$5,471,221","$2,333,494",,"$143,029","$423,818","$2,143,017","$299,905",,"$175,392","$54,845",,"$10,832,500","$70,736","$46,655","$416,298"
2490326,,Cooties (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,168",,,,,,,$299,,,,"$232,920","$5,391",,,,,,,,"$7,407",,,,,,,,,,"$6,463","$91,323",,,"$11,699","$28,816",,,,
3398868,,WTF (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,390",,,,,,,,,,,,,,,,,,,,,
4062536,,Green Room (2015),,,,,,,,,,,,,,,,,,,,,,,,"$218,347",,,,,,,,,,,,,,,,,,,"$9,466",,,,,"$13,686",,,,,,,,,,"$3,158",,,,,,,,,,,"$19,622",,,,,,,,"$8,224",,"$66,933","$207,595",,,
3722070,,The Lady in the Van (2015),"$13,418","$7,253,967",,,"$15,331",,"$191,961",,,,,,,,,,"$316,375",,,,,,,"$231,056","$567,880",,"$62,252",,,,,,,,,,,,,,,,,,,,"$545,857","$1,850,085",,,,,,,,,"$55,673","$138,903",,,,,,,,,"$103,537",,"$462,113",,,,,,,,,,,"$19,105,150",,,
3065132,,He Named Me Malala (2015),"$39,041","$122,673","$62,262","$3,242","$10,766",,"$47,424",,,,"$12,183",,"$31,457",,,,"$27,332",,,,,,,,"$60,224",,,,,,,,,,,,,,"$5,106",,,"$4,370",,,"$53,603",,,"$22,451","$2,106",,"$5,504",,,,"$10,574",,,,"$4,538",,,,,,,,"$5,401",,"$20,323","$16,793",,,,,,,,,"$43,138","$154,159",,,
1270286,,To Save a Life (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,221",,,,,,,,,,,,,,,,,,,,,,"$3,765","$5,672",,,,,,,,,,,,,,,
2403419,,Para Elisa (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,276",,,,,,,,,,,,,,,,,,,,,,,,"$25,264",,,,,,,,,,,,,,
3186946,,Xenia (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,192",,,,,,,,,"$25,372",,,,,,,,,"$23,370",,,,,,,,,,,,,,,"$2,723",,,,,,,,,"$9,348",,,,,,,,,,,,,,
3918368,,Pokémon the Movie: Diancie and the Cocoon of Destruction (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,906,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,484,265",,,,,,,,,,,,,,,
2938956,,The Transporter Refueled (2015),"$355,246","$121,598","$341,101",,"$500,794",,"$402,675","$253,381",,,"$28,452","$18,344,558","$534,300","$79,982",,"$47,790","$90,184",,"$122,458",,"$34,930",,,"$4,159,089","$1,415,772",,"$97,675","$175,045","$144,272","$12,351",,,,,,"$519,449","$3,099,616","$58,186","$60,171",,"$28,023","$200,925","$27,171","$2,260,717","$1,713,683",,"$428,670","$97,273","$181,553",,"$12,513",,,,"$542,244","$376,389","$356,471","$686,443",,"$472,927",,"$3,203,133","$2,271","$402,054","$32,318",,"$431,582","$1,096,229","$884,477","$86,622",,"$106,167","$268,517","$2,206,391","$1,117,375",,"$848,921","$285,708","$2,054,248","$534,832",,"$56,491","$615,370"
3289712,,Jenny's Wedding (2015),,,,,,,"$19,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,583",,,,,,,,,,,,,,,,
3605418,,Knock Knock (2015),"$41,146",,"$358,224",,,"$14,441","$189,164",,,,"$63,895",,"$113,195","$27,642",,,,,"$61,511",,"$22,353",,"$8,599","$649,371","$641,468",,,"$107,545",,"$12,781",,,,,,,,,,,"$16,779","$24,806","$20,631","$192,901","$450,752",,"$94,699",,,,,,,,"$162,554","$41,264",,"$74,363",,,,"$482,921",,"$47,505",,,"$39,620","$22,061",,,,,,,"$47,519",,,"$10,523","$216,856","$735,021","$23,820","$514,837",
3317522,,The Nightmare (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,572",,,,,,,,,,,,,,,
3962848,,Welcome to Leith (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$370,,,
3038664,,The Crossing (2014),,,,,,,,,,,,"$32,380,000",,,,,,,,,,,,,,,,"$292,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,499",,,,,,,,,,,,,,,,,,,
2461520,,Man Down (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,551",,,,,,,,,,,,,,,,,,,,,
1640718,,Kahlil Gibran's The Prophet (2014),,,,"$2,427",,,,"$4,654",,,,,,,,,,"$725,489",,,,,,"$60,295",,,,,,,,,,,,,,,,,,"$337,580",,,"$51,482",,,,,,"$4,889",,,,,,,"$1,402","$12,789",,,,,,,,"$8,935","$51,470",,,,,,,,,,,,,,,
4273886,,The Beauty Inside (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,756",,,,,,,,,,,,,,,,,,,,"$6,272",,,,,,,,,,,,,,,,"$29,480",,,,"$14,040,741",,,,,,,,,,,,,,,"$23,537"
2948840,,Life (2015),,,,,,,"$12,502",,,,,,,,,,,,,,,,,,,,,"$10,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,613",,"$4,301",,,,"$123,236",,,,,,,"$17,320",,,,,,,,
4080672,,Daddy or Mommy (2015),,,,,,,"$4,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
