Movie Name,Argentina,Uruguay,Brazil,Colombia,Singapore,Germany,France,United Kingdom,Italy,Netherlands,Poland,Belgium,Austria,Portugal,Estonia,United Arab Emirates,Lebanon,Czech Republic,Ukraine,Hungary,Switzerland (German),Norway,Finland,South Africa,Croatia,Türkiye,Romania,Jordan,Denmark,Latvia,Lithuania,Kenya,Iceland,Mexico,Ecuador,Australia,South Korea,New Zealand,Philippines,Thailand,Hong Kong,Nigeria,Ghana,Peru,Bolivia,Chile,Japan,Spain,Domestic,Sweden,Greece,Slovakia,Serbia and Montenegro,Bulgaria,Slovenia,Oman,Russia/CIS,Taiwan,India,China,Switzerland (French),Israel,Venezuela,Vietnam,Malaysia,Qatar,Bahrain,Russia,Ireland,Egypt,Switzerland,Panama,Paraguay,Pakistan,Cambodia,Kuwait,Iraq,Ethiopia,Central America,Indonesia,Cyprus,Trinidad & Tobago,Mongolia
Un amor (2011),"$315,805","$4,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina (2015),"$803,645",,"$51,907","$2,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess of Nebraska (2007),"$3,456",,"$2,758",,"$1,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are Your Friends (2015),"$60,209",,"$8,095",,"$38,175","$1,234,030","$1,088,449","$835,025","$643,147","$372,019","$314,592","$301,610","$196,943","$123,480","$81,022","$76,041","$62,522","$60,108","$55,681","$55,444","$52,862","$51,152","$47,938","$45,854","$40,945","$40,224","$38,780","$25,040","$22,739","$19,248","$16,486","$6,333","$4,251","$34,399","$28,020","$255,151","$254,381","$81,972","$62,863","$14,684","$7,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summertime (2015),"$19,082",,"$31,492",,,,"$1,761,804","$18,510","$1,763,834",,,"$45,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,003","$35,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend (2015),"$83,200","$3,412",,,"$135,052","$1,163,533","$1,059,593","$27,960,112","$426,356",,"$333,347","$60,456","$139,747","$114,186","$53,437","$562,754","$135,217","$72,909","$107,981","$258,529","$102,740","$212,310","$132,026","$89,091","$82,629","$54,426","$448,598",,"$83,431","$51,249","$64,654",,"$59,783","$225,209","$40,749","$1,359,027","$1,208,960","$384,688",,"$28,884","$81,797",,,"$21,292",,"$9,866",,"$276,297",,"$262,849","$175,537","$88,752","$32,815","$10,917","$7,428","$2,564","$2,106,160","$149,826",,,,,,,,,,,,,,,,,,,,,,,,,
Anesthesia (2015),"$23,976","$10,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Heart (2014),"$10,784",,,,,,,,,,,,,,,,,,,,,"$46,318",,,,,,,"$353,948",,,,"$2,353",,,,,,,,,,,,,,,"$97,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Danish Girl (2015),"$302,851","$70,736","$1,594,974","$135,492","$284,277","$3,104,853","$1,203,763","$10,832,500","$4,169,561","$582,905","$171,417","$442,556","$237,113","$616,750",,,"$19,403","$289,908","$54,845","$87,265","$423,818","$228,240","$373,715","$49,389","$37,009","$175,392","$88,894",,"$1,920,807",,"$42,441",,"$7,177","$3,789,435","$121,635","$1,720,742","$917,912","$307,590",,"$299,905","$1,922,473",,,"$233,945","$14,667","$190,315","$1,127,038","$5,471,221",,"$2,333,494","$399,375","$114,466","$13,855","$51,389","$39,971",,"$229,798","$2,143,017","$60,157",,"$143,029","$43,210","$46,655","$416,298",,,,,,,,,,,,,,,,,,,
The Lady in the Van (2015),"$13,418",,"$191,961",,,"$567,880","$231,056","$19,105,150",,"$545,857","$55,673","$15,331",,"$138,903",,,,,,,,,,"$103,537",,,,,"$316,375",,,,,,,"$7,253,967",,"$1,850,085",,,,,,,,,,"$462,113",,,"$62,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He Named Me Malala (2015),"$39,041",,"$47,424","$31,457",,"$60,224",,"$154,159",,,,"$10,766","$62,262",,,"$43,138","$4,370",,,,,,,"$5,401",,,,,"$27,332",,,"$5,106",,"$53,603",,"$122,673",,"$22,451",,,,"$2,106",,"$10,574",,"$12,183",,"$20,323",,"$16,793",,,,,,"$5,504",,,,,,,,,,"$4,538","$3,242",,,,,,,,,,,,,,,,
