imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1193490,,Black House (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,543",,,,,,,,,,,,,,,,,,,,,,,,,,"$9,457,810",,,,,,,,,,,,,
1330525,,Beast Stalker (2008),,,,,,,,,,"$2,473,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554270,,The Tower (2012),,,,,,,,,,,,,,,,,,,,,,,,,"$610,358",,,,,,,,,,,,"$697,493",,,,,,"$1,018",,,,,,,,,"$51,825",,,,"$35,073,570",,,,,,,,,"$18,260",,,,"$79,081"
1275861,,Under the Mountain (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$371,332",,,"$192,258",,,,,"$37,320",,,,,,,,,,,,,,,,,"$49,230",,,,,,,
2347134,,Unforgiven (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,755,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3259968,,The Wrath of Vajra (2013),,,,,,,,,,"$1,870,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0398373,,The Twins Effect II (2004),,,,,,,,,,,,,,,,,,,,,,,,,"$1,903,807",,,,,,,,,,,,,,,,,,,,,,,,,"$273,109",,,,,,,,,,,"$26,613","$278,400",,,,,,,
2957774,,The White Storm (2013),,,,,,,,,,"$38,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2828840,,Fists of Legend (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,344,668",,,,,,,,,,,,,
3341072,,Firestorm (2013),,,,,,,,,,"$50,770,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
