Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
Black House (2007),"$9,457,810","$41,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tower (2012),"$35,073,570",,,"$697,493","$610,358","$79,081","$51,825","$18,260","$1,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fists of Legend (2013),"$11,344,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solstice (2008),"$284,989",,,,,,,,,,"$14,099","$129,933",,"$169,854",,,,"$1,285,521","$286,278","$248,308","$94,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kundo: Age of the Rampant (2014),"$35,660,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ip Man 4: The Finale (2019),"$502,287",,"$165,290,606",,"$3,725,263",,,"$382,801",,"$172,048",,,,,,,,,,,,"$256,907","$709,962",,,"$906,875","$266,264","$176,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Bell (2008),"$9,274,859",,,,,,,,,,,,,,,,,,,,,,,,,,"$38,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Click (2012),"$4,864,262",,,,,,"$18,569",,,,,,,,,,,,,,,,,,,,"$109,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goosebumps (2015),"$1,883,839","$1,107,515",,"$2,549,874","$820,855","$627,399","$1,080,066","$1,238,182","$90,988",$492,"$1,379,767","$1,439,568",,"$2,501,244","$1,187,877","$173,591","$1,523,924","$7,105,137","$1,225,023","$7,926,075","$510,804","$13,086,846","$2,287,165","$552,494","$3,187,098","$6,845,788","$89,367","$2,487,869","$86,197","$146,981","$371,017",,"$236,841","$44,759","$133,692","$80,080,379","$458,130","$309,541","$249,875","$246,339","$209,356","$198,319","$145,359","$133,255","$107,912","$95,532","$85,097","$84,707","$51,407","$46,895","$37,123","$34,793","$33,388","$29,537","$23,532","$16,162","$11,505","$10,623","$6,019","$4,611","$1,856,393","$1,612,045","$769,045","$323,190","$172,786","$841,998",,,
Northern Limit Line (2015),"$39,629,338",,,,"$17,607",,,,,"$11,169",,,,,,,,,,,,,,,,"$38,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Measure of a Man (2015),"$15,931","$206,154",,,,,,,,,,,,"$11,131","$18,370",,,,"$74,006",,,"$20,487","$5,660,409",,"$121,215",,,"$27,354",,,,,"$39,374",,,,,,,"$1,134",,,,,,,,,"$32,558",,"$123,269",,,,,,,,,,"$48,770",,,,"$6,378",,,,
Miss You Already (2015),"$29,837",,,,"$45,873",,"$38,680","$65,264",,"$152,195",,,,,,,"$19,089","$1,407,695",,,"$20,592","$2,215,536","$423,347","$36,504",,"$1,323,675","$9,656","$249,264",,,"$106,448",,"$119,063","$22,581",,,,,,,,,,"$21,329",,,,,"$17,043",,,,"$40,370",,,,,,,,"$36,305","$10,998",,,,,,,
Les Cowboys (2015),"$8,905",,,,,,,,,,,,,,,,,,,,,,"$1,064,574",,"$45,358",,,,,,,,,,,,"$108,886",,,,,,,,,,,,,,,,,,"$1,045",,,,,,,,,,,,,,
Paranormal Activity: The Ghost Dimension (2015),"$394,986",,,"$559,404",,,"$267,676","$414,384","$6,010","$366,084",,"$280,435",,"$3,099,546",,"$355,625","$1,226,239","$5,272,870","$2,408,119","$1,810,571","$849,308","$5,864,894","$4,798,677","$81,323","$1,055,230","$2,502,846","$648,262","$6,172,295",,"$721,334","$988,073","$189,994","$1,008,956","$222,770",,,"$601,501","$331,997",,,"$349,226",,,"$40,076","$494,263",,,,,,"$186,014",,"$116,710",,"$109,457","$46,484",,,,,"$5,335,114","$1,607,017","$689,758","$361,670","$130,150","$165,125",,"$869,968","$567,975"
