Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
Felix and Meira (2014),"$12,826","$31,849","$4,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Perfect Day (2015),"$19,047",,,,"$14,044","$8,990",,"$60,251","$2,364,742","$930,817","$281,422","$168,671","$38,350","$24,609","$22,207","$14,711","$14,295","$13,563","$13,141","$4,278","$3,985","$2,633","$2,332","$1,067",$722,"$65,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'auberge rouge (2007),"$184,618",,,"$1,285,793",,,,,"$48,549",,,"$6,509,058",,,,,,,,,,,,,,,,,"$40,629","$28,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams (2015),"$123,529","$22,848",,,,"$23,763",,"$37,002","$153,217","$149,561",,,"$89,653","$73,798",,,"$6,910",,"$6,225","$1,655",,,"$247,506",,,"$515,585","$38,978","$5,805",,,,,"$33,940","$28,341","$26,776","$1,040","$91,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Break (2015),"$481,157","$548,212","$25,228","$6,036,343",,"$1,658,503","$1,383,488","$1,935,441","$1,494,615","$3,772,867","$1,017,713","$4,174,851","$464,663","$426,537","$1,817,501","$306,272","$279,576","$207,559","$237,408","$156,837","$1,075,200","$51,914","$44,585","$52,341","$32,202","$3,997,454","$1,231,394","$914,351","$511,068",,"$349,439","$405,946","$970,628","$176,863","$273,830","$161,764","$790,975","$698,277","$1,387,810","$452,844","$429,919","$417,671","$372,087","$189,710","$113,602","$99,452","$47,386","$45,406","$5,354,261","$4,539,227","$1,782,011","$286,884","$253,531","$200,266","$5,235,103","$1,238,923","$1,211,574","$1,170,445","$809,265","$413,370","$98,645","$39,403,259",,,,,,,,,,,,,
The 5th Wave (2016),"$400,161","$2,547,633","$261,239","$3,593,787",,"$5,750,049","$1,142,655","$856,286","$3,221,903","$669,101","$3,463,847","$7,220,487","$361,554","$316,613","$1,515,014","$153,181","$402,749","$84,531","$420,870","$25,855","$301,463",,"$36,885",,"$136,104","$5,206,013","$709,949","$334,327","$485,193",,"$274,803","$1,867,419",,"$127,886","$86,332","$93,972","$878,768","$1,137,483","$1,184,553",,"$629,712","$235,145",,"$67,582","$64,811","$66,037",,"$33,910","$5,547,450","$655,163","$1,473,202","$2,628,657","$447,882","$1,272,538",,"$1,290,178","$150,806","$1,387,587","$2,506,794","$2,155,462","$357,581",,"$253,674","$216,579","$210,519","$183,454","$77,232","$72,320","$45,752","$3,914","$3,619",,,,
The Easy Way Out (2014),"$16,529",,,,,,,,,"$22,000",,"$290,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home from Home: Chronicle of a Vision (2013),"$18,496",,,,,,,,"$20,807",,"$1,463,669",,"$9,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Short (2015),"$422,374","$718,729","$74,172","$1,482,656",,"$2,166,918","$237,236","$2,918,707","$3,153,399","$5,302,931","$3,352,710","$5,416,144","$405,728","$448,723","$421,225",,"$300,698","$413,310","$651,627","$110,400","$127,720","$27,724","$44,613","$78,576","$3,566","$5,398,830","$7,624,380","$150,929","$219,290",,"$305,006",,"$309,689","$275,993","$685,952","$39,298","$495,711","$471,812","$805,140","$387,423","$937,226","$91,516","$345,090","$73,772","$37,220",,,"$3,440","$1,475,500","$54,542","$97,391","$239,883","$42,193","$72,979","$4,532,159","$1,022,843",,"$797,022","$110,803",,,,,,"$585,250",,,,,,,,,,
Loup (2009),"$110,750",,,,,,,,,,,"$10,189,599",,,,,,,,,"$11,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Follies (2014),"$47,033",,,,,"$149,842",,,"$133,694",,,"$1,812,077","$138,669",,,,,,,,,,,,,"$539,404",,,,,,,,,,,"$42,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoolander 2 (2016),"$65,081","$1,136,717","$72,907","$602,241",,"$120,163","$132,999","$42,723","$914,604","$2,359,733","$565,610",,"$220,994","$105,583","$362,149","$41,593","$54,932",,"$113,660","$27,913","$178,393","$18,786","$87,044","$19,091","$5,325","$5,289,356","$5,777,833","$77,963","$118,434",,"$38,662","$117,906","$87,756","$196,331",,"$38,407","$343,016","$282,860","$103,400","$33,390","$159,459","$39,410",,"$93,741","$22,378",,,,"$1,105,757","$53,626","$186,340","$183,170","$61,786","$217,109",,"$294,025",,"$341,010","$278,202","$2,442,645",,,,,"$70,402",,,,"$11,903",,,,,,
How to Be Single (2016),"$1,086,235","$435,000","$39,427","$2,321,499",,"$603,474",,,"$1,722,977","$2,100,000","$9,300,000","$2,443,513","$643,500","$1,273,017","$863,952","$119,720","$122,000","$167,829","$318,340","$138,715","$574,215","$82,894","$82,895","$49,411","$2,756","$8,222,883","$8,600,000","$511,573","$527,213",,"$792,895","$297,974","$1,766,693","$594,118","$453,078","$325,654","$865,588","$810,641","$2,771,220","$927,505","$1,405,340","$212,407","$70,892","$211,611","$139,978",,,"$13,360","$1,900,000","$9,143","$314,000","$218,728",,"$151,915",,"$655,422",,"$3,500,000",,"$369,268",,,,,"$658,132","$37,076",,,"$75,460",,,,,,
Fifty Shades of Black (2016),"$60,714","$624,758",,"$610,293",,"$2,950,153",,,,"$1,442,610",,,,,,,"$39,120","$165,972","$307,252","$27,188","$142,907","$74,780","$6,231","$92,415",,,"$118,854","$339,372","$131,393",,"$191,065",,,,"$386,970","$236,306",,,,"$184,937",,,,"$329,921","$57,883",,,,"$531,318",,"$108,914","$210,154",,,,,,,,,,,,,,,,,,,,,,,
