imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Kenya,Kuwait,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0235841,,No Place to Go (2000),,,,,,,,,,,,,,,,"$5,252",,,,,,,,,"$36,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0808462,,7 Years (2006),"$48,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,095",,
0288092,,Bread and Milk (2001),,,,,,,,,,,,,,,,"$3,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50,,,,,,,,,,,,
0971170,,La león (2007),"$8,333",,,$230,"$3,985",,,,,,,,,,,,"$11,925",,,,,,,,,,,,,,,,"$1,134",,,,,,,,,,,,,,,,,$450,,,,,,,,,,,
0819785,,The Matrimony (2007),,,,,,,,"$1,418,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0380249,,Tears for Sale (2008),,,,,,,,,,,,,,,,"$19,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$634,620",,,,,,,,,,,,,,,,,
0498134,,L'héritage (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,587",,,,,,,,,,,,,,,,,,
0480572,,Pyaar Ke Side Effects (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,484",,,
0476805,,Malamaal Weekly (2006),,,,,,,,,,,,,,,,,,,,,,,"$5,192,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$549,397",,,
1239446,,The Last Days of Emma Blank (2009),"$4,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,713",,"$13,179",,,,,,,,,,,,,,,,
0400598,,Lepel (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,430,478",,,"$58,461",,,,,,,,,,,,,,,,,,,,,,,,,
0304776,,Pleasant Days (2002),,,,,,"$1,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,521",,,,,,,,,,,,
3850496,,Chronic (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$289,437","$29,285",,,,,,,,"$1,092",,,,,,,,"$31,387",,,,,,"$4,427",,,"$10,043",,,
0488798,,Welcome (2007),,"$136,190",,,,,,,,,,,,,,,,,,,,,"$29,170,783",,,,,,,,"$11,391",,,"$23,671",,,,,,,,,,,,,,,,,,,,,,,,,,,
0995740,,No Smoking (2007),,,,,,,,,,,,,,,,,,,,,,,"$758,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0823451,,Dus Kahaniyaan (2007),,"$32,797",,,,,,,,,,,,,,,,,,,,,"$3,100,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$173,949",,,
0995827,,The Train: Some Lines Should Never Be Crossed... (2007),,,,,,,,,,,,,,,,,,,,,,,"$1,225,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020937,,Awarapan (2007),,,,,,,,,,,,,,,,,,,,,,,"$3,652,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0489486,,"Good Boy, Bad Boy (2007)",,,,,,,,,,,,,,,,,,,,,,,"$2,566,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0995035,,Dhol (2007),,"$18,024",,,,,,,,,,,,,,,,,,,,,"$3,626,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0473367,,Jaane Tu... Ya Jaane Na (2008),,"$94,064",,,,,,,,,,,,,,,,,,,,,"$18,849,376",,,,,"$23,261",,,,,,,,,,,,,,,,,,,,"$13,191",,,,,,,,,,"$268,857",,,
1182972,,Bachna Ae Haseeno (2008),,"$158,270",,,,,,,,,,,,,,,,,,,,,"$9,842,212",,,,,"$47,419",,,"$7,261",,,"$7,011",,,,,,,,,,,,,,"$48,058",,,,,,,,,,"$574,033",,,
0964516,,Fashion (2008),,"$47,849",,,,,,,,,,,,,,,,,,,,,"$8,354,547",,,,,,,,"$3,269",,,$369,,,,,,,,,,,,,,,,,,,,,,,,"$61,237",,,
1185420,,Friendship (2008),,"$211,903",,,,,,,,,,,,,,,,,,,,,"$14,578,677",,,,,,,,"$30,843",,"$133,529","$38,641",,,,,,,,,,,,,,"$119,063",,,,,,,,,,"$1,422,954",,,
1182908,,Krazzy 4 (2008),,"$39,303",,,,,,,,,,,,,,,,,,,,,"$6,459,038",,,,,"$12,354",,,"$7,807",,,,,,,,,,,,,,,,,,,,,,,,,,,"$268,364",,,
0991346,,Bhoothnath (2008),,"$54,372",,"$7,205",,,,,,,,,,,,,,,,,,,"$11,164,612",,,,,"$51,091",,,"$7,760",,,,,,,,,,,,,,,,,"$19,641",,,,,,,,,,"$404,071",,,
0892874,,Halla Bol (2008),,,,,,,,,,,,,,,,,,,,,,,"$4,000,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092005,,Golmaal Returns (2008),,"$33,021",,,,,,,,,,,,,,,,,,,,,"$15,706,257",,,,,,,,,,,"$16,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
1216300,,Jannat: In Search of Heaven... (2008),,,,,,,,,,,,,,,,,,,,,,,"$9,088,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0995752,,Tashan (2008),,"$222,019",,,,,,,,,,,,,,,,,,,,,"$9,522,232",,,,,"$31,292",,,,,"$17,966","$15,777",,,,,,,,,,,,,,"$314,584",,,,,,,,,,"$702,087",,,
1221133,,EMI: Liya Hai To Chukana Padega (2008),,,,,,,,,,,,,,,,,,,,,,,"$1,352,299",,,,,,,,"$1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156148,,Karzzzz (2008),,"$8,107",,,,,,,,,,,,,,,,,,,,,"$3,944,212",,,,,,,,"$138,239",,,"$6,753",,,,,,,,,,,,,,,,,,,,,,,,,,,
4400028,,No Kids (2015),"$2,851,138",,,,"$72,071",,"$38,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$446,052",,,,,,,,,,,,,,,,,,,,,"$255,561",,
1406161,,I'm Glad My Mother Is Alive (2009),,,,"$4,937","$9,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,215",,,,,,,,,,,,,,,,,,
0388242,,Mariages! (2004),,,,,,"$6,818",,,,,,,,,,"$12,987,113",,,,,,,,,,,,,"$4,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0366840,,Okkadu (2003),,"$2,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105709,,8 x 10 Tasveer (2009),,,,,,,,,,,,,,,,,,,,,,,"$2,869,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433905,,All the Best: Fun Begins (2009),,"$10,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,592",,,"$4,895",,,,,,,,,,,,,,,,,,,,,,,,,,,
0848596,,Mutum (2007),,,,,"$124,314",,,,,,,,,,,"$12,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0447679,,Winky's Horse (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,955,239",,,"$119,264",,,,,,,,,,,,,,,,,,,,,,,,,
1576450,,Lily Sometimes (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,898",,,,,,,,
0396690,,Kisna: The Warrior Poet (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$338,613",,,
3219604,,The Last Man on the Moon (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,399",,,
4104054,,Dad's Army (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$427,369",,,,,,,,,,,,,,,,,,,,,,,,,,,
