Movie Name,Italy,France,Argentina,Uruguay,South Korea,Germany,Netherlands,Spain,Belgium,Brazil,China,Serbia and Montenegro,Russia/CIS,United Kingdom,India,Singapore,Norway,Bulgaria,Türkiye,Portugal,Mexico,Australia,New Zealand,Malaysia,Kuwait,South Africa,Peru,Chile,Lebanon,Taiwan,Nigeria,Greece,Austria,Switzerland,Poland,Czech Republic,Finland,Slovenia,Romania,Lithuania,Slovakia,Domestic,Colombia,Denmark,United Arab Emirates,Iceland,Thailand,Hong Kong,Vietnam,Japan,Ukraine,Sweden,Oman,Venezuela,Israel,Hungary,Ecuador,Philippines,Egypt,Kenya,Ghana
No Place to Go (2000),"$36,227","$5,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma ma (2015),"$78,801","$70,386",,,"$45,445",,,"$934,143",,,,,"$28,357","$8,806",,,,"$20,810","$6,613",,,,,,,,,,"$13,380","$4,560",,,,,"$68,719","$13,363","$7,121","$3,648","$2,196","$1,731","$1,172","$47,258","$21,015",,,,,,,,,,,,,,,,,,
Francofonia (2015),"$190,423",,"$174,500",,"$20,157","$17,190",,"$70,680",,"$56,613",,,"$64,762","$32,654",,,,"$3,509",,"$35,061",,,,,,,,,,,,"$19,247","$6,332",,,,,"$4,838","$5,148",,,,,,,,,,,,,,,,,,,,,,
Remember (2015),"$623,506",,"$57,117",,,"$48,900","$47,442","$76,386",,"$243,811",,,"$24,800","$3,075",,,,,"$23,146","$7,882",,,"$82,308",,,"$55,317",,,,"$20,302",,,,,,,,,"$1,645",,,"$1,184,564",,,,,,,,,,,,,,,,,,,
Black Angel (2002),"$346,481",,,,,,,"$1,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Neon Demon (2016),"$129,660","$960,581",,,"$7,390",,"$77,824","$16,614",,,,,"$11,284","$370,829",,,"$23,860",,"$27,072","$12,718",,,"$7,014",,,,,,,,,"$5,035",,,,,"$30,043",,"$8,226","$15,362",,,,,"$24,447","$6,825","$5,792",,,,,,,,,,,,,,
They Call Me Jeeg Robot (2015),"$5,713,331","$257,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis & Nixon (2016),"$285,111","$265,796",,,,,,"$13,883",,"$11,985",,,"$54,556","$77,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,025",,,,,,"$8,418","$1,559",,,,,,,,,
Eye in the Sky (2015),"$267,257",,"$69,061",,"$96,934",,"$447,301","$1,451,609",,"$119,785","$2,523,370",,,"$6,637,511",,"$165,968",,,"$55,707","$171,779","$992,418","$2,074,059","$494,679",,,"$98,191","$72,299","$61,034","$154,649","$92,372",,,,,,,,"$5,998",,"$20,923",,,,,"$429,783",,,,,,,,"$6,233","$46,138",,,,,,,
Bread and Milk (2001),,"$3,299",,,$50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tears for Sale (2008),,"$19,314",,,,,,,,,,"$634,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariages! (2004),,"$12,987,113",,,,,,,,,,,,,,,,"$6,818",,,,,,,,,,,"$4,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutum (2007),,"$12,125",,,,,,,,"$124,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Polar Bear (2001),,"$964,747",,,,"$10,381,665","$703,440",,,,,,,"$1,167,736",,,,,,,,,,,,,,,,,,,"$861,882","$767,524",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Song (2015),,"$64,465",,,,,,"$209,860",,,,,"$11,847","$715,769",,,,,,,,"$69,346","$71,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mademoiselle C (2013),,"$16,504",,,,,,"$1,391",,,,,,"$10,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Years (2006),,,"$48,878","$1,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La león (2007),,,"$8,333",,,"$11,925","$1,134",$450,$230,"$3,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Days of Emma Blank (2009),,,"$4,684",,,,,,,,,,"$26,713",,,"$13,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Kids (2015),,,"$2,851,138","$255,561",,,,,,"$72,071",,,,,,,,,,,,,,,,,"$446,052","$38,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uno (2004),,,"$5,780",,,,,,,,,,,,,,"$3,228,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Affair 2 (2015),,,"$86,111","$103,072",,,,,,,,,,,,,,,,,"$81,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracles from Heaven (2016),,,"$10,514",,"$100,822","$105,516",,"$214,174",,"$752,487",,,,"$67,579",,"$79,412","$278,715","$16,777",,"$70,659","$5,708,535","$628,508",,,,"$93,805",,,"$42,890",,"$57,884",,,,"$271,604",,,,,,"$85,720","$61,705,123","$494,995","$7,563","$35,342",,,"$248,461",,"$183,730","$36,658",,,,,,"$368,819","$259,836","$9,632","$2,173","$2,063"
Pleasant Days (2002),,,,,"$3,521",,,,,,,,,,,,,"$1,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic (2015),,,,,"$31,387",,"$29,285",,,,,,,"$10,043",,,,,"$4,427","$1,092","$289,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prisoner (2007),,,,,"$9,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Barry and the Disco Worms (2008),,,,,"$51,165",,,,,"$276,734",,,"$185,621",,,"$1,970",,,,,"$19,074",,,"$24,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaili Blues (2015),,,,,"$13,350",,,,,,"$903,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakuran (2006),,,,,"$56,935",,,,,,,,,,,,,,,,,,,,,,,,,"$106,801",,,,,,,,,,,,,,,,,,,,"$5,973,534",,,,,,,,,,,
Tokyo Family (2013),,,,,"$64,296",,,,,"$15,465",,,,,,"$11,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$122,781",,"$16,713,198",,,,,,,,,,,
Mr. Right (2015),,,,,"$79,539",,,,,,,,,,,,,,"$5,090","$16,917",,,"$9,558","$23,777",,"$57,870",,,"$4,371",,,,,,,"$5,761",,"$12,672","$131,114","$14,930","$22,344",,,,"$147,965",,"$17,043",,,,,,"$11,150",,,"$12,800",,,,,
The Shamer's Daughter (2015),,,,,,"$32,507",,,,,"$23,562",,,,,,"$91,691",,"$9,167",,,,,,,,,,,,,,"$4,225",,,,,,,,,,,"$2,134,294","$17,358","$4,284","$31,624",,,,,,,,,,,,,,
Twigson (2009),,,,,,"$139,075",,,$666,,,,,,,,"$4,202,665",,,,,,,,,,,,,,,,"$3,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,
You're Ugly Too (2015),,,,,,"$45,640",,"$40,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,646",,,,,,,,,,,,,
Lepel (2005),,,,,,,"$1,430,478",,,,,,,,,,"$58,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendship (2008),,,,,,,"$133,529",,,,,,,"$1,422,954","$14,578,677",,,,,,,"$211,903","$38,641","$30,843",,"$119,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tashan (2008),,,,,,,"$17,966",,,,,,,"$702,087","$9,522,232",,,,,,,"$222,019","$15,777",,"$31,292","$314,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winky's Horse (2005),,,,,,,"$2,955,239",,,,,,,,,,"$119,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phileine Says Sorry (2003),,,,,,,"$392,633",,,,,,,,,,,,,,,,,,,,,,,"$3,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Daughter (2015),,,,,,,"$94,668",,,,,,,"$49,118",,,"$5,914",,,"$18,554",,"$1,261,968","$47,438",,,,,,,,,,,,,,,,,"$1,398",,,,,,,,,,,,,,,,,,,,,
"Hello, My Name Is Doris (2015)",,,,,,,,"$52,547",,,,,,,,,,,,,,"$27,225",,,,"$40,302",,,,,,,,,,,,,,,,,,,,,,,,,,"$8,328",,,"$86,047",,,,,,
Bhoothnath (2008),,,,,,,,,"$7,205",,,,,"$404,071","$11,164,612",,,,,,,"$54,372",,"$7,760","$51,091","$19,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Glad My Mother Is Alive (2009),,,,,,,,,"$4,937","$9,283",,,"$8,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
