imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Costa Rica,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4136084,,Florence Foster Jenkins (2016),"$668,118","$2,717,320",,,,"$11,805","$639,762","$30,476",,,,"$75,650",,,"$130,703",,"$27,383,770",,,,,"$633,502","$813,868","$1,390,529",,,,,"$104,187","$9,276",,,,"$2,923,380",,"$1,326,331",,,,,,"$31,055",,,,"$945,940","$702,472",,"$265,134",,,,,,,"$1,333,260","$255,461",,"$77,743","$149,834",,,"$34,214","$23,059","$163,034","$955,773","$987,008",,,,,,,,"$81,067",,"$15,604","$4,173,452",,,
0893507,,The International (2006),,,,,"$2,962",,,,,,,,,,,,,,,,,,,"$36,273",,"$7,487",,,,,,,,,,,,,,,,,,,,"$3,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,350,423",,,"$2,143",,,
4505208,,One Man and His Cow (2016),,,,,,,"$20,982",,,,,"$316,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,171",,
4085084,,Disorder (2015),,,,,,,,,,,,,,,,,,,,,,"$8,660","$277,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,535",,,,,,,,,,,,,,,,,,"$106,438",,,
1259615,,12 Paces Without a Head (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,366",,,,,,,,,,,,,,
3760922,,My Big Fat Greek Wedding 2 (2016),"$349,537","$11,697,147","$179,322",,"$256,312","$2,057","$1,604,654",,,,,"$152,194",,"$87,180","$43,149","$104,481",,,"$100,874",,,"$179,945","$137,407","$1,297,963",,"$457,115",,,"$460,834","$25,390",,,,"$1,901,579",,,,,,,"$236,122","$17,668",,"$731,869",,"$180,307","$507,587",,"$118,659","$13,517",,,,"$188,086",,"$396,140","$128,681",,"$225,975","$34,901","$48,627",,"$94,698","$67,045","$653,090","$196,901","$1,108,149","$505,632",,"$38,420",,,"$31,585",,"$63,371","$34,831","$719,922","$5,492,163",,"$71,950",
2133196,,Born to Be Blue (2015),,,,,,,,,,,,,,,,,"$830,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$669,704",,,,,,,,,,,,"$53,504",,,
5310090,,Irudhi Suttru (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,936",,,
4899406,,Neon Bull (2015),,,,,,,"$77,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,251",,,"$17,238",,,,,,,,"$7,045",,,,,,,,,,,,,,,,,,,,,,,,
1865335,,Confession of a Child of the Century (2012),,,"$2,166",,,,"$18,730",,,,,,,,,,$74,,,,,,"$120,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,030",,,
1490785,,I Saw the Light (2015),,,,,,,,,,,,,,,,"$3,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,936",,,,,,,,,,,,,"$114,736",,,
4139124,,Keanu (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,952",,,,,,,,,,,,,"$18,118",,,
5278832,,The Lure (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,862",,,,,"$1,327",,,
3838992,,Yoga Hosers (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,776",,,,,,,,,,,,,,,,,,,,,
3708886,,War on Everyone (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,995",,,,,,,,,,,,,"$130,942",,,,,,,,,,,,,,,,,,,,,
3068194,,Love & Friendship (2016),"$55,940","$1,637,671",,,,,"$124,563",,,,,"$57,827",,,,,,,,,,"$80,793","$1,017,247",,,"$92,806",,,,,,,,"$270,954",,,,,,,,"$4,858",,,,"$403,809","$396,360",,"$293,632",,,,,,,"$26,175","$64,607",,,"$197,063",,,,"$14,449",,"$26,464","$286,109",,,,,,,,,"$9,245","$20,398","$2,301,875","$2,536",,
2835548,,Grand Central (2013),,,,,,,"$13,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5487052,,Election Day 2 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,674,422",,,,,,,,,,,,,,,,,,,,,
0855975,,Prague (2006),,,,,,,,,,,,,,,,"$1,300,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,002",,"$139,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0489793,,OrAngeLove (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,673",,,,,,,,,,,,"$14,715",,,,,,,,,
1718835,,My Worst Nightmare (2011),"$6,594",,"$126,268",,"$819,065",,,,,,,,,,,,,,,,,,"$6,364,190","$231,599",,"$23,227",,,,,,,,"$620,827",,,,,,,,,,,,,,,,,,,,,,,"$12,822",,,,,,,,,,,,,,,,,,,,,,,,
1322313,,Sunshine Superman (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384925,,Ardor (2014),"$76,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$678,,,,,,,,,,,,,,
4530884,,I Spit on Your Grave: Vengeance Is Mine (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,089",,,,,,,,,,,,,,,,,,,,,
1822239,,Jock the Hero Dog (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$614,653",,,,,,,,,,,,,,,,,,,,,
5275838,,Mapplethorpe: Look at the Pictures (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,630",,,,,,,,,"$27,761",,,,,,,,,,,,"$33,196",,,
2937696,,Everybody Wants Some!! (2016),,"$35,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$506,414",,,,,,,,,,,,,,,"$9,028",,,,,,,,"$11,973",,,"$55,980",,,,,"$10,702","$49,619","$94,830",,,,,,,,,,,"$470,261",,,
3544112,,Sing Street (2016),,"$225,101",,,"$23,196",,,,,,,,,,,,,,,,,,"$604,736","$430,772",,,,,,,,,,"$418,739",,"$1,490,254",,,,,,,,,,"$24,338","$307,643",,,,,,,,,,"$6,160",,,,,,,,"$28,091","$3,585,341","$241,741",,,,,,"$180,925",,,,,"$1,836,700",,,
3368222,,Angry Indian Goddesses (2015),,,,,,,,,,,,"$6,940",,,,,,,,,,,"$142,276",,,,,,,,,,,,,,,,,,,,,,,"$6,511",,,,,,,,,,,"$12,338",,,,,,,,,,"$118,854",,,,,,,,,,,,,,
4766604,,Highway to Hellas (2015),,,"$30,532",,,,,,,,,,,,,,,,,,,,,"$636,086",,,,,,,,,,,,,,,,,,,,"$36,319",,,,,,,,,,,,,,,,,,,,,,,"$70,652",,,,"$37,707",,,,,,,,,,
0076001,,La escopeta nacional (1978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,820",,,,,,,,,,,,,,
5247022,,Paterson (2016),"$90,355","$119,407",,,,,"$142,790",,,,,"$46,000",,,"$74,134",,"$2,152,738",,,,,"$54,337","$2,752,212",,,,,,,"$10,277",,,,"$642,601",,,,,,,,"$16,206",,,,"$504,682","$110,955",,"$49,827",,,,,,,"$278,490","$98,953",,,"$440,717",,,"$16,438","$16,673",,"$489,193","$793,920",,,,,,,,"$23,932","$30,975",,"$626,479","$13,071",,
2381991,,The Huntsman: Winter's War (2016),"$1,006,922","$5,140,914","$680,962",,"$1,191,748",,"$6,778,158","$326,158",,"$391,754","$16,952,540","$1,275,327",,"$91,926","$258,126","$394,382",,,"$469,933","$190,082",,"$336,986","$6,642,959","$4,780,433",,"$359,886",,"$1,514,736","$357,147","$32,191",,,,"$4,088,762",,"$4,345,439",,,,,,"$41,403","$3,459,241","$7,685,545",,"$1,896,771","$655,300",,"$411,371",,,,,"$1,405,029","$3,138,235","$965,539","$632,596",,"$477,291","$3,741,002","$75,000","$1,796,017","$121,081","$43,965","$783,809","$3,095,433","$3,642,051","$865,526",,"$224,896","$89,149","$2,294,903","$2,282,712",,"$1,229,699","$628,937","$1,613,410","$7,665,716","$33,469","$368,288","$1,032,950"
4438848,,Neighbors 2: Sorority Rising (2016),"$581,561","$5,650,502","$1,327,828",,"$896,822","$170,195","$872,811","$82,678",,"$173,000",,,,"$120,845","$101,035","$510,701",,,,,,"$380,327","$3,398,715","$7,491,113",,,,"$952,970","$494,740","$104,493",,,"$1,423,882","$574,723",,,,,,,"$131,614","$60,533",,"$3,458,000",,"$1,984,937","$567,089",,"$866,823",,,,,,,"$445,436","$587,272",,"$325,271","$670,211","$54,927",,"$102,060","$115,617","$426,346",,"$1,570,373","$794,355","$1,233,843",,"$1,124,598",,"$346,821",,"$164,740","$263,944",,"$9,249,000","$127,000","$112,000",
4137902,,Dark Horse (2015),,,,,,,,,,,,,,,,,"$1,030,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,346",,,,,,,,,,,,,,
2350432,,Free Angela and All Political Prisoners (2012),,,,,,,$903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120176,,Things to Come (2016),"$56,786","$631,381",,,"$23,488",,,,,,,,,,,,,,,,,"$11,778","$2,196,661",,,"$45,842",,,"$5,201",,,,,"$416,265",,,,,,,,"$1,789",,,,"$533,502",,,"$234,615",,,,,,,,"$41,788",,,,,,,,,"$216,246","$523,840",,,,,,,,"$9,235",,,"$290,830","$11,306",,
3952108,,The Dead Room (2015),"$40,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,444",,,,,,"$6,755",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,538",,
1762233,,Enchanted Kingdom (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,936,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717390,,Refugiado (2014),"$131,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3746250,,Sherpa (2015),,"$940,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$213,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3841424,,Land of Mine (2015),,"$350,732","$1,864",,,,,,,,,,,,,"$1,666,498",,,,,,"$2,882",,"$23,663",,,,,,"$5,220",,,,"$417,317",,,,,,,,,,,,"$61,706",,,"$40,236",,,,,,,,,,,,,,,,,"$73,727","$70,935",,,,,,,,,,,"$19,507",,,
2614776,,City of Gold (2015),,,,,,,,,,,,,,,,,"$640,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,466",,,,,,,,,,,,,,,,,,,"$20,173",,,,,,,,,,,,,,,
3828796,,2 Nights Till Morning (2015),"$40,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,068",,
4668808,,What Our Fathers Did: A Nazi Legacy (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,484",,,
0810456,,Black Sun (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,524",,,,,,,,,,,,,,,,,,,,,
3495026,,Fan (2016),,"$375,357","$4,928",,,,,,,,"$219,921",,,,,,,,,,,,,"$100,355",,,,,,,"$17,680,000",,,,,,,,,,"$4,127",,,,,,"$108,659",,"$46,634",,,,,,,,,,"$3,769",,,,,,,,"$10,517",,,,,,,,"$8,863",,,"$994,702",,,
3613648,,Families (2015),"$26,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,538",,,,,,,,,,,,,,,,,,,"$2,970",,
1003023,,Mancora (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$166,372",,,,,,,,,,,,,,,,,,,,,,,,,,,
0787524,,The Man Who Knew Infinity (2015),"$72,614","$1,133,888","$40,220","$10,494","$67,370",,"$126,135",,,,,,,"$21,286",,,,,,"$25,787",,"$82,377",,"$357,536",,"$146,343",,"$163,392",,,"$748,381",,"$287,850","$1,200,726",,"$333,888",,,,,"$84,028",,"$23,362",,,"$262,278","$203,952",,,,,"$4,156",,,,,"$140,749",,,,,"$107,014",,"$6,869","$94,582","$211,672","$503,862","$33,385","$225,929",,"$156,621","$312,682","$36,656",,"$110,730",,"$159,917","$765,993","$14,851",,
2474932,,Despite the Falling Snow (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,879",,,,,,,,,,,,,,,,,,,"$8,942",,,,,,,,,,,,,,,
2395421,,The Priest's Children (2013),,,,,,,"$170,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906082,,Mary Shelley (2017),,"$206,722",,,,,,,,,,,,,,,,,,,,,"$557,448",,,"$14,725",,,,,,,,"$422,742",,,,,,,,,,,,,"$32,068",,,,,,,,,,"$15,246",,,"$100,692",,,,"$9,079","$5,213","$64,993","$361,187",,,,,,,,"$13,824",,,"$183,761",,,
4300480,,Italian Race (2016),"$4,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
