Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
Florence Foster Jenkins (2016),"$27,383,770","$4,173,452","$2,923,380","$1,390,529","$1,333,260","$987,008","$945,940","$813,868","$633,502","$265,134","$255,461","$163,034","$130,703","$104,187","$81,067","$77,743","$34,214","$31,055","$30,476","$23,059","$15,604","$9,276","$2,717,320","$1,326,331","$955,773","$702,472","$149,834","$668,118","$639,762","$75,650","$11,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to Be Blue (2015),"$830,129","$53,504",,,,,,,,,,,,,,,,,,,,,,,"$669,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confession of a Child of the Century (2012),$74,"$5,030",,,,,,"$120,155",,,,,,,,,,,,,,,,,,,,,"$18,730",,,,,,,,"$2,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paterson (2016),"$2,152,738","$626,479","$642,601",,"$278,490","$793,920","$504,682","$2,752,212","$54,337","$49,827","$98,953",,"$74,134",,"$23,932",,"$16,438","$16,206",,"$16,673",,"$10,277","$119,407",,"$489,193","$110,955","$440,717","$90,355","$142,790","$46,000",,,,"$13,071",,,,,,,,"$30,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Horse (2015),"$1,030,851",,,,,"$3,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Gold (2015),"$640,979",,,,,,,,,,,,,,,,,,,,,,,,"$20,173","$19,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbershop: The Next Cut (2016),"$54,058,961","$135,486",,,,,"$238,402",,"$3,021",,,"$330,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Choice (2016),"$18,730,891","$198,772",,"$979,371",,,"$417,484",,,,"$120,870","$130,388",,,"$25,824",,,"$34,823",,,"$75,006","$4,049","$796,840",,"$15,917",,"$91,689","$10,012","$236,723",,"$8,141",,"$236,822","$20,793",,"$36,987","$194,913",,,,,"$26,996","$2,712","$360,616","$47,712","$26,171",,"$7,418",,,,"$29,448","$16,530","$127,604",,"$54,627","$3,447",,,,,,"$10,336",,,,,,,,,,,,,,,,,,
Finding Dory (2016),"$486,295,561","$56,327,874","$17,433,399","$35,307,381","$3,654,512","$20,038,169","$9,976,165","$21,880,347","$922,679","$2,786,441","$2,185,259","$3,024,048","$1,942,288","$1,114,967","$2,145,693","$631,451","$1,465,935","$169,087","$391,220","$145,145","$4,347,363","$364,372","$36,312,693","$65,982,721","$18,175,847","$4,626,878","$9,222,835","$16,004,539","$34,529,711","$7,995,441","$1,313,486","$2,054,994","$5,204,300",,"$6,438,969",,"$4,572,667","$2,532,112",,,,"$784,805",,"$24,781,954",,,"$3,319,862","$1,492,471","$5,062,350",,,"$7,026,238","$1,954,333","$4,640,452","$4,135,984","$6,615,732",,"$38,052,302",,"$5,127,323","$327,166","$2,799,262",,"$6,800,000",,,,,,,,,,,,,,,,,
"My Love, Don't Cross That River (2014)","$86,446",,,,,,,,,,,,,,,,,,,,,,,,"$34,012,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,499",,,,,,,,,,,,,,,,,,,,,,,,
