Movie Name,United Kingdom,India,Australia,New Zealand,Malaysia,South Korea,Russia/CIS,Thailand,Domestic,France,Finland,Spain,Netherlands,Norway,Italy,Hungary,Czech Republic,Türkiye,Ukraine,Portugal,Colombia,China,Japan,Hong Kong,Taiwan,Philippines,Singapore,Germany,Poland,Belgium,Sweden,Austria,Switzerland,United Arab Emirates,Switzerland (German),Denmark,South Africa,Romania,Switzerland (French),Slovakia,Bulgaria,Lithuania,Iceland,Slovenia,Mexico,Brazil,Argentina,Chile,Venezuela,Israel,Greece,Bahrain,Estonia,Croatia,Lebanon,Latvia,Egypt,Oman,Jordan,Serbia and Montenegro,Bolivia,Uruguay,Vietnam,Peru,Paraguay,Indonesia,Dominican Republic,Qatar,Ecuador,Panama,Pakistan,Cambodia,Central America,Kuwait,Nigeria,Kenya,Ethiopia
Kick (2014),"$2,198,214","$38,762,689","$431,960","$130,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shootout at Wadala (2013),"$250,591",,"$69,963","$21,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teri Meri Kahaani (2012),"$660,382",,"$85,075","$32,385","$15,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitraaz (2004),"$348,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Handmaiden (2016),"$1,047,095",,"$87,449","$10,950",,"$31,755,748","$182,562","$8,661","$2,006,788","$1,909,657","$222,715","$143,402","$97,482","$74,619","$74,320","$46,451","$33,166","$22,857","$16,970","$9,999","$103,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Through the Looking Glass (2016),"$14,283,300",,"$6,835,880","$951,379","$1,126,588","$3,728,329","$9,955,014","$1,054,836","$77,041,381","$9,882,921","$713,028","$5,547,268","$1,709,532","$614,753","$7,374,314",,"$770,409","$825,658","$1,047,092","$502,119","$3,030,070","$58,780,778","$26,788,307","$2,337,169","$1,851,041","$853,510","$578,204","$8,547,182","$1,986,497","$1,345,649","$1,315,739","$1,256,822","$1,222,215","$988,148","$638,959","$534,584","$476,151","$384,774","$361,459","$279,947","$209,875","$96,437","$50,523","$23,438","$13,726,743","$9,029,989","$4,745,023","$1,709,369","$798,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The BFG (2016),"$40,299,438",,"$11,477,037","$2,217,127","$1,087,113","$894,413","$5,877,446","$847,725",,"$4,661,068","$635,400","$2,917,236","$4,128,866","$1,645,445","$4,867,961","$229,010","$375,013","$534,562","$237,956","$688,143","$1,259,345","$20,995,699","$4,069,767","$1,091,325","$1,327,826","$911,895","$683,418","$2,740,349","$1,584,181","$1,780,964","$968,530","$415,388","$602,209","$1,061,105",,"$710,483","$818,514","$279,897",,"$120,542","$184,004","$147,872","$117,888","$42,029","$4,701,774","$2,863,157","$2,393,447","$1,022,596","$897,381","$900,788","$245,263","$152,775","$103,161","$88,518","$84,800","$80,884","$73,606","$62,354","$38,652","$32,965","$381,331","$102,000",,,,,,,,,,,,,,,
My Scientology Movie (2015),"$1,355,208",,"$539,899","$48,856",,,,,,,,,"$163,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Monkey King 2 (2016),"$18,129",,"$63,995","$49,142","$2,094,979",,,"$574,985",,,,,,,,,,,,,,"$185,402,420",,"$2,143,107","$401,614",,"$1,168,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,051,248",,,,,,,,,,,,,,
Sausage Party (2016),"$10,219,534",,"$6,790,949","$754,844",,,"$2,596,844","$66,629",,"$456,920","$222,510","$4,248,904","$714,631","$547,464","$1,043,249","$267,919","$559,706",,"$361,930","$371,992","$20,344",,"$731,857","$292,878","$195,215","$102,904","$226,781","$3,824,688","$1,429,220","$90,689","$356,150","$815,288","$162,909",,,"$225,051","$161,845","$117,827",,"$355,726","$15,688","$73,895","$118,241","$27,739","$617,351","$598,136","$151,994","$76,731",,"$2,024,939","$86,567",,"$92,881","$70,291",,"$67,053",,,,"$17,976","$39,718","$10,931",,"$18,530","$3,552",,,,,,,,,,,,
