Movie Name,Germany,United Kingdom,Austria,France,Netherlands,Switzerland,Denmark,Spain,Italy,Belgium,Norway,Hungary,United Arab Emirates,Poland,Israel,Sweden,South Africa,Finland,Ukraine,Romania,Slovakia,Czech Republic,Croatia,Estonia,Portugal,Iceland,Bulgaria,Lebanon,Türkiye,Slovenia,Lithuania,Latvia,Egypt,Serbia and Montenegro,Greece,Mexico,Brazil,Peru,Ecuador,Argentina,Chile,Colombia,Panama,Bolivia,Uruguay,Paraguay,Australia,New Zealand,Russia/CIS,Hong Kong,India,Singapore,Malaysia,Taiwan,Vietnam,Indonesia,Thailand,Philippines,Domestic,South Korea,Japan,China,Venezuela,Cambodia,Pakistan,Switzerland (German),Switzerland (French),Nigeria,Dominican Republic,Ghana,Jordan,Qatar,Oman
Bad Moms (2016),"$11,730,725","$11,068,175","$3,021,628","$2,474,014","$2,374,000","$2,247,000","$1,711,762","$1,602,934","$1,532,818","$1,371,084","$1,224,798","$1,190,452","$1,035,000","$994,534","$911,000","$878,899","$799,567","$754,395","$509,900","$475,110","$340,722","$297,174","$217,457","$211,971","$176,021","$150,245","$146,929","$138,000","$132,237","$128,822","$98,036","$86,280","$84,000","$37,888","$32,952","$2,781,178","$429,538","$358,483","$172,908","$163,095","$160,078","$123,464","$78,271","$56,644","$24,220","$22,074","$11,987,591","$1,362,279","$1,228,393","$390,202","$262,000","$245,572","$104,867","$75,102","$71,000","$61,000","$54,254","$46,811",,,,,,,,,,,,,,,
Don't Breathe (2016),"$4,537,745","$5,019,182","$522,666","$2,576,423","$1,244,290",,,"$4,372,209","$1,171,756","$804,632","$496,544","$490,312","$1,159,181","$569,355","$949,414","$1,013,415","$90,857","$121,428","$84,691","$186,208","$148,006","$223,344",,,"$314,538","$59,641",,,"$1,097,078",,"$83,110","$20,122",,"$575,827","$276,747","$3,375,582","$3,173,338","$446,610","$449,999","$1,630,892","$693,050","$873,300",,"$74,669","$546,742","$42,980","$3,641,774","$366,936","$2,243,766","$1,082,220","$2,115,323","$581,045","$1,318,115","$1,313,767","$344,629","$1,801,830","$1,169,896","$1,041,203",,"$7,592,979","$4,132,329",,"$159,520","$63,391","$58,521",,,,,,,,
The Wild Life (2016),"$5,139,390","$1,381,128","$649,351","$2,599,130","$838,062","$471,009","$381,753","$676,701","$1,324,987","$894,459","$361,825","$101,184","$272,491","$978,623","$336,074","$435,406","$131,747","$155,836","$379,014","$186,508","$148,739","$342,489","$162,051","$91,349","$211,459","$49,412","$166,052",,"$262,902","$94,338","$137,613","$108,230",,"$47,656","$174,693","$284,864","$310,227",,,"$358,794",,"$135,484",,"$156,466","$34,949","$13,016","$263,380","$90,689","$1,341,748",,,"$24,506",,,"$132,432",,,,,"$922,167",,"$7,901,120",,,,"$271,216","$137,141",,,,,,
Friend Request (2016),"$2,407,754","$2,107,091","$280,053","$881,821",,,,,"$689,224",,,,"$120,752",,,,,,,,,,,,"$50,471",,,,"$46,733",,,,,,,,,,,,,,,,,,,,"$375,810",,,,,,,,"$94,099",,,"$162,504",,,,,,,,,,,,,
Mechanic: Resurrection (2016),"$1,905,064","$1,763,940",,"$4,432,371","$1,467,507","$443,866",,"$2,076,856","$1,221,501","$426,679",,"$405,600","$2,918,582","$774,182","$335,248",,"$720,160",,,"$775,612","$94,819","$105,923",,,"$1,075,219","$53,489","$338,016","$210,461","$3,673,194","$60,392","$90,928",,,,"$408,765","$2,488,805","$1,351,820",,,"$901,821",,"$1,261,134",,"$80,095","$41,211","$40,561","$10,031",,"$3,030,102",,,"$608,633","$2,085,264","$2,748,292","$183,000",,"$1,074,108","$335,344",,"$4,012,989",,"$49,243,215",,,,,,,,,,,
The Magnificent Seven (2016),"$4,809,894","$7,921,183","$617,462","$5,062,649","$1,655,577","$733,708",,"$3,538,440","$1,924,842","$563,059","$562,909","$268,512","$1,656,458","$611,785",,,"$520,303","$293,804","$447,114","$320,055","$75,829","$135,869","$103,991","$70,419","$468,344","$99,321","$169,823",,"$471,665","$37,455","$42,710","$36,095",,"$39,268","$391,566","$1,039,402","$2,997,144","$172,349","$160,313","$669,731","$260,323","$571,188",,"$54,843","$34,032","$19,348","$6,376,125","$1,047,576","$3,441,114","$448,358","$607,575","$710,985","$1,138,903","$437,348","$334,014","$1,285,646","$428,833","$740,955","$93,432,655","$6,829,877","$2,659,550",,"$83,036",,"$41,725",,,"$129,104",,,,,
Moonlight (2016),"$3,417,794","$5,348,077","$256,415","$3,931,210","$2,372,881","$809,285","$666,015","$2,722,635","$1,574,935","$519,547","$785,274","$98,430",,,"$843,148","$1,124,427","$38,491","$1,028,314",,"$50,601",,,"$25,555","$55,893","$512,891","$41,805","$13,884",,"$220,271","$21,886","$13,810","$18,008",,"$9,469","$336,177","$525,972","$1,899,321","$255,999","$43,012","$536,135","$234,167","$234,013","$32,772","$25,621","$81,143","$8,086","$1,748,402","$298,386","$133,905","$413,575",,"$53,148",,"$189,731",,,"$46,004",,,"$1,300,581","$2,400,578",,,,,,,,,,,,
Jane's Journey (2010),"$161,867",,"$24,350",,,,,"$4,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kubo and the Two Strings (2016),"$279,288","$3,960,313","$29,642","$2,768,243","$351,436","$148,048","$169,384","$1,839,846","$631,007","$112,172","$154,905","$108,484","$324,366","$224,791","$302,814","$266,799","$80,267","$59,894","$124,493","$170,873","$71,836","$104,907","$9,852","$81,461","$165,368","$26,407","$54,307","$31,000","$174,943","$42,783","$57,671","$37,251","$31,386","$442,133","$243,889","$1,293,190","$567,150","$334,202","$246,688","$255,134","$112,000","$288,969","$279,000","$76,000","$14,812","$11,986","$1,550,992","$313,433","$970,385","$141,000",,"$469,823","$356,745","$211,028","$286,483",,"$144,000","$20,518",,"$183,965",,"$6,372,757","$43,831",,,,,,,,,,
Bridget Jones's Baby (2016),"$10,112,870","$60,399,511",,"$14,168,100","$11,553,946","$2,751,031","$3,255,268","$5,910,419","$6,399,602","$2,227,531","$4,236,105","$1,462,991","$857,252","$6,100,904","$611,006","$4,995,923","$683,371","$2,557,406","$394,035","$340,458","$608,528","$2,160,404","$254,453","$278,603","$582,454","$368,712","$164,446","$157,961","$418,198","$310,418","$227,275","$319,583","$51,154","$203,302","$337,075","$2,188,941","$1,723,850","$767,080","$164,676","$543,818","$504,879","$116,206","$582,000","$39,620","$55,111","$19,165","$13,046,305","$2,484,687","$3,531,783","$1,043,506","$112,031","$489,315","$91,820","$686,000","$112,000","$213,041","$311,000","$176,520",,"$6,027,546","$3,890,252","$746,833","$52,214",,,,,,,,,,
The Light Between Oceans (2016),"$427,045","$2,355,578","$62,856","$575,817","$296,903","$311,680","$190,573","$135,743","$448,976","$99,141",,,"$70,816","$322,251","$457,006","$959,859","$65,389",,"$62,949",,,,"$21,893","$62,858","$103,493","$23,889",,"$68,402","$50,653",,"$49,281","$17,625","$31,771",,"$344,649","$524,293","$273,674","$34,997",,"$22,691","$33,201","$90,617","$7,285",,"$7,698","$1,387","$2,565,340","$391,213","$180,169","$33,174",,"$7,175",,"$153,194","$4,292",,"$23,317",,,"$556,197","$580,929",,"$34,021",,,,,,,,,,
Morgan (2016),"$177,032","$257,582",,"$570,286",,,,"$351,818",,,"$82,351",,"$207,062","$172,513",,,,,"$61,398",,,,,,,,,,,,"$20,351",,,,,"$173,828",,,,,,"$171,028",,,,,,,"$332,311",,,,,,,"$163,485",,,,,,,,,,,,,,,,,
Queen of Katwe (2016),"$46,814","$383,290",,,,,,,,,,,,,,"$5,252","$58,209",,,,,,,,,,,,"$7,099",,,,,,,"$81,192","$17,891",,,"$29,045","$6,257","$43,848",,,,,"$344,672","$5,207",,,,,,,,,,,"$8,874,389",,,,"$77,833",,,,,,,,,,
Deepwater Horizon (2016),"$959,291","$6,800,092","$201,688","$2,281,364","$1,036,067","$320,808","$456,741","$530,904","$1,058,198","$343,755","$651,995","$222,816","$2,485,878","$355,498","$545,315","$548,681","$496,722","$169,759","$281,131","$324,408","$78,173","$94,126","$76,102","$50,062","$420,410","$75,416","$104,957","$252,965","$296,328","$20,490","$42,528","$40,481","$347,648","$24,931","$123,931","$2,602,663","$1,247,598","$302,635","$273,717","$450,530","$146,415","$593,767","$131,324","$89,837","$38,142","$11,262","$3,043,422","$461,578","$2,336,411","$1,176,924","$85,305","$1,197,621","$2,509,418","$1,347,583","$315,638","$251,552","$797,650","$753,427",,"$644,232","$2,020,160","$10,507,817","$338,596",,"$61,885",,,,,,,,
Miss Peregrine's Home for Peculiar Children (2016),"$9,263,623","$15,387,409",,"$20,123,261","$1,763,342","$645,140",,"$6,767,572","$6,891,734","$2,320,458","$730,922","$451,030","$1,448,193","$1,200,635",,"$1,846,931","$598,117","$442,250","$1,167,622","$648,677","$284,869","$1,124,816",,,"$535,103","$100,615","$246,568",,"$932,581","$56,916","$110,898",,,,"$416,049","$9,876,268","$9,826,599",,,"$2,298,021","$1,080,411","$2,019,241",,"$177,830","$130,975","$38,983","$8,442,566","$1,326,044","$15,320,980","$3,638,864",,"$1,585,057","$2,454,349","$3,525,912",,"$659,266","$1,551,160","$3,492,419",,"$18,686,518","$10,142,573","$17,017,610",,,,,,,,,,,
The Girl on the Train (2016),"$4,680,739","$29,494,721","$665,374","$3,349,559","$1,676,518","$1,248,747","$1,844,774","$4,281,275","$5,380,555","$1,368,805","$247,275","$683,375","$865,641","$2,654,957","$793,208","$1,059,525","$459,774","$817,404","$295,563","$420,940","$322,755","$737,623","$336,001","$144,598","$1,070,091","$123,412","$80,862","$202,452","$409,440","$83,820","$68,780","$74,101","$170,875","$86,347","$824,865","$3,279,459","$3,190,225","$282,177","$179,392","$1,827,858","$394,077","$610,554","$414,626","$42,860","$102,665","$36,295","$12,023,281","$1,436,521","$3,363,167","$394,905",,"$343,885","$173,474","$875,444",,,"$326,414","$390,040",,"$139,371","$247,102",,"$132,378",,,,,,,,,,
The Accountant (2016),"$2,800,000","$6,400,000",,"$2,400,000","$1,900,000","$684,000",,"$2,800,000","$1,800,000",,"$356,160","$683,245","$1,941,280","$409,259",,,"$606,513","$260,260","$411,729","$522,390","$225,896","$104,773",,,"$465,545","$125,373","$256,154",,"$276,000","$31,544","$68,968",,,,"$1,276,731","$5,000,000","$3,800,000",,,"$877,376",,"$773,000",,"$87,824","$45,399","$22,122","$4,500,000","$748,235","$2,900,000","$852,000",,,,"$3,700,000",,"$1,200,000","$420,420",,,"$492,000","$2,732,255",,,,,,,,,,,,
Cemetery of Splendor (2015),"$4,074","$5,440","$3,756",,,,,"$6,936",,"$7,328",,,,,,,,,,,,,,,"$6,020",$774,,,,,,,,,,,"$12,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ki & Ka (2016),"$7,441","$166,462",,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,283",,,,,,,,,,,,,,,,,,"$74,343","$44,266",,,,,,,,,,,,,,,,,,,,,,,,,
Our Last Tango (2015),"$161,651","$1,465",,"$155,903",,,"$46,898",,,,,,,,,,,,,,,,,,"$4,300",,,,,,,,,,,,,,,,,,,,,,,"$7,972",,,,,,,,,,,"$100,086","$33,375",,,,,,,,,,,,,
American Honey (2016),"$305,809","$1,174,395",,"$233,490","$156,671","$42,115",,"$14,088",,,"$100,843",,,,,"$35,815",,,,,"$2,587","$12,339",,,"$9,289",,,,"$24,774","$2,522",,"$8,195",,,,,,,,,,,,,,,"$45,829",,,,,,,,,,,,"$663,246","$56,920",,,,,,,,,,,,,
Marcello Marcello (2008),"$167,287",,,,,"$397,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Name. (2016),"$938,042","$466,772",,"$1,412,916","$173,331",,,"$425,859",,,"$120,823",,,,,,,"$215,054","$11,008",,,,,,,,,,"$18,096",,,,,,,"$434,144",,,,"$43,648",,"$6,316",,"$2,347",,,"$965,973","$128,940","$596,839",,,,,,,,"$1,222,693",,"$5,017,246","$48,604,503","$233,794,134","$83,678,210",,,,,,,,,,,
Before the Winter Chill (2013),"$68,791","$128,989","$8,692","$2,108,550","$239,373",,,"$349,447",,"$255,185","$109,902",,,,,,,"$107,072",,,,,,,,,,,,,,,,,,"$43,850","$93,347",,,,,,,,"$12,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Lynn's Long Halftime Walk (2016),"$130,531","$35,579",,"$73,634",,,,"$10,972","$49,906","$4,357",,,,,,,"$3,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,970",,,"$334,457","$45,223","$155,298","$119,261","$3,253,889",,"$160,243","$35,947","$57,315",,,,"$23,761,008",,,"$2,714",,,,,,,,
Blair Witch (2016),"$1,755,961","$2,940,039","$342,797","$1,496,332","$469,215","$174,856","$153,355","$468,715","$885,520","$388,415","$249,210",,"$198,925","$614,321",,"$365,013","$62,792","$129,698","$49,495",,,,"$56,112","$41,160","$93,989","$11,104","$64,485","$30,820","$148,263",,"$61,139","$24,590","$39,971","$20,491","$76,030","$2,104,187","$3,235,545","$592,203","$201,524","$503,811","$683,630","$678,803","$47,507","$84,573","$30,396","$8,720","$1,518,340","$278,064","$891,192","$62,351",,"$124,632","$299,664","$10,597",,"$140,240","$130,445","$528,945",,"$312,205","$97,725",,"$151,140",,"$12,964",,,,,,,,
The Hollars (2016),"$72,934",,,,,,,"$37,931",,,,,,,,$560,"$10,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beatles: Eight Days a Week - The Touring Years (2016),"$242,928","$2,934,941","$35,892","$349,879","$114,014","$155,881",,"$494,330","$1,126,252","$28,566","$14,781",,"$9,326",,,"$219,926",,"$50,217",,,"$19,476","$30,069",,,"$32,675","$9,580",,,,"$9,881",,,,,"$10,282",,,,,,,,,,,,"$1,633,620","$206,263",,,,,,,,,,,"$2,930,414","$116,696","$830,305",,,,,,,,,,,,
The Promise (2016),"$100,530","$654,867","$18,332","$372,952","$128,970","$17,110",,"$505,415",,"$52,901",,"$13,488","$74,135","$78,247",,"$80,875","$31,169",,"$16,242",,,,"$21,970","$5,161","$22,357",,,"$207,904",,,"$5,247","$1,954","$11,866",,"$218,655","$62,402","$144,010",,,"$136,945",,,,,"$17,463",,"$410,493",,"$653,721",,,"$9,448",,,,,"$3,596",,,,"$88,752",,,,,,,,,,"$19,666","$7,863","$4,324"
Loving (2016),"$228,878","$1,119,821",,"$2,159,317","$12,730",,,"$312,907","$361,432",,,,"$7,108",,,,"$3,444",,,,,,,,,,,,,,,,,,,"$7,308",,,,,,,"$12,484",,,,"$488,591","$65,193",,,,,,,,,,,,"$68,448",,,,,,,,,,,,,
From the Land of the Moon (2016),"$123,740","$31,105",,"$4,718,885","$20,212","$235,090","$20,810","$152,981","$268,750","$118,547",,,,"$17,863",,"$63,282",,"$51,667","$19,225",,"$8,031",,,,"$32,014",,,,"$10,764","$5,964",,,,,"$51,192",,"$109,535",,,"$40,281","$5,747","$82,061",,,"$11,661",,,"$22,054","$144,097","$14,686",,,,,,,,,,,"$102,554",,,,,,,,,,,,
