Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Endless Poetry (2016),"$266,057","$62,818","$43,395","$23,834","$5,162","$153,440","$4,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Life as a Zucchini (2016),"$5,238,965","$24,716",,"$71,624","$29,763","$309,766","$1,730",,,,"$36,851",,,,,"$24,240",,"$63,167","$5,446",,,,,,,,"$66,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nightingale (2013),"$244,667",,,,,,,,,,,,,,,,,,,,,,,,,"$34,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Danger (2016),"$412,700",,,"$66,859","$2,698",,,,,,,,,,,"$16,646",,,,,,,,,,,"$5,172",,,,,,,"$3,208","$2,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl Without Hands (2016),"$99,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La La Land (2016),"$19,815,123","$1,456,391","$3,889,738","$37,418,325","$1,767,919","$151,101,803","$1,970,521","$264,523","$959,439","$1,022,531","$1,413,461","$4,325,816","$2,468,814","$113,776","$54,789","$5,225,029","$893,655","$47,429,613","$1,217,770","$336,174","$190,451","$163,171","$1,264,875","$1,866,827","$35,916,658","$14,930,852","$14,914,091","$1,325,403","$2,324,310","$15,678,033","$8,687,374","$3,013,636","$602,262","$299,128","$245,855","$4,563,074","$4,011,921","$3,389,982","$38,116,791","$1,244,945","$654,905","$301,903","$242,796","$83,180","$4,285,112","$3,649,490","$3,546,785","$2,784,473","$1,711,043","$1,441,973","$817,652","$540,016","$453,008","$388,853","$355,516","$349,828","$236,174","$194,672","$149,024","$142,591","$93,721","$7,483,641","$632,719","$264,851","$143,326","$127,277",,,,,,,,,
Being 17 (2016),"$1,639,628",,"$44,656",,"$5,547","$52,713","$18,684",,,,,,,,,,,,,,,,,,,,"$31,037",,,,"$143,919",,,,$690,,,"$43,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,225",,,,,,,,
The Salesman (2016),"$1,841,684","$232,689","$77,007","$110,757","$28,721",,"$59,177","$28,860",,,"$4,300",,"$68,689","$11,244",,"$42,730",,"$66,354","$62,112",,,"$1,247",,"$97,844",,,"$722,800",,"$15,536",,"$828,856","$33,785","$16,377",$297,,,,,,,,,,,,"$187,443",,,,,"$13,028",,,,,,,,,,,,,,,,,,,,,,,,
Allied (2016),"$7,390,093","$815,866","$1,337,787","$5,254,198","$932,006",,"$205,624","$74,400","$255,893","$259,346","$1,470,166","$3,770,425","$526,107","$28,929","$37,549","$4,487,984","$244,992","$3,763,381","$939,080","$770,941",,"$91,500","$281,483","$563,196","$4,330,432","$8,935,413","$4,753,847","$316,193","$350,132","$2,234,038","$5,290,511","$288,124","$187,001","$49,939","$48,661","$792,711","$1,031,265","$855,595","$2,681,281","$250,748",,"$222,611","$1,711,337",,"$1,107,296","$742,630","$947,116","$511,112","$558,285","$977,585","$432,573","$277,879",,,"$716,577",,"$114,978","$279,035",,,,"$2,123,437","$74,823",,"$251,458",,,,,,,,,,
Inferno (2016),"$7,006,062","$1,840,501","$5,539,767","$10,153,271","$1,579,524",,"$1,690,085","$175,222","$1,030,518","$1,152,920","$2,082,480","$6,343,785","$1,985,039","$194,263","$58,466","$9,265,309","$1,044,583","$5,013,643","$2,164,289","$1,349,068","$195,321","$153,105","$1,336,616","$629,407","$19,371,553","$4,030,884","$6,156,483","$1,189,473","$874,438","$14,453,514","$13,938,143","$1,512,208","$446,188","$114,157","$159,204","$1,603,676","$2,818,938","$1,915,629","$14,456,437","$2,455,817","$633,295","$1,097,471","$2,120,571","$53,833","$2,478,238","$3,296,336","$2,397,901","$2,570,419","$1,721,585","$698,123","$1,106,905","$804,197","$295,338","$371,842","$871,114","$465,702","$432,586","$490,856","$143,956","$178,300",,"$10,327,371","$248,917","$618,464",,,,"$81,521",,,,,,,
