imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5736696,,R.A.I.D. Special Unit (2016),,,,,,,,,,,"$760,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$158,745",,,,,,,,,,,,,,,,,,,
0963915,,Dynamite Warrior (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,636","$422,809",,,,,,,,
0221809,,Ayurveda: Art of Being (2001),,,,,,,,,,,,,,,,,,,,,,,,,"$114,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043252,,Parched (2015),,,,,,,,,,,,"$37,876",,,,,,,,,,,,,,,,,,,"$199,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0456980,,Fist of the North Star: The Legends of the True Savior: Legend of Raoh-Chapter of Death in Love (2006),,,,,,,,,,,,,,,,,,,,,,,,"$296,991",,,,,,,,,,"$26,568",,"$862,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,600",,,,,,,,,
3610746,,Don't Hang Up (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$308,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378507,,The Glass Castle (2017),"$35,144","$4,603","$2,455","$34,056","$20,559","$64,600","$13,017","$158,265",,"$4,731",,"$64,387","$18,546","$23,945",,,"$198,719",,"$5,080","$29,637",,"$31,314",,"$171,116","$1,004,909","$15,460",,"$48,927",,"$31,887",,,"$602,978","$134,443",,"$174,266","$4,240","$16,453","$17,093","$4,552","$14,475","$24,405","$373,829",,"$271,151",,"$11,212",,,"$4,588",,"$24,648",,"$23,879",,,"$36,819","$29,169",,,,"$11,293",,,"$50,146",,"$179,035","$72,258","$54,436","$33,273","$12,806",,,,"$15,537","$146,680","$7,264","$462,076",
5160928,,Mean Dreams (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$17,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,873",,,,,,,,,"$4,489",,,,,,,,,,,,,
4255304,,The Void (2016),"$132,187",,,,,,,,,,,"$54,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,871",,,,"$23,696","$1,460",,,
5226984,,Tom of Finland (2017),,,"$74,291",,,,,,,,,,,,,,,"$381,610",,,,,"$1,214,289","$62,940",,"$2,119",,,,,,,,,,,,,,,"$1,693",,,,,,,,,,,,,,,,"$8,366",,,,,,,,,"$12,169","$13,279",,,,,,,,,"$21,658",,,
5471480,,Magnus (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$230,,,,,,,,,,,,,,,,,,,"$91,443",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,122",,,
4365518,,Sand Storm (2016),,,,,,,,,,,,,,,,,,,,,,,,"$327,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661275,,Their Finest (2016),,,"$1,936,989",,,,,,,,,,,,,,,,,,,,,,,"$105,734",,,,,,,,,,,,,,,,,,,"$190,279","$785,706",,,,,,,,,,"$36,739","$30,232",,,,,,,,"$57,077",,"$525,835",,,,,,"$20,797",,"$21,670","$5,282,720",,,
4943322,,The Ottoman Lieutenant (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$172,866",,,,,,
